Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	833	95	96	1. HANE 	0.2
2	9	Si4	B4	314	314	1	8	417	95	96		0.3
3	9	Do5#4	C5#4	322	322	1	4	833	95	96		0.5
4	9	Re5	D5	327	327	1	16	208	95	96		0.55
5	9	Do5#4	C5#4	322	322	1	16	208	95	96		0.6
6	9	Mi5	E5	336	336	1	8	417	95	96		0.7
7	9	Do5#4	C5#4	322	322	1	4	833	95	96		0.9
8	9	La4	A4	305	305	1	8	417	95	96		1
9	9	Si4	B4	314	314	1	8	417	95	96		1.1
10	9	La4	A4	305	305	1	8	417	95	96		1.2
11	9	Sol4#4	G4#4	300	300	1	8	417	95	96		1.3
12	9	Sol4#4	G4#4	300	300	1	8	417	95	96		1.4
13	9	La4	A4	305	305	1	8	417	95	96		1.5
14	9	Si4	B4	314	314	1	8	417	95	96		1.6
15	9	Sol4#4	G4#4	300	300	1	8	417	95	96		1.7
16	9	La4	A4	305	305	1	4	833	95	96		1.9
17	9			-1	-1	1	8	417	100	0		2
18	9	La4	A4	305	305	1	4	833	95	96		2.2
19	9	Si4	B4	314	314	1	8	417	95	96		2.3
20	9	Do5#4	C5#4	322	322	1	4	833	95	96		2.5
21	9	Re5	D5	327	327	1	4	833	95	96		2.7
22	9	Si4	B4	314	314	1	16	208	95	96		2.75
23	9	Do5#4	C5#4	322	322	1	16	208	95	96		2.8
24	9	Si4	B4	314	314	1	8	417	95	96		2.9
25	9	Do5#4	C5#4	322	322	1	8	417	95	96		3
26	9	Re5	D5	327	327	1	4	833	95	96		3.2
27	9	Mi5	E5	336	336	1	8	417	95	96		3.3
28	9	Do5#4	C5#4	322	322	1	8	417	95	96		3.4
29	9	Re5	D5	327	327	1	16	208	95	96		3.45
30	9	Mi5	E5	336	336	1	16	208	95	96		3.5
31	9	Re5	D5	327	327	1	8	417	95	96		3.6
32	9	Mi5	E5	336	336	1	8	417	95	96		3.7
33	9	Fa5#4	F5#4	344	344	1	4	833	95	96		3.9
34	9			-1	-1	1	8	417	100	0		4
35	9	Sol5	G5	349	349	1	16	208	95	96		4.05
36	9	La5	A5	358	358	1	16	208	95	96		4.1
37	9	Sol5	G5	349	349	1	8	417	95	96		4.2
38	9	Fa5#4	F5#4	344	344	1	8	417	95	96		4.3
39	9	La5	A5	358	358	1	16	208	95	96		4.35
40	9	Sol5	G5	349	349	1	16	208	95	96		4.4
