Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	833	100	0		0.25
2	9	Mi5	E5	336	336	1	8	417	95	96	Al 	0.375
3	9	Fa5	F5	340	340	1	8	417	95	96	gon	0.5
4	9	Mi5	E5	336	336	1	16	208	99	96	ca	0.5625
5	9	Re5	D5	327	327	1	16	208	99	96		0.625
6	9	Do5#4	C5#4	322	322	1	16	208	99	96		0.6875
7	9	Re5	D5	327	327	1	16	208	95	96		0.75
8	9	Mi5	E5	336	336	1	4	833	95	96	yý 	1
9	9	Mi5	E5	336	336	1	8	417	95	96	de	1.125
10	9	Fa5	F5	340	340	1	8	417	99	96	re	1.25
11	9	Mi5	E5	336	336	1	8	417	99	96		1.375
12	9	Sol5	G5	349	349	1	8	417	95	96		1.5
13	9	Fa5	F5	340	340	1	8	417	99	96	me	1.625
14	9	Fa5	F5	340	340	1	16	208	99	96		1.6875
15	9	Mi5	E5	336	336	1	16	208	95	96		1.75
16	9	Re5	D5	327	327	3	32	312	99	96	dim  	1.84375
17	9	Do5#4	C5#4	322	322	1	32	104	99	96		1.875
18	9	Re5	D5	327	327	1	8	417	95	96		2
19	9			-1	-1	1	8	417	100	0		2.125
20	9	Sol5	G5	349	349	1	8	417	99	96	Yâr 	2.25
21	9	Fa5	F5	340	340	1	8	417	95	96		2.375
22	9	Mi5	E5	336	336	1	8	417	95	96	yük	2.5
23	9	Re5	D5	327	327	1	8	417	99	96	sek	2.625
24	9	Do5#4	C5#4	322	322	1	16	208	99	96		2.6875
25	9	Re5	D5	327	327	1	16	208	95	96		2.75
26	9	Mi5	E5	336	336	3	16	625	99	96	te 	2.9375
27	9	Re5	D5	327	327	1	16	208	95	96		3
28	9	Do5#4	C5#4	322	322	1	8	417	95	96	e	3.125
29	9	Re5	D5	327	327	1	16	208	99	96	re	3.1875
30	9	Do5#4	C5#4	322	322	1	16	208	99	96		3.25
31	9	Si4b4	B4b4	310	310	1	8	417	99	96		3.375
32	9	Do5#4	C5#4	322	322	1	16	208	99	96		3.4375
33	9	Re5	D5	327	327	1	16	208	95	96		3.5
34	9	Do5#4	C5#4	322	322	1	16	208	99	96	me	3.5625
35	9	Si4b4	B4b4	310	310	1	16	208	99	96		3.625
36	9	La4	A4	305	305	1	16	208	99	96		3.6875
37	9	Si4b4	B4b4	310	310	1	16	208	95	96		3.75
38	9	La4	A4	305	305	1	4	833	95	96	dim  	4
39	52			0	0	1	4	0	72	0		4.25
40	9			-1	-1	1	8	417	100	0		4.375
41	9	Sol5	G5	349	349	1	8	417	99	96	Yâr 	4.5
42	9	Fa5	F5	340	340	1	8	417	95	96		4.625
43	9	Mi5	E5	336	336	1	8	417	95	96	yük	4.75
