Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	526	100	0		0.2222222
2	9	Do5#3	C5#4	321	322	1	8	263	95	96	ARANAÐME	0.3333333
3	9	Re5	D5	327	327	1	8	263	95	96	.	0.4444444
4	9	Mi5	E5	336	336	1	4	526	95	96	.	0.6666667
5	9	Mi5	E5	336	336	1	8	263	95	96	.	0.7777778
6	9	Re5	D5	327	327	1	8	263	95	96	.	0.8888889
7	9	Sol5	G5	349	349	1	8	263	95	96	.	1
8	11	Sol5	G5	349	349	1	8	263	95	96	.	1.111111
9	11	Fa5	F5	340	340	1	8	263	95	96	.	1.222222
10	11	Mi5	E5	336	336	1	8	263	95	96	.	1.333333
11	11	Re5	D5	327	327	1	8	263	95	96	.	1.444444
12	9	Do5#3	C5#4	321	322	1	8	263	95	96	.	1.555556
13	9	Si4b4	B4b4	310	310	1	8	263	95	96	.	1.666667
14	9	Do5#3	C5#4	321	322	1	8	263	95	96	.	1.777778
15	9	Si4b4	B4b4	310	310	1	8	263	95	96	.	1.888889
16	9	La4	A4	305	305	1	8	263	95	96	.	2
17	9	Mi5	E5	336	336	1	8	263	95	96	.	2.111111
18	9	Re5	D5	327	327	1	8	263	95	96	.	2.222222
19	9	Re5	D5	327	327	1	8	263	95	96	.	2.333333
20	9	Do5#3	C5#4	321	322	1	8	263	95	96	.	2.444444
21	9	Do5#3	C5#4	321	322	1	8	263	95	96	.	2.555556
22	9	Si4b4	B4b4	310	310	1	8	263	95	96	.	2.666667
23	9	Do5#3	C5#4	321	322	1	8	263	95	96	.	2.777778
24	9	Si4b4	B4b4	310	310	1	8	263	95	96	.	2.888889
25	9	La4	A4	305	305	1	8	263	95	96	.	3
26	9	La4	A4	305	305	3	8	789	95	96	.	3.333333
27	9	Re5	D5	327	327	1	8	263	95	96	.	3.444444
28	9	Do5#3	C5#4	321	322	1	8	263	95	96	.	3.555556
29	9	Re5	D5	327	327	1	8	263	95	96	.	3.666667
