Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	2	1176	95	96	Al	0.0952381
2	9	Re5	D5	327	327	1	2	1176	95	96	lah	0.1904762
3	9	Re5	D5	327	327	1	2	1176	95	96	em	0.2857143
4	9	Re5	D5	327	327	3	8	882	99	96	rin	0.3571429
5	9	Do5#4	C5#4	322	322	1	8	294	95	96		0.3809524
6	9	Re5	D5	327	327	1	4	588	95	96	tu	0.4285714
7	9	Mi5	E5	336	336	1	4	588	95	96	ta	0.4761905
8	9	Re5	D5	327	327	1	4	588	99	96	lçm	0.5238096
9	9	Si4b1	B4b1	313	313	1	4	588	99	96		0.5714286
10	9	Do5	C5	318	318	1	4	588	99	96		0.6190476
11	9	Re5	D5	327	327	1	4	588	99	96		0.6666667
12	9	Do5	C5	318	318	1	4	588	99	96		0.7142857
13	9	Re5	D5	327	327	1	4	588	99	96		0.7619048
14	9	Re5	D5	327	327	1	8	294	99	96		0.7857143
15	9	Do5	C5	318	318	1	8	294	99	96		0.8095238
16	9	Do5	C5	318	318	3	4	1765	99	96		0.952381
17	9	Si4b1	B4b1	313	313	1	4	588	95	96		1
18	9	La4	A4	305	305	1	2	1176	95	96	Rah	1.095238
19	9	Re5	D5	327	327	1	2	1176	95	96	me	1.190476
20	9	Re5	D5	327	327	1	2	1176	95	96	ti	1.285714
21	9	Re5	D5	327	327	3	8	882	99	96	ne	1.357143
22	9	Do5#4	C5#4	322	322	1	8	294	95	96		1.380952
23	9	Re5	D5	327	327	1	4	588	95	96	ba	1.428571
24	9	Mi5	E5	336	336	1	4	588	95	96	ta	1.47619
25	9	Re5	D5	327	327	1	4	588	99	96	lçm	1.52381
26	9	Si4b1	B4b1	313	313	1	4	588	99	96		1.571429
27	9	Do5	C5	318	318	1	4	588	99	96		1.619048
28	9	Re5	D5	327	327	1	4	588	99	96		1.666667
29	9	Do5	C5	318	318	1	4	588	99	96		1.714286
30	9	Re5	D5	327	327	1	4	588	99	96		1.761905
31	9	Re5	D5	327	327	1	8	294	99	96		1.785714
32	9	Do5	C5	318	318	1	8	294	99	96		1.809524
33	9	Do5	C5	318	318	3	4	1765	99	96		1.952381
34	9	Si4b1	B4b1	313	313	1	4	588	95	96		2
35	9	Re5	D5	327	327	1	2	1176	95	96	BÅl	2.095238
36	9	Mi5	E5	336	336	1	4	588	95	96	bÅl	2.142857
37	9	Mi5	E5	336	336	1	2	1176	95	96	gi	2.238095
38	9	Mi5	E5	336	336	1	2	1176	95	96	bi	2.333333
39	9	Mi5	E5	336	336	1	4	588	95	96	?	2.380952
40	9	Mi5	E5	336	336	1	4	588	95	96	te	2.428571
41	9	Mi5	E5	336	336	1	4	588	95	96	lim	2.476191
42	9	Mi5	E5	336	336	1	4	588	95	96	a	2.523809
43	9	Sol5	G5	349	349	1	4	588	99	96	man	2.571429
44	9	Fa5#4	F5#4	344	344	1	8	294	99	96		2.595238
45	9	Mi5	E5	336	336	1	8	294	99	96		2.619048
46	9	Mi5	E5	336	336	1	8	294	99	96		2.642857
47	9	Fa5	F5	340	340	1	8	294	99	96		2.666667
48	9	Mi5	E5	336	336	1	8	294	95	96		2.690476
49	9	Re5	D5	327	327	1	8	294	95	96	a	2.714286
50	9	La5	A5	358	358	1	4	588	95	96	man	2.761905
51	9	Sol5	G5	349	349	1	8	294	99	96	a	2.785714
52	9	Fa5#4	F5#4	344	344	1	8	294	95	96		2.809524
53	9	Fa5#4	F5#4	344	344	3	8	882	99	96	man	2.880952
54	9	Mi5	E5	336	336	1	16	147	99	96		2.892857
55	9	Re5	D5	327	327	1	16	147	99	96		2.904762
56	9	Re5	D5	327	327	1	2	1176	95	96		3
57	9	Mi5	E5	336	336	1	2	1176	95	96	Al	3.095238
58	9	Fa5	F5	340	340	1	2	1176	95	96	lah	3.190476
59	9	Mi5	E5	336	336	1	2	1176	95	96	Al	3.285714
60	9	Fa5	F5	340	340	3	4	1765	99	96	lah	3.428571
61	9	Mi5	E5	336	336	1	8	294	99	96		3.452381
62	9	Re5	D5	327	327	1	8	294	95	96		3.476191
63	9	Re5	D5	327	327	1	4	588	95	96	ke	3.523809
64	9	Mi5	E5	336	336	1	2	1176	99	96	rim	3.619048
65	9	Fa5	F5	340	340	1	4	588	95	96		3.666667
66	9	Mi5	E5	336	336	1	4	588	99	96	Al	3.714286
67	9	Re5	D5	327	327	1	4	588	95	96		3.761905
68	9	Do5#4	C5#4	322	322	3	8	882	99	96	lah	3.833333
69	9	Si4b4	B4b4	310	310	1	8	294	95	96		3.857143
70	9	La4	A4	305	305	1	4	588	95	96	ra	3.904762
71	9	Re5	D5	327	327	1	4	588	99	96	him	3.952381
72	9	Do5#4	C5#4	322	322	1	4	588	95	96		4
73	9	Re5	D5	327	327	1	8	294	99	96	Al	4.023809
74	9	Mi5	E5	336	336	1	8	294	99	96		4.047619
75	9	Fa5	F5	340	340	1	8	294	99	96		4.071429
76	9	Sol5	G5	349	349	1	8	294	99	96		4.095238
77	9	Fa5	F5	340	340	1	8	294	99	96		4.119048
78	9	Mi5	E5	336	336	1	8	294	99	96		4.142857
79	9	Re5	D5	327	327	1	8	294	99	96		4.166667
80	9	Do5#4	C5#4	322	322	1	8	294	99	96		4.190476
81	9	Si4b4	B4b4	310	310	1	8	294	99	96		4.214286
82	9	La4	A4	305	305	1	8	294	95	96		4.238095
83	9	Mi5	E5	336	336	1	4	588	99	96	lah	4.285714
84	9	Re5	D5	327	327	1	8	294	99	96		4.309524
85	9	Do5#4	C5#4	322	322	1	8	294	99	96		4.333333
