Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	1250	95	96	Gön	0.4
2	9	Sol5	G5	349	349	1	16	312	99	96	lüm 	0.5
3	9	Fa5#1	F5#1	341	341	1	16	312	99	96		0.6
4	9	Mi5	E5	336	336	1	16	312	99	96		0.7
5	9	Fa5#1	F5#1	341	341	1	16	312	99	96		0.8
6	9	Mi5	E5	336	336	1	8	625	95	96		1
7	9	Mi5	E5	336	336	1	8	625	95	96	ya	1.2
8	9	Mi5	E5	336	336	1	8	625	95	96	ra	1.4
9	9	Mi5	E5	336	336	3	8	1875	95	96	lý 	2
10	9	Mi5	E5	336	336	1	8	625	99	96	bil	2.2
11	9	Fa5#1	F5#1	341	341	1	16	312	99	96		2.3
12	9	Mi5	E5	336	336	1	16	312	99	96		2.4
13	9	Fa5#1	F5#1	341	341	1	16	312	99	96		2.5
14	9	Sol5	G5	349	349	1	16	312	99	96		2.6
15	9	Sol5	G5	349	349	1	16	312	99	96		2.7
16	12	Mi5	E5	336	336	1	8	625	99	96		2.9
17	9	Re5	D5	327	327	1	16	312	95	96		3
18	9	Re5	D5	327	327	1	16	312	99	96	mi	3.1
19	9	Mi5	E5	336	336	1	32	156	99	96		3.15
20	9	Re5	D5	327	327	1	32	156	95	96		3.2
21	10	Re5	D5	327	327	1	8	625	95	96	yo	3.4
22	8	Mi5	E5	336	336	0	0	0	95	96		3.4
23	9	Re5	D5	327	327	3	8	1875	95	96	rum 	4
24	9	Do5#4	C5#4	322	322	1	16	312	99	96	yâr 	4.1
25	9	Re5	D5	327	327	1	16	312	99	96		4.2
26	9	Mi5	E5	336	336	1	16	312	99	96		4.3
27	9	Re5	D5	327	327	1	16	312	99	96		4.4
28	12	Mi5	E5	336	336	4	16	1250	99	96		4.8
29	9	Mi5	E5	336	336	1	16	312	99	96		4.9
30	9	Re5	D5	327	327	1	16	312	95	96		5
31	9	Mi5	E5	336	336	1	16	312	99	96	yâr 	5.1
32	9	Fa5#3	F5#4	343	344	1	16	312	99	96		5.2
33	9	Sol5	G5	349	349	1	16	312	99	96		5.3
34	9	Fa5#3	F5#4	343	344	1	16	312	99	96		5.4
35	9	Fa5#3	F5#4	343	344	1	24	208	99	96		5.466667
36	9	Sol5	G5	349	349	1	24	208	99	96		5.533333
37	9	Fa5#3	F5#4	343	344	1	24	208	99	96		5.6
38	9	Fa5#3	F5#4	343	344	1	16	312	99	96		5.7
39	9	Sol5	G5	349	349	1	16	312	99	96		5.8
40	9	Sol5	G5	349	349	1	24	208	99	96		5.866667
41	9	Fa5	F5	340	340	1	24	208	99	96		5.933333
42	9	Mi5	E5	336	336	1	24	208	95	96		6
43	9	Mi5	E5	336	336	1	8	625	95	96	ba	6.2
44	9	Mi5	E5	336	336	1	8	625	95	96	na 	6.4
45	9	Mi5	E5	336	336	1	8	625	99	96	nol	6.6
46	8	La5	A5	358	358	0	0	0	99	96		6.6
47	9	Sol5	G5	349	349	3	32	469	99	96		6.75
48	9	Fa5#1	F5#1	341	341	1	32	156	99	96		6.8
49	9	Mi5	E5	336	336	1	16	312	99	96		6.9
50	9	Fa5	F5	340	340	1	16	312	95	96		7
51	9	Mi5	E5	336	336	1	4	1250	95	96	du  	7.4
52	8	La4	A4	305	305	0	0	0	99	96		7.4
53	9	Re5	D5	327	327	3	32	469	95	96	SAZ	7.55
54	9	Do5#4	C5#4	322	322	1	32	156	95	96	.	7.6
55	9	Re5	D5	327	327	1	16	312	95	96	.	7.7
56	9	Si4b4	B4b4	310	310	1	16	312	95	96	.	7.8
57	9	La4	A4	305	305	1	8	625	95	96	.	8
58	52			0	0	1	8	0	96	0		8.2
59	9	La4	A4	305	305	1	4	1250	95	96	Gön	8.6
60	9	Sol5	G5	349	349	1	16	312	99	96	lüm 	8.7
61	9	Fa5#1	F5#1	341	341	1	16	312	99	96		8.8
62	9	Mi5	E5	336	336	1	16	312	99	96		8.9
63	9	Fa5#1	F5#1	341	341	1	16	312	99	96		9
64	9	Mi5	E5	336	336	1	8	625	95	96		9.2
65	9	Mi5	E5	336	336	1	8	625	95	96	ya	9.4
66	9	Mi5	E5	336	336	1	8	625	95	96	ra	9.6
67	9	Mi5	E5	336	336	3	8	1875	95	96	lý 	10.2
68	9	Mi5	E5	336	336	1	8	625	99	96	bil	10.4
69	9	Fa5#1	F5#1	341	341	1	16	312	99	96		10.5
70	9	Mi5	E5	336	336	1	16	312	99	96		10.6
71	9	Fa5#1	F5#1	341	341	1	16	312	99	96		10.7
72	9	Sol5	G5	349	349	1	16	312	99	96		10.8
73	9	Sol5	G5	349	349	1	16	312	99	96		10.9
74	12	Mi5	E5	336	336	1	8	625	99	96		11.1
75	9	Re5	D5	327	327	1	16	312	95	96		11.2
76	9	Re5	D5	327	327	1	16	312	99	96	mi	11.3
77	9	Mi5	E5	336	336	1	32	156	99	96		11.35
78	9	Re5	D5	327	327	1	32	156	95	96		11.4
79	10	Re5	D5	327	327	1	8	625	95	96	yo	11.6
80	8	Mi5	E5	336	336	0	0	0	95	96		11.6
81	9	Re5	D5	327	327	3	8	1875	95	96	rum 	12.2
82	9	Do5#4	C5#4	322	322	1	16	312	99	96	yâr 	12.3
83	9	Re5	D5	327	327	1	16	312	99	96		12.4
84	9	Mi5	E5	336	336	1	16	312	99	96		12.5
85	9	Re5	D5	327	327	1	16	312	99	96		12.6
86	12	Mi5	E5	336	336	4	16	1250	99	96		13
87	9	Mi5	E5	336	336	1	16	312	99	96		13.1
88	9	Re5	D5	327	327	1	16	312	95	96		13.2
89	9	Mi5	E5	336	336	1	16	312	99	96	yâr 	13.3
90	9	Fa5#3	F5#4	343	344	1	16	312	99	96		13.4
91	9	Sol5	G5	349	349	1	16	312	99	96		13.5
92	9	Fa5#3	F5#4	343	344	1	16	312	99	96		13.6
93	9	Fa5#3	F5#4	343	344	1	24	208	99	96		13.66667
94	9	Sol5	G5	349	349	1	24	208	99	96		13.73333
95	9	Fa5#3	F5#4	343	344	1	24	208	99	96		13.8
96	9	Fa5#3	F5#4	343	344	1	16	312	99	96		13.9
97	9	Sol5	G5	349	349	1	16	312	99	96		14
98	9	Sol5	G5	349	349	1	24	208	99	96		14.06667
99	9	Fa5	F5	340	340	1	24	208	99	96		14.13333
100	9	Mi5	E5	336	336	1	24	208	95	96		14.2
101	9	Mi5	E5	336	336	1	8	625	95	96	ba	14.4
102	9	Mi5	E5	336	336	1	8	625	95	96	na 	14.6
103	9	Mi5	E5	336	336	1	8	625	99	96	nol	14.8
104	8	La5	A5	358	358	0	0	0	99	96		14.8
105	9	Sol5	G5	349	349	3	32	469	99	96		14.95
106	9	Fa5#1	F5#1	341	341	1	32	156	99	96		15
107	9	Mi5	E5	336	336	1	16	312	99	96		15.1
108	9	Fa5	F5	340	340	1	16	312	95	96		15.2
109	9	Mi5	E5	336	336	1	4	1250	95	96	du  	15.6
110	9	Re5	D5	327	327	3	32	469	95	96	SAZ	15.75
111	9	Mi5	E5	336	336	1	32	156	95	96	.	15.8
112	9	Fa5#3	F5#4	343	344	1	16	312	95	96	.	15.9
113	9	Sol5	G5	349	349	1	16	312	95	96	.	16
114	1	La5	A5	358	358	1	32	156	95	96	.	16.05
115	1	Sol5	G5	349	349	1	32	156	95	96	.	16.1
116	1	Fa5#3	F5#4	343	344	1	32	156	95	96	.	16.15
117	1	Mi5	E5	336	336	1	32	156	95	96	.	16.2
118	9	Re5	D5	327	327	1	4	1250	95	96	Gül 	16.6
119	23	Fa5#3	F5#4	343	344	1	8	625	99	96	renk	16.8
120	23	Sol5	G5	349	349	1	8	625	99	96		17
121	9	La5	A5	358	358	1	8	625	95	96		17.2
122	9	La5	A5	358	358	1	8	625	95	96	li 	17.4
123	9	La5	A5	358	358	1	8	625	95	96	yü	17.6
124	10	La5	A5	358	358	1	8	625	99	96	züm 	17.8
125	8	Si5	B5	367	367	0	0	0	99	96		17.8
126	9	Sol5	G5	349	349	1	24	208	99	96		17.86667
127	9	Fa5#2	F5#1	342	341	1	24	208	99	96		17.93333
128	9	Mi5	E5	336	336	1	24	208	99	96		18
129	9	Fa5#2	F5#1	342	341	1	8	625	95	96		18.2
130	9	Mi5	E5	336	336	1	8	625	99	96	aþ	18.4
131	9	Fa5#1	F5#1	341	341	1	16	312	99	96		18.5
132	9	Mi5	E5	336	336	1	16	312	99	96		18.6
133	9	Fa5#1	F5#1	341	341	1	16	312	99	96		18.7
134	9	Sol5	G5	349	349	1	16	312	99	96		18.8
135	9	Sol5	G5	349	349	1	16	312	99	96		18.9
136	9	Mi5	E5	336	336	1	16	312	99	96		19
137	12	Mi5	E5	336	336	1	16	312	99	96		19.1
138	9	Re5	D5	327	327	1	16	312	95	96		19.2
139	9	Re5	D5	327	327	1	16	312	99	96	kýn_	19.3
140	9	Mi5	E5	336	336	1	16	312	95	96		19.4
141	9	Re5	D5	327	327	1	32	156	99	96	i	19.45
142	9	Re5	D5	327	327	1	32	156	99	96		19.5
143	9	Re5	D5	327	327	1	32	156	99	96		19.55
144	9	Do5#4	C5#4	322	322	1	32	156	95	96		19.6
145	9	Re5	D5	327	327	1	4	1250	95	96	çin 	20
146	9			-1	-1	1	8	625	100	0		20.2
147	9	Do5#4	C5#4	322	322	1	16	312	99	96	bak 	20.3
148	12	Re5	D5	327	327	2	16	625	99	96		20.5
149	9	Do5#4	C5#4	322	322	1	16	312	99	96		20.6
150	12	Re5	D5	327	327	3	8	1875	99	96		21.2
151	9	Do5#4	C5#4	322	322	1	16	312	99	96		21.3
152	9	Re5	D5	327	327	1	16	312	99	96		21.4
153	9	Mi5	E5	336	336	1	16	312	99	96		21.5
154	4	Re5	D5	327	327	1	16	312	99	96		21.6
155	9	Mi5	E5	336	336	1	4	1250	99	96		22
156	9	Re5	D5	327	327	1	16	312	99	96		22.1
