Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	625	95	96	ARANAÐME	0.2222222
2	9	Sol5	G5	349	349	1	8	312	95	96	.	0.3333333
3	9	Sol5	G5	349	349	1	8	312	95	96	.	0.4444444
4	9	Sol5	G5	349	349	1	4	625	95	96	.	0.6666667
5	9	Sol5	G5	349	349	1	8	312	95	96	.	0.7777778
6	9	Sol5	G5	349	349	1	8	312	95	96	.	0.8888889
7	9	Sol5	G5	349	349	1	8	312	95	96	.	1
8	9	Do5	C5	318	318	1	4	625	95	96	.	1.222222
9	9	Sol5	G5	349	349	1	8	312	95	96	.	1.333333
10	9	Sol5	G5	349	349	1	8	312	95	96	.	1.444444
11	9	Do5	C5	318	318	1	4	625	95	96	.	1.666667
12	9	Sol5	G5	349	349	1	8	312	95	96	.	1.777778
13	9	Sol5	G5	349	349	1	8	312	95	96	.	1.888889
14	9	Sol5	G5	349	349	1	8	312	95	96	.	2
15	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	2.111111
16	9	Sol5	G5	349	349	1	8	312	95	96	.	2.222222
17	9	La5	A5	358	358	1	8	312	95	96	.	2.333333
18	9	Si5b5	B5b5	362	362	1	8	312	95	96	.	2.444444
19	9	Sol5	G5	349	349	1	8	312	95	96	.	2.555556
20	9	Sol5	G5	349	349	1	8	312	95	96	.	2.666667
21	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	2.777778
22	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	2.888889
23	9	Re5	D5	327	327	1	8	312	95	96	.	3
24	9	Fa5#4	F5#4	344	344	1	4	625	95	96	.	3.222222
25	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	3.333333
26	9	Sol5	G5	349	349	1	8	312	95	96	.	3.444444
27	9	Sol5	G5	349	349	1	8	312	95	96	.	3.555556
28	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	3.666667
29	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	3.777778
30	9	Re5	D5	327	327	1	8	312	95	96	.	3.888889
31	9	Do5	C5	318	318	1	8	312	95	96	.	4
32	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	4.111111
33	9	Sol5	G5	349	349	1	8	312	95	96	.	4.222222
34	9	La5	A5	358	358	1	8	312	95	96	.	4.333333
35	9	Si5b5	B5b5	362	362	1	8	312	95	96	.	4.444445
36	9	La5	A5	358	358	1	8	312	95	96	.	4.555555
37	9	Sol5	G5	349	349	1	8	312	95	96	.	4.666667
38	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	4.777778
39	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	4.888889
40	9	Re5	D5	327	327	1	8	312	95	96	.	5
41	9	Sol5	G5	349	349	1	4	625	95	96	.	5.222222
42	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	5.333333
43	9	Sol5	G5	349	349	1	8	312	95	96	.	5.444445
44	9	La5	A5	358	358	1	8	312	95	96	.	5.555555
45	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	5.666667
46	9	Sol5	G5	349	349	1	4	625	95	96	.	5.888889
47	9			-1	-1	1	8	312	100	0	.	6
48	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	6.111111
49	9	Sol5	G5	349	349	1	8	312	95	96	.	6.222222
50	9	La5	A5	358	358	1	8	312	95	96	.	6.333333
51	9	Si5b5	B5b5	362	362	1	8	312	95	96	.	6.444445
52	9	La5	A5	358	358	1	8	312	95	96	.	6.555555
53	9	Sol5	G5	349	349	1	8	312	95	96	.	6.666667
54	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	6.777778
55	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	6.888889
56	9	Re5	D5	327	327	1	8	312	95	96	.	7
57	9	Fa5#4	F5#4	344	344	1	4	625	95	96	.	7.222222
58	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	7.333333
59	9	Sol5	G5	349	349	1	8	312	95	96	.	7.444445
60	9	Sol5	G5	349	349	1	8	312	95	96	.	7.555555
61	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	7.666667
62	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	7.777778
63	9	Re5	D5	327	327	1	8	312	95	96	.	7.888889
64	9	Do5	C5	318	318	1	8	312	95	96	.	8
65	9	Mi5b4	E5b4	332	332	1	4	625	95	96	.	8.222222
66	9	Re5	D5	327	327	1	8	312	95	96	.	8.333333
67	9	Do5	C5	318	318	1	8	312	95	96	.	8.444445
68	9	Sol5	G5	349	349	1	4	625	95	96	.	8.666667
69	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	8.777778
70	9	Re5	D5	327	327	1	8	312	95	96	.	8.888889
71	9	Do5	C5	318	318	1	8	312	95	96	.	9
72	9	Si4b1	B4b1	313	313	1	4	625	95	96	.	9.222222
73	9	Do5	C5	318	318	1	4	625	95	96	.	9.444445
74	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	9.555555
75	9	La4b4	A4b4	301	301	1	8	312	95	96	.	9.666667
76	9	Sol4	G4	296	296	1	4	625	95	96	.	9.888889
77	9			-1	-1	1	8	312	100	0	.	10
78	9	Sol4	G4	296	296	1	4	625	95	96	.	10.22222
79	9	Do5	C5	318	318	1	8	312	95	96	.	10.33333
80	9	Do5	C5	318	318	1	8	312	95	96	.	10.44444
81	9	Mi5b2	E5b1	334	335	1	4	625	95	96	.	10.66667
82	9	Sol5	G5	349	349	1	4	625	95	96	.	10.88889
83	9			-1	-1	1	8	312	100	0	.	11
84	9	Fa5	F5	340	340	1	4	625	95	96	.	11.22222
85	9	Re5	D5	327	327	1	8	312	95	96	.	11.33333
86	9	Fa5	F5	340	340	1	8	312	95	96	.	11.44444
87	9	Mi5b2	E5b1	334	335	1	8	312	95	96	.	11.55556
88	9	Re5	D5	327	327	1	8	312	95	96	.	11.66667
89	9	Do5	C5	318	318	1	8	312	95	96	.	11.77778
90	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	11.88889
91	9	La4	A4	305	305	1	8	312	95	96	.	12
92	9	Sol4	G4	296	296	1	4	625	95	96	.	12.22222
93	9	Do5	C5	318	318	1	8	312	95	96	.	12.33333
94	9	Do5	C5	318	318	1	8	312	95	96	.	12.44444
95	9	Mi5b2	E5b1	334	335	1	4	625	95	96	.	12.66667
96	9	Sol5	G5	349	349	1	4	625	95	96	.	12.88889
97	9			-1	-1	1	8	312	100	0	.	13
98	9	La5	A5	358	358	1	8	312	95	96	.	13.11111
99	9	Sol5	G5	349	349	1	8	312	95	96	.	13.22222
100	9	Sol5	G5	349	349	1	8	312	95	96	.	13.33333
101	9	Fa5	F5	340	340	1	8	312	95	96	.	13.44444
102	9	Fa5	F5	340	340	1	8	312	95	96	.	13.55556
103	9	Mi5b2	E5b1	334	335	1	8	312	95	96	.	13.66667
104	9	Mi5b2	E5b1	334	335	1	8	312	95	96	.	13.77778
105	9	Re5	D5	327	327	1	8	312	95	96	.	13.88889
106	9	Do5	C5	318	318	1	8	312	95	96	.	14
107	9	Sol4	G4	296	296	1	4	625	95	96	.	14.22222
108	9	Do5	C5	318	318	1	8	312	95	96	.	14.33333
109	9	Do5	C5	318	318	1	8	312	95	96	.	14.44444
110	9	Mi5b2	E5b1	334	335	1	4	625	95	96	.	14.66667
111	9	Sol5	G5	349	349	1	4	625	95	96	.	14.88889
112	9			-1	-1	1	8	312	100	0	.	15
113	9	Fa5	F5	340	340	1	4	625	95	96	.	15.22222
114	9	Re5	D5	327	327	1	8	312	95	96	.	15.33333
115	9	Fa5	F5	340	340	1	8	312	95	96	.	15.44444
116	9	Mi5b2	E5b1	334	335	1	8	312	95	96	.	15.55556
117	9	Re5	D5	327	327	1	8	312	95	96	.	15.66667
118	9	Do5	C5	318	318	1	8	312	95	96	.	15.77778
119	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	15.88889
120	9	La4	A4	305	305	1	8	312	95	96	.	16
121	9	Sol4	G4	296	296	1	4	625	95	96	.	16.22222
122	9	Do5	C5	318	318	1	8	312	95	96	.	16.33333
123	9	Do5	C5	318	318	1	8	312	95	96	.	16.44444
124	9	Mi5b2	E5b1	334	335	1	4	625	95	96	.	16.66667
125	9	Sol5	G5	349	349	1	4	625	95	96	.	16.88889
126	9			-1	-1	1	8	312	100	0	.	17
127	9	Fa5	F5	340	340	1	4	625	95	96	.	17.22222
128	9	Mi5b2	E5b1	334	335	1	8	312	95	96	.	17.33333
129	9	Fa5	F5	340	340	1	8	312	95	96	.	17.44444
130	9	Mi5b2	E5b1	334	335	1	8	312	95	96	.	17.55556
131	9	La5	A5	358	358	1	8	312	95	96	.	17.66667
132	9	Sol5	G5	349	349	1	4	625	95	96	.	17.88889
133	9			-1	-1	1	8	312	100	0	.	18
134	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	18.11111
135	9	Sol5	G5	349	349	1	8	312	95	96	.	18.22222
136	9	La5	A5	358	358	1	8	312	95	96	.	18.33333
137	9	Si5b5	B5b5	362	362	1	8	312	95	96	.	18.44444
138	9	Do6	C6	371	371	1	4	625	95	96	.	18.66667
139	9	Si5b5	B5b5	362	362	1	8	312	95	96	.	18.77778
140	9	La5	A5	358	358	1	8	312	95	96	.	18.88889
141	9	Sol5	G5	349	349	1	8	312	95	96	.	19
142	9	Sol5	G5	349	349	3	16	469	95	96	.	19.16667
143	9	Fa5#4	F5#4	344	344	1	16	156	95	96	.	19.22222
144	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	19.33333
145	9	Re5	D5	327	327	1	8	312	95	96	.	19.44444
146	9	Mi5b4	E5b4	332	332	1	8	312	95	96	.	19.55556
147	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	19.66667
148	9	Sol5	G5	349	349	1	4	625	95	96	.	19.88889
149	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	20
150	9	Fa5#4	F5#4	344	344	3	16	469	95	96	.	20.16667
151	9	Mi5b4	E5b4	332	332	1	16	156	95	96	.	20.22222
152	9	Re5	D5	327	327	1	8	312	95	96	.	20.33333
153	9	Do5	C5	318	318	1	8	312	95	96	.	20.44444
154	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	20.55556
155	9	Do5	C5	318	318	1	8	312	95	96	.	20.66667
156	9	Re5	D5	327	327	1	4	625	95	96	.	20.88889
157	9	Do5	C5	318	318	1	8	312	95	96	.	21
158	9	Si4b1	B4b1	313	313	1	4	625	95	96	.	21.22222
159	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	21.33333
160	9	Do5	C5	318	318	1	8	312	95	96	.	21.44444
161	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	21.55556
162	9	La4b4	A4b4	301	301	1	8	312	95	96	.	21.66667
163	9	Sol4	G4	296	296	1	4	625	95	96	.	21.88889
164	9			-1	-1	1	8	312	100	0		22
165	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	22.11111
166	9	Do5	C5	318	318	1	8	312	95	96	.	22.22222
167	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	22.33333
168	9	La4b4	A4b4	301	301	1	8	312	95	96	.	22.44444
169	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	22.55556
170	9	Do5	C5	318	318	1	8	312	95	96	.	22.66667
171	9	Do5	C5	318	318	1	8	312	95	96	.	22.77778
172	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	22.88889
173	9	La4b4	A4b4	301	301	1	8	312	95	96	.	23
174	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	23.11111
175	9	Do5	C5	318	318	1	8	312	95	96	.	23.22222
176	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	23.33333
177	9	La4b4	A4b4	301	301	1	8	312	95	96	.	23.44444
178	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	23.55556
179	9	Do5	C5	318	318	1	8	312	95	96	.	23.66667
180	9	Re5	D5	327	327	1	4	625	95	96	.	23.88889
181	9			-1	-1	1	8	312	100	0	.	24
182	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	24.11111
183	9	Do5	C5	318	318	1	8	312	95	96	.	24.22222
184	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	24.33333
185	9	La4b4	A4b4	301	301	1	8	312	95	96	.	24.44444
186	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	24.55556
187	9	Do5	C5	318	318	1	8	312	95	96	.	24.66667
188	9	Do5	C5	318	318	1	8	312	95	96	.	24.77778
189	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	24.88889
190	9	La4b4	A4b4	301	301	1	8	312	95	96	.	25
191	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	25.11111
192	9	Do5	C5	318	318	1	8	312	95	96	.	25.22222
193	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	25.33333
194	9	La4b4	A4b4	301	301	1	8	312	95	96	.	25.44444
195	9	Sol4	G4	296	296	1	4	625	95	96	.	25.66667
196	9	Sol4	G4	296	296	1	8	312	95	96	.	25.77778
197	9	Sol4	G4	296	296	1	4	625	95	96	.	26
198	52			0	0	1	8	0	127	65		26.11111
199	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	26.22222
200	9	Do5	C5	318	318	1	8	312	95	96	.	26.33333
201	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	26.44444
202	9	La4b4	A4b4	301	301	1	8	312	95	96	.	26.55556
203	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	26.66667
204	9	Do5	C5	318	318	1	8	312	95	96	.	26.77778
205	9	Do5	C5	318	318	1	8	312	95	96	.	26.88889
206	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	27
207	9	La4b4	A4b4	301	301	1	8	312	95	96	.	27.11111
208	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	27.22222
209	9	Do5	C5	318	318	1	8	312	95	96	.	27.33333
210	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	27.44444
211	9	La4b4	A4b4	301	301	1	8	312	95	96	.	27.55556
212	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	27.66667
213	9	Do5	C5	318	318	1	8	312	95	96	.	27.77778
214	9	Re5	D5	327	327	1	4	625	95	96	.	28
215	9			-1	-1	1	8	312	100	0	.	28.11111
216	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	28.22222
217	9	Do5	C5	318	318	1	8	312	95	96	.	28.33333
218	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	28.44444
219	9	La4b4	A4b4	301	301	1	8	312	95	96	.	28.55556
220	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	28.66667
221	9	Do5	C5	318	318	1	8	312	95	96	.	28.77778
222	9	Do5	C5	318	318	1	8	312	95	96	.	28.88889
223	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	29
224	9	La4b4	A4b4	301	301	1	8	312	95	96	.	29.11111
225	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	29.22222
226	9	Do5	C5	318	318	1	8	312	95	96	.	29.33333
227	9	Si4b1	B4b1	313	313	1	8	312	95	96	.	29.44444
228	9	La4b4	A4b4	301	301	1	8	312	95	96	.	29.55556
229	9	Sol4	G4	296	296	1	4	625	95	96	.	29.77778
230	9	Sol5	G5	349	349	1	4	625	95	96	.	30
231	9	Fa5#4	F5#4	344	344	1	8	312	95	96	.	30.11111
232	9	Sol5	G5	349	349	1	8	312	95	96	.	30.22222
233	9			-1	-1	1	8	312	100	0		30.33333
234	9	Sol5	G5	349	349	1	8	312	95	96	Ya	30.44444
235	9	Sol5	G5	349	349	1	8	312	95	96	ban	30.55556
236	9	Sol5	G5	349	349	1	4	625	95	96	dan 	30.77778
237	9	Sol5	G5	349	349	3	8	938	95	96	gel	31.11111
238	9	Fa5#4	F5#4	344	344	1	8	312	99	96	dim 	31.22222
239	9	Sol5	G5	349	349	1	8	312	95	96		31.33333
240	9	La5	A5	358	358	1	8	312	99	96	ya	31.44444
241	9	Si5b5	B5b5	362	362	1	8	312	95	96		31.55556
242	9	La5	A5	358	358	1	8	312	99	96	ban	31.66667
243	9	Sol5	G5	349	349	1	8	312	95	96		31.77778
244	9	Fa5#4	F5#4	344	344	1	8	312	99	96	dan  	31.88889
245	9	Mi5b4	E5b4	332	332	1	8	312	99	96		32
246	9	Re5	D5	327	327	1	8	312	99	96		32.11111
247	9	Mi5b4	E5b4	332	332	1	8	312	95	96		32.22222
248	9			-1	-1	1	8	312	100	0		32.33333
249	9	Mi5b4	E5b4	332	332	1	8	312	95	96	Ha	32.44444
250	9	Mi5b4	E5b4	332	332	1	8	312	95	96	be	32.55556
251	9	Mi5b4	E5b4	332	332	1	4	625	95	96	rin 	32.77778
252	9	Mi5b4	E5b4	332	332	3	16	469	99	96	al	32.94444
253	9	Re5	D5	327	327	1	16	156	99	96		33
254	9	Do5	C5	318	318	1	8	312	95	96		33.11111
255	9	Re5	D5	327	327	1	4	625	95	96	dým 	33.33333
256	9	Mi5b4	E5b4	332	332	1	8	312	99	96	ço	33.44444
257	9	Re5	D5	327	327	1	8	312	95	96		33.55556
258	9	Do5	C5	318	318	1	8	312	99	96	ban	33.66667
259	9	Si4b1	B4b1	313	313	1	8	312	95	96		33.77778
260	9	Do5	C5	318	318	1	4	625	99	96	dan  	34
261	9	Sol5	G5	349	349	1	8	312	95	96		34.11111
262	9	Sol5	G5	349	349	1	8	312	95	96	.	34.22222
263	9			-1	-1	1	8	312	100	0		34.33333
