Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	1429	95	96	Gön	0.2857143
2	9	Sol5	G5	349	349	1	8	714	95	96	lü	0.4285714
3	9	Fa5#4	F5#4	344	344	1	16	357	99	96	mü 	0.5
4	9	Sol5	G5	349	349	1	16	357	99	96		0.5714286
5	9	La5b4	A5b4	354	354	1	16	357	99	96		0.6428571
6	9	Sol5	G5	349	349	1	16	357	95	96		0.7142857
7	9	Sol5	G5	349	349	1	4	1429	95	96	dû	1
8	9	Si5b1	B5b1	366	366	1	16	357	99	96	çar_	1.071429
9	9	La5b4	A5b4	354	354	1	16	357	99	96		1.142857
10	9	La5b4	A5b4	354	354	1	16	357	99	96		1.214286
11	9	Sol5	G5	349	349	1	16	357	95	96		1.285714
12	9	Sol5	G5	349	349	1	16	357	99	96	e	1.357143
13	9	Fa5#4	F5#4	344	344	1	16	357	95	96		1.428571
14	9	Fa5#4	F5#4	344	344	1	16	357	99	96	den 	1.5
15	9	Mi5b4	E5b4	332	332	1	16	357	99	96		1.571429
16	9	Mi5b4	E5b4	332	332	1	16	357	99	96		1.642857
17	9	Re5	D5	327	327	1	16	357	95	96		1.714286
18	9	Re5	D5	327	327	1	4	1429	95	96	bu 	2
19	9	Sol5	G5	349	349	3	32	536	99	96	ha	2.107143
20	9	Fa5#4	F5#4	344	344	1	32	179	99	96		2.142857
21	9	Mi5b4	E5b4	332	332	1	8	714	95	96		2.285714
22	9	Fa5#4	F5#4	344	344	1	8	714	95	96	le 	2.428571
23	9	Sol5	G5	349	349	3	16	1071	95	96	hep  	2.642857
24	9	Fa5#4	F5#4	344	344	1	32	179	95	96	SAZ	2.678571
25	9	Mi5b4	E5b4	332	332	1	32	179	95	96	.	2.714286
26	9	Re5	D5	327	327	1	32	179	95	96	.	2.75
27	9	Do5	C5	318	318	1	32	179	95	96	.	2.785714
28	9	Si4b1	B4b1	313	313	1	32	179	95	96	.	2.821429
29	9	La4b4	A4b4	301	301	1	32	179	95	96	.	2.857143
30	9	Sol4	G4	296	296	1	8	714	95	96	.	3
31	52			0	0	1	8	0	84	0		3.142857
32	9	Sol5	G5	349	349	1	4	1429	95	96	Gön	3.428571
33	9	Sol5	G5	349	349	1	8	714	95	96	lü	3.571429
34	9	Fa5#4	F5#4	344	344	1	16	357	99	96	mü 	3.642857
35	9	Sol5	G5	349	349	1	16	357	99	96		3.714286
36	9	La5b4	A5b4	354	354	1	16	357	99	96		3.785714
37	9	Sol5	G5	349	349	1	16	357	95	96		3.857143
38	9	Sol5	G5	349	349	1	4	1429	95	96	dû	4.142857
39	9	Si5b1	B5b1	366	366	1	16	357	99	96	çar_	4.214286
40	9	La5b4	A5b4	354	354	1	16	357	99	96		4.285714
41	9	La5b4	A5b4	354	354	1	16	357	99	96		4.357143
42	9	Sol5	G5	349	349	1	16	357	95	96		4.428571
43	9	Sol5	G5	349	349	1	16	357	99	96	e	4.5
44	9	Fa5#4	F5#4	344	344	1	16	357	95	96		4.571429
45	9	Fa5#4	F5#4	344	344	1	16	357	99	96	den 	4.642857
46	9	Mi5b4	E5b4	332	332	1	16	357	99	96		4.714286
47	9	Mi5b4	E5b4	332	332	1	16	357	99	96		4.785714
48	9	Re5	D5	327	327	1	16	357	95	96		4.857143
49	9	Re5	D5	327	327	1	4	1429	95	96	bu 	5.142857
50	9	Sol5	G5	349	349	3	32	536	99	96	ha	5.25
51	9	Fa5#4	F5#4	344	344	1	32	179	99	96		5.285714
52	9	Mi5b4	E5b4	332	332	1	8	714	95	96		5.428571
53	9	Fa5#4	F5#4	344	344	1	8	714	95	96	le 	5.571429
54	9	Sol5	G5	349	349	3	16	1071	95	96	hep  	5.785714
55	9	Re5	D5	327	327	1	16	357	95	96	SAZ	5.857143
56	9	Mi5b4	E5b4	332	332	1	16	357	95	96	.	5.928571
57	9	Fa5#4	F5#4	344	344	1	16	357	95	96	.	6
58	9	Sol5	G5	349	349	1	8	714	95	96	.	6.142857
59	9	La5b4	A5b4	354	354	1	8	714	99	96	Ka	6.285714
60	9	Sol5	G5	349	349	1	16	357	99	96		6.357143
61	9	Fa5#4	F5#4	344	344	1	16	357	95	96		6.428571
62	9	Mi5b4	E5b4	332	332	1	16	357	99	96	re 	6.5
63	9	Re5	D5	327	327	1	16	357	95	96		6.571429
64	9	Do5	C5	318	318	1	16	357	99	96	göz	6.642857
65	9	Re5	D5	327	327	1	16	357	99	96		6.714286
66	9	Mi5b1	E5b1	335	335	1	16	357	99	96		6.785714
67	9	Fa5	F5	340	340	1	16	357	95	96		6.857143
68	9	Sol5	G5	349	349	1	4	1429	95	96	lüm 	7.142857
69	9	Fa5	F5	340	340	1	16	357	99	96	ka	7.214286
70	9	La5b4	A5b4	354	354	1	16	357	99	96		7.285714
71	9	Sol5	G5	349	349	1	16	357	99	96		7.357143
72	9	Fa5	F5	340	340	1	16	357	95	96		7.428571
73	9	Mi5b4	E5b4	332	332	1	16	357	99	96	re 	7.5
74	9	Re5	D5	327	327	1	16	357	95	96		7.571429
75	9	Do5	C5	318	318	1	16	357	99	96	bah	7.642857
76	9	Re5	D5	327	327	1	16	357	99	96		7.714286
77	9	Mi5b4	E5b4	332	332	1	32	179	99	96		7.75
78	9	Fa5	F5	340	340	1	32	179	99	96		7.785714
79	9	Mi5b4	E5b4	332	332	1	32	179	99	96		7.821429
80	9	Re5	D5	327	327	1	32	179	95	96		7.857143
81	9	Re5	D5	327	327	1	4	1429	95	96	tým	8.142858
82	9	Do5	C5	318	318	1	4	1429	95	96	dýr 	8.428572
83	9	Mi5b4	E5b4	332	332	1	8	714	95	96	se	8.571428
84	9	Re5	D5	327	327	1	8	714	99	96	bep  	8.714286
85	9	Do5	C5	318	318	1	8	714	99	96		8.857142
86	9	Si4b1	B4b1	313	313	1	8	714	99	96		9
87	9	La4b4	A4b4	301	301	1	16	357	99	96		9.071428
88	9	Sol4	G4	296	296	1	16	357	95	96		9.142858
89	9	Si4b1	B4b1	313	313	1	4	1429	95	96	Ka	9.428572
90	9	Do5	C5	318	318	1	8	714	95	96	re 	9.571428
91	9	Si4b1	B4b1	313	313	1	16	357	99	96	göz	9.642858
92	9	La4b4	A4b4	301	301	1	16	357	99	96		9.714286
93	9	La4b4	A4b4	301	301	1	16	357	99	96		9.785714
94	9	Sol4	G4	296	296	1	16	357	95	96		9.857142
95	9	Sol4	G4	296	296	1	4	1429	95	96	lüm 	10.14286
96	9	Sol4	G4	296	296	1	16	357	99	96	ka	10.21429
97	9	La4b4	A4b4	301	301	1	16	357	99	96		10.28571
98	9	Si4b1	B4b1	313	313	1	16	357	99	96		10.35714
99	9	Do5	C5	318	318	1	16	357	95	96		10.42857
100	9	Re5	D5	327	327	1	16	357	99	96	re 	10.5
101	9	Mi5b1	E5b1	335	335	1	16	357	95	96		10.57143
102	9	Fa5	F5	340	340	1	16	357	99	96	bah	10.64286
103	9	Sol5	G5	349	349	1	8	714	99	96		10.78571
104	9	Fa5	F5	340	340	1	16	357	95	96		10.85714
105	9	Mi5b4	E5b4	332	332	3	32	536	99	96	tým	10.96429
106	9	Re5	D5	327	327	1	32	179	99	96		11
107	9	Do5	C5	318	318	1	16	357	99	96		11.07143
108	9	Re5	D5	327	327	1	16	357	95	96		11.14286
109	9	Si4b1	B4b1	313	313	1	16	357	99	96	dýr 	11.21429
110	9	Do5	C5	318	318	1	16	357	99	96		11.28571
111	9	Si4b1	B4b1	313	313	1	16	357	99	96		11.35714
112	9	La4b4	A4b4	301	301	1	16	357	95	96		11.42857
113	9	La4b4	A4b4	301	301	1	16	357	99	96	se	11.5
114	9	Sol4	G4	296	296	1	16	357	95	96		11.57143
115	9	Sol4	G4	296	296	3	16	1071	95	96	bep  	11.78571
116	9	Do5	C5	318	318	1	16	357	95	96	SAZ	11.85714
117	9	Si4b1	B4b1	313	313	1	16	357	95	96	.	11.92857
118	9	Re5	D5	327	327	1	16	357	95	96	.	12
119	9	Do5	C5	318	318	1	8	714	95	96	.	12.14286
120	9	Si4b1	B4b1	313	313	1	4	1429	95	96	Et	12.42857
