Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	5	8	2273	100	0		0.5
2	9	Re5	D5	327	327	1	16	227	99	96	Ak	0.55
3	9	Mi5b3	E5b4	333	332	1	16	227	99	96		0.6
4	9	Fa5#3	F5#4	343	344	1	16	227	99	96		0.65
5	9	Sol5	G5	349	349	1	16	227	99	96		0.7
6	9	Sol5	G5	349	349	1	16	227	99	96		0.75
7	9	Fa5#3	F5#4	343	344	1	16	227	99	96		0.8
8	9	Mi5b3	E5b4	333	332	1	8	455	99	96		0.9
9	8	Fa5#3	F5#4	343	344	0	0	0	99	96		0.9
10	9	Mi5b3	E5b4	333	332	1	16	227	99	96		0.95
11	9	Re5	D5	327	327	1	16	227	95	96		1
12	9	Re5	D5	327	327	5	8	2273	99	96	þam 	1.5
13	10	Re5	D5	327	327	1	8	455	99	96		1.6
14	8	Fa5#3	F5#4	343	344	0	0	0	99	96		1.6
15	9	Mi5b3	E5b4	333	332	1	16	227	99	96		1.65
16	9	Re5	D5	327	327	1	16	227	99	96		1.7
17	9	Do5	C5	318	318	1	16	227	99	96		1.75
18	9	Si4b1	B4b1	313	313	1	16	227	99	96		1.8
19	9	Do5	C5	318	318	1	4	909	95	96		2
20	9			-1	-1	1	4	909	100	0		2.2
21	8	La5	A5	358	358	0	0	0	95	96		2.2
22	9	Sol5	G5	349	349	1	8	455	95	96	dö	2.3
23	9	Fa5#3	F5#4	343	344	1	16	227	99	96	nü	2.35
24	9	Mi5b3	E5b4	333	332	1	16	227	99	96		2.4
25	9	Re5	D5	327	327	1	8	455	95	96		2.5
26	9	Re5	D5	327	327	1	4	909	95	96	þü 	2.7
27	8	Mi5b3	E5b4	333	332	0	0	0	95	96		2.7
28	9	Do5	C5	318	318	1	8	455	99	114	geç	2.8
29	9	Mi5b1	E5b1	335	335	1	4	909	101	114		3
30	8	Re5	D5	327	327	0	0	0	95	114		3
31	9	Do5	C5	318	318	2	16	455	99	114	tim 	3.1
32	9	Si4b1	B4b1	313	313	1	16	227	99	96		3.15
33	9	La4#3	A4#4	308	309	1	16	227	99	96		3.2
34	9	Si4b1	B4b1	313	313	3	8	1364	95	96		3.5
35	1	Do5	C5	318	318	2	16	455	95	96	SAZ	3.6
36	1	Si4b1	B4b1	313	313	1	16	227	95	96	.	3.65
37	1	La4#3	A4#4	308	309	1	16	227	95	96	.	3.7
38	1	Si4b1	B4b1	313	313	1	16	227	95	96	.	3.75
39	1	Do5	C5	318	318	1	16	227	95	96	.	3.8
40	1	Si4b1	B4b1	313	313	1	8	455	95	96	.	3.9
41	1	Do5	C5	318	318	1	8	455	95	96	.	4
42	1	Re5	D5	327	327	1	4	909	95	96	.	4.2
43	9	Do5	C5	318	318	1	8	455	95	96	o 	4.3
44	8	Do5	C5	318	318	0	0	0	95	96		4.3
45	9	Re5	D5	327	327	1	4	909	95	96	es	4.5
46	9	Re5	D5	327	327	1	4	909	95	96	rar	4.7
47	9	Do5	C5	318	318	2	16	455	99	96	lý 	4.8
48	9	Si4b1	B4b1	313	313	1	16	227	99	96		4.85
49	9	La4#1	A4	306	305	1	16	227	99	96		4.9
50	9	Sol4	G4	296	296	1	8	455	95	96		5
51	7	Sol5	G5	349	349	2	8	909	95	96	ba	5.2
52	9	Fa5#3	F5#4	343	344	1	16	227	99	96	ðýn	5.25
53	9	Mi5b3	E5b4	333	332	1	16	227	99	96		5.3
54	9	Re5	D5	327	327	1	16	227	99	96		5.35
55	9	Do5	C5	318	318	1	16	227	99	96		5.4
56	9	Re5	D5	327	327	1	8	455	95	96		5.5
57	9	La5	A5	358	358	1	16	227	99	96	dan  	5.55
58	9	Sol5	G5	349	349	2	16	455	99	96		5.65
59	9	Fa5#3	F5#4	343	344	1	16	227	99	96		5.7
60	9	Sol5	G5	349	349	3	8	1364	99	96		6
61	9	Sol5	G5	349	349	1	16	227	99	96		6.05
62	9	Fa5#3	F5#4	343	344	2	16	455	99	96		6.15
63	9	Mi5	E5	336	336	1	16	227	99	96		6.2
64	9	Fa5#3	F5#4	343	344	3	8	1364	99	96		6.5
65	9	Fa5#3	F5#4	343	344	1	16	227	99	96		6.55
66	9	Mi5b3	E5b4	333	332	2	16	455	99	96		6.65
67	9	Re5	D5	327	327	1	16	227	99	96		6.7
68	9	Mi5b3	E5b4	333	332	3	8	1364	99	96		7
69	9	Mi5b3	E5b4	333	332	1	16	227	99	96		7.05
70	9	Re5	D5	327	327	2	16	455	99	96		7.15
71	9	Do5	C5	318	318	1	16	227	99	96		7.2
72	9	Re5	D5	327	327	3	8	1364	99	96		7.5
73	9	Re5	D5	327	327	1	16	227	99	96		7.55
74	9	Do5	C5	318	318	2	16	455	99	96		7.65
75	9	Si4b1	B4b1	313	313	1	16	227	99	96		7.7
76	9	Do5	C5	318	318	3	8	1364	95	96		8
77	9			-1	-1	1	4	909	100	0		8.2
78	9	Do5	C5	318	318	1	8	455	95	96	o 	8.3
79	9	Re5	D5	327	327	1	4	909	95	96	es	8.5
80	9	Re5	D5	327	327	1	4	909	95	96	rar	8.7
81	8	Mi5b3	E5b4	333	332	0	0	0	95	96		8.7
82	9	Do5	C5	318	318	2	16	455	99	96	lý 	8.8
83	9	Si4b1	B4b1	313	313	1	16	227	99	96		8.85
84	9	La4#1	A4	306	305	1	16	227	99	96		8.9
85	9	Sol4	G4	296	296	1	8	455	95	96		9
86	7	Sol5	G5	349	349	2	8	909	101	96	ba	9.2
87	9	Fa5#3	F5#4	343	344	1	16	227	99	96	ðýn	9.25
88	9	Mi5b3	E5b4	333	332	1	16	227	99	96		9.3
89	10	Re5	D5	327	327	1	8	455	99	96		9.4
90	8	Fa5#3	F5#4	343	344	0	0	0	99	96		9.4
91	9	Mi5b3	E5b4	333	332	1	16	227	99	96		9.45
92	9	Re5	D5	327	327	1	16	227	95	96		9.5
93	9	Re5	D5	327	327	5	8	2273	95	96	dan  	10
94	9	Re5	D5	327	327	1	16	227	95	96	SAZ	10.05
95	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	10.1
96	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	10.15
97	9	Sol5	G5	349	349	1	16	227	95	96	.	10.2
98	9	La5	A5	358	358	1	8	455	95	96	.	10.3
99	9	Sol5	G5	349	349	1	8	455	95	96	.	10.4
100	9	Fa5#3	F5#4	343	344	1	8	455	95	96	.	10.5
101	9	Mi5b3	E5b4	333	332	1	8	455	95	114	.	10.6
102	9	Re5	D5	327	327	1	8	455	95	114	.	10.7
103	10	Re5	D5	327	327	1	8	455	95	114	.	10.8
104	8	Mi5b3	E5b4	333	332	0	0	0	95	114	.	10.8
105	9	Re5	D5	327	327	2	16	455	95	114	.	10.9
106	9	Do5	C5	318	318	1	8	455	95	114	.	11
107	8	Re6	D6	380	380	0	0	0	95	114	.	11
108	9	Do6	C6	371	371	1	8	455	95	114	.	11.1
109	9	Si5b5	B5b5	362	362	1	8	455	95	96	.	11.2
110	9	La5	A5	358	358	1	8	455	95	96	.	11.3
111	9	Sol5	G5	349	349	1	8	455	95	96	.	11.4
112	9	Fa5#3	F5#4	343	344	1	8	455	95	114	.	11.5
113	9	Fa5#3	F5#4	343	344	1	16	227	95	106	.	11.55
114	9	Mi5b3	E5b4	333	332	2	16	455	95	99	.	11.65
115	9	Re5	D5	327	327	1	16	227	95	92	.	11.7
116	1	Re5	D5	327	327	1	16	227	95	84	.	11.75
117	1	Mi5b3	E5b4	333	332	1	16	227	95	96	.	11.8
118	1	Fa5#3	F5#4	343	344	1	16	227	95	96	.	11.85
119	1	Sol5	G5	349	349	1	16	227	95	96	.	11.9
120	1	La5	A5	358	358	1	8	455	95	96	.	12
121	7	La5	A5	358	358	3	8	1364	99	96	Bir 	12.3
122	9	Si5b5	B5b5	362	362	1	4	909	95	96		12.5
123	9	La5	A5	358	358	2	16	455	99	96	gül 	12.6
124	8	Si5b5	B5b5	362	362	0	0	0	95	96		12.6
125	9	Sol5	G5	349	349	1	16	227	99	96		12.65
126	9	Fa5#3	F5#4	343	344	1	16	227	99	96		12.7
127	9	Sol5	G5	349	349	1	4	909	99	96		12.9
128	9	La5	A5	358	358	2	16	455	95	96		13
129	8	La5	A5	358	358	0	0	0	95	96		13
130	9	Sol5	G5	349	349	1	8	455	99	96	ko	13.1
131	9	Fa5#3	F5#4	343	344	1	16	227	99	96		13.15
132	9	Mi5b3	E5b4	333	332	1	16	227	99	96		13.2
133	8	Fa5#3	F5#4	343	344	0	0	0	99	96		13.2
134	9	Mi5b3	E5b4	333	332	1	8	455	95	96		13.3
135	7	Sol5	G5	349	349	2	8	909	95	96	pa	13.5
136	9	Fa5#3	F5#4	343	344	1	16	227	99	96	rýp 	13.55
137	9	Mi5b3	E5b4	333	332	1	16	227	99	96		13.6
138	9	Re5	D5	327	327	1	16	227	99	96		13.65
139	9	Do5	C5	318	318	1	16	227	99	96		13.7
140	9	Re5	D5	327	327	3	8	1364	95	96		14
141	9	La5	A5	358	358	1	8	455	99	96	kal	14.1
142	9	Sol5	G5	349	349	1	8	455	99	96		14.2
143	9	La5	A5	358	358	1	8	455	95	96		14.3
144	8	La5	A5	358	358	0	0	0	95	96		14.3
145	9	Sol5	G5	349	349	1	8	455	99	96	bi	14.4
146	9	Fa5#3	F5#4	343	344	2	16	455	95	96		14.5
147	9	Mi5b3	E5b4	333	332	1	8	455	99	96	me 	14.6
148	8	La5	A5	358	358	0	0	0	95	96		14.6
149	9	Sol5	G5	349	349	1	8	455	95	96		14.7
150	9	Fa5#3	F5#4	343	344	1	8	455	99	96	tak	14.8
151	9	Mi5b3	E5b4	333	332	1	8	455	99	96		14.9
152	9	Re5	D5	327	327	1	8	455	95	96		15
153	9	Re5	D5	327	327	2	16	455	99	96	tým 	15.1
154	8	Fa5#3	F5#4	343	344	0	0	0	99	96		15.1
155	9	Mi5b3	E5b4	333	332	1	16	227	99	96		15.15
156	9	Re5	D5	327	327	1	16	227	95	96		15.2
157	10	Fa5#3	F5#4	343	344	1	8	455	99	96		15.3
158	8	Sol5	G5	349	349	0	0	0	99	96		15.3
159	9	Fa5#3	F5#4	343	344	1	16	227	99	96		15.35
160	9	Mi5b3	E5b4	333	332	1	16	227	99	96		15.4
161	9	Re5	D5	327	327	1	8	455	99	96		15.5
162	9	Do5	C5	318	318	2	16	455	99	96		15.6
163	9	Si4b1	B4b1	313	313	1	16	227	99	96		15.65
164	9	La4#4	A4#4	309	309	1	16	227	99	96		15.7
165	9	Si4b1	B4b1	313	313	3	16	682	95	96		15.85
166	9	Do5	C5	318	318	1	16	227	95	96	SAZ	15.9
167	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	15.95
168	9	Do5	C5	318	318	1	16	227	95	96	.	16
169	9	Re5	D5	327	327	1	4	909	95	96	.	16.2
170	9	Do5	C5	318	318	1	8	455	95	96	ya	16.3
171	9	Re5	D5	327	327	1	4	909	95	96	na	16.5
172	9	Re5	D5	327	327	8	16	1818	99	96	ðýn	16.9
173	9	Mi5b3	E5b4	333	332	1	16	227	99	96		16.95
174	9	Re5	D5	327	327	1	16	227	95	114		17
175	9	Mi5b3	E5b4	333	332	1	16	227	99	114	dan  	17.05
176	9	Re5	D5	327	327	1	16	227	99	114		17.1
177	9	Do5	C5	318	318	1	16	227	99	113		17.15
178	9	Si4b1	B4b1	313	313	1	16	227	99	113		17.2
179	7	Do5	C5	318	318	2	8	909	99	113		17.4
180	9	Re5	D5	327	327	1	16	227	99	113		17.45
181	9	Do5	C5	318	318	1	16	227	99	112		17.5
182	9	Re5	D5	327	327	1	16	227	99	112		17.55
183	9	Do5	C5	318	318	1	16	227	99	112		17.6
184	9	Si4b1	B4b1	313	313	1	16	227	99	112		17.65
185	9	La4#1	A4	306	305	1	16	227	99	111		17.7
186	7	Si4b1	B4b1	313	313	6	16	1364	99	111		18
187	9	Do5	C5	318	318	1	16	227	99	111		18.05
188	9	Si4b1	B4b1	313	313	1	16	227	99	111		18.1
189	9	La4	A4	305	305	1	16	227	99	110		18.15
190	9	Sol4	G4	296	296	1	16	227	99	110		18.2
191	9	La4	A4	305	305	3	8	1364	99	110		18.5
192	9	Si4b1	B4b1	313	313	1	16	227	99	110		18.55
193	9	La4	A4	305	305	1	16	227	99	110		18.6
194	9	Sol4	G4	296	296	1	16	227	99	109		18.65
195	9	La4	A4	305	305	1	16	227	99	109		18.7
196	9	Sol4	G4	296	296	5	16	1136	95	109		18.95
197	9			-1	-1	1	16	227	100	109		19
198	7	Re5	D5	327	327	2	16	455	99	108	tak	19.1
199	7	Mi5b3	E5b4	333	332	2	16	455	99	108		19.2
200	7	Fa5#3	F5#4	343	344	2	16	455	99	108		19.3
201	9	Sol5	G5	349	349	1	4	909	95	108		19.5
202	8	Sol5	G5	349	349	0	0	0	95	107		19.5
203	9	Fa5#3	F5#4	343	344	1	8	455	99	107	tým 	19.6
204	9	Mi5b3	E5b4	333	332	1	8	455	99	107		19.7
205	9	Re5	D5	327	327	1	8	455	99	107		19.8
206	9	Do5	C5	318	318	1	8	455	99	107		19.9
207	9	Si4b1	B4b1	313	313	1	16	227	99	106		19.95
208	9	La4#4	A4#4	309	309	1	16	227	99	106		20
209	9	Si4b1	B4b1	313	313	1	4	909	95	106		20.2
210	9	Do5	C5	318	318	1	8	455	95	106	ya	20.3
211	9	Re5	D5	327	327	1	4	909	95	105	na	20.5
212	9	Fa5#3	F5#4	343	344	1	16	227	99	105	ðýn	20.55
213	9	Mi5b3	E5b4	333	332	1	16	227	99	105		20.6
214	9	Re5	D5	327	327	1	16	227	99	105		20.65
215	9	Do5	C5	318	318	1	16	227	99	104		20.7
216	9	Do5	C5	318	318	2	8	909	99	104		20.9
217	9	Re5	D5	327	327	1	8	455	95	104		21
218	9	Do5	C5	318	318	2	16	455	99	104	dan  	21.1
219	9	Si4b1	B4b1	313	313	1	16	227	99	103		21.15
220	9	La4#4	A4#4	309	309	1	16	227	99	103		21.2
221	9	Si4b1	B4b1	313	313	1	1	3637	95	103		22
222	9	Re5	D5	327	327	1	16	227	95	102	SAZ	22.05
223	9	Mi5b3	E5b4	333	332	1	16	227	95	102	.	22.1
224	9	Fa5#3	F5#4	343	344	1	16	227	95	102	.	22.15
225	9	Sol5	G5	349	349	1	16	227	95	102	.	22.2
226	9	La5	A5	358	358	1	8	455	95	101	.	22.3
227	9	Sol5	G5	349	349	1	8	455	95	101	.	22.4
228	9	Fa5#3	F5#4	343	344	1	8	455	95	101	.	22.5
229	9	Mi5b3	E5b4	333	332	1	8	455	95	101	.	22.6
230	9	Re5	D5	327	327	1	8	455	95	100	.	22.7
231	10	Re5	D5	327	327	1	8	455	95	100	.	22.8
232	8	Mi5b3	E5b4	333	332	0	0	0	95	100	.	22.8
233	9	Re5	D5	327	327	2	16	455	95	100	.	22.9
234	9	Do5	C5	318	318	1	8	455	95	100	.	23
235	8	Re6	D6	380	380	0	0	0	95	99	.	23
236	9	Do6	C6	371	371	1	8	455	95	99	.	23.1
237	9	Si5b5	B5b5	362	362	1	8	455	95	99	.	23.2
238	9	La5	A5	358	358	1	8	455	95	99	.	23.3
239	9	Sol5	G5	349	349	1	8	455	95	98	.	23.4
240	9	Fa5#3	F5#4	343	344	1	8	455	95	98	.	23.5
241	9	Fa5#3	F5#4	343	344	1	16	227	95	98	.	23.55
242	9	Mi5b3	E5b4	333	332	2	16	455	95	98	.	23.65
243	9	Re5	D5	327	327	1	16	227	95	97	.	23.7
244	1	Re5	D5	327	327	1	16	227	95	97	.	23.75
245	1	Mi5b3	E5b4	333	332	1	16	227	95	97	.	23.8
246	1	Fa5#3	F5#4	343	344	1	16	227	95	97	.	23.85
247	1	Sol5	G5	349	349	1	16	227	95	96	.	23.9
248	1	La5	A5	358	358	1	8	455	95	96	.	24
249	52			0	0	1	8	0	127	96		24.1
250	7	La5	A5	358	358	3	8	1364	99	96	Bir 	24.4
251	9	Si5b5	B5b5	362	362	1	4	909	95	96		24.6
252	9	La5	A5	358	358	2	16	455	99	96	gül 	24.7
253	8	Si5b5	B5b5	362	362	0	0	0	95	96		24.7
254	9	Sol5	G5	349	349	1	16	227	99	96		24.75
255	9	Fa5#3	F5#4	343	344	1	16	227	99	96		24.8
256	9	Sol5	G5	349	349	1	4	909	99	96		25
257	9	La5	A5	358	358	2	16	455	95	96		25.1
258	8	La5	A5	358	358	0	0	0	95	96		25.1
259	9	Sol5	G5	349	349	1	8	455	99	96	ko	25.2
260	9	Fa5#3	F5#4	343	344	1	16	227	99	96		25.25
261	9	Mi5b3	E5b4	333	332	1	16	227	99	96		25.3
262	8	Fa5#3	F5#4	343	344	0	0	0	99	96		25.3
263	9	Mi5b3	E5b4	333	332	1	8	455	95	96		25.4
264	7	Sol5	G5	349	349	2	8	909	95	96	pa	25.6
265	9	Fa5#3	F5#4	343	344	1	16	227	99	96	rýp 	25.65
266	9	Mi5b3	E5b4	333	332	1	16	227	99	96		25.7
267	9	Re5	D5	327	327	1	16	227	99	96		25.75
268	9	Do5	C5	318	318	1	16	227	99	96		25.8
269	9	Re5	D5	327	327	3	8	1364	95	96		26.1
270	9	La5	A5	358	358	1	8	455	99	96	kal	26.2
271	9	Sol5	G5	349	349	1	8	455	99	96		26.3
272	9	La5	A5	358	358	1	8	455	95	96		26.4
273	8	La5	A5	358	358	0	0	0	95	96		26.4
274	9	Sol5	G5	349	349	1	8	455	99	96	bi	26.5
275	9	Fa5#3	F5#4	343	344	2	16	455	95	96		26.6
276	9	Mi5b3	E5b4	333	332	1	8	455	99	96	me 	26.7
277	8	La5	A5	358	358	0	0	0	95	96		26.7
278	9	Sol5	G5	349	349	1	8	455	95	96		26.8
279	9	Fa5#3	F5#4	343	344	1	8	455	99	96	tak	26.9
280	9	Mi5b3	E5b4	333	332	1	8	455	99	96		27
281	9	Re5	D5	327	327	1	8	455	95	96		27.1
282	9	Re5	D5	327	327	2	16	455	99	96	tým 	27.2
283	8	Fa5#3	F5#4	343	344	0	0	0	99	96		27.2
284	9	Mi5b3	E5b4	333	332	1	16	227	99	96		27.25
285	9	Re5	D5	327	327	1	16	227	95	96		27.3
286	10	Fa5#3	F5#4	343	344	1	8	455	99	96		27.4
287	8	Sol5	G5	349	349	0	0	0	99	96		27.4
288	9	Fa5#3	F5#4	343	344	1	16	227	99	96		27.45
289	9	Mi5b3	E5b4	333	332	1	16	227	99	96		27.5
290	9	Re5	D5	327	327	1	8	455	99	96		27.6
291	9	Do5	C5	318	318	2	16	455	99	96		27.7
292	9	Si4b1	B4b1	313	313	1	16	227	99	96		27.75
293	9	La4#4	A4#4	309	309	1	16	227	99	96		27.8
294	9	Si4b1	B4b1	313	313	3	16	682	95	96		27.95
295	9	Do5	C5	318	318	1	16	227	95	96	SAZ	28
296	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	28.05
297	9	Do5	C5	318	318	1	16	227	95	96	.	28.1
298	9	Re5	D5	327	327	1	4	909	95	96	.	28.3
299	9	Do5	C5	318	318	1	8	455	95	96	ya	28.4
300	9	Re5	D5	327	327	1	4	909	95	96	na	28.6
301	9	Re5	D5	327	327	8	16	1818	99	96	ðýn	29
302	9	Mi5b3	E5b4	333	332	1	16	227	99	96		29.05
303	9	Re5	D5	327	327	1	16	227	95	96		29.1
304	9	Mi5b3	E5b4	333	332	1	16	227	99	96	dan  	29.15
305	9	Re5	D5	327	327	1	16	227	99	96		29.2
