Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	1	16	227	95	100	ARANAÐME	0.0625
2	9	Do5	C5	318	318	1	16	227	95	100	.	0.125
3	9	Re5	D5	327	327	1	4	909	95	100	.	0.375
4	9	Do5	C5	318	318	1	8	455	95	100	.	0.5
5	10	Re5	D5	327	327	1	8	455	95	100	.	0.625
6	8	Mi5b3	E5b4	333	332	0	0	0	95	99	.	0.625
7	9	Re5	D5	327	327	1	16	227	95	99	.	0.6875
8	9	Do5	C5	318	318	1	16	227	95	99	.	0.75
9	9	Si4b1	B4b1	313	313	1	16	227	95	99	.	0.8125
10	9	Do5	C5	318	318	1	16	227	95	99	.	0.875
11	9	Re5	D5	327	327	1	8	455	95	99	.	1
12	9	Do5	C5	318	318	1	16	227	95	99	.	1.0625
13	9	Re5	D5	327	327	1	16	227	95	99	.	1.125
14	9	Mi5b3	E5b4	333	332	4	16	909	95	99	.	1.375
15	9	Re5	D5	327	327	1	8	455	95	99	.	1.5
16	10	Mi5b3	E5b4	333	332	1	8	455	95	98	.	1.625
17	8	Fa5#3	F5#4	343	344	0	0	0	95	98	.	1.625
18	9	Mi5b3	E5b4	333	332	1	16	227	95	98	.	1.6875
19	9	Re5	D5	327	327	1	16	227	95	98	.	1.75
20	9	Do5	C5	318	318	1	16	227	95	98	.	1.8125
21	9	Re5	D5	327	327	1	16	227	95	98	.	1.875
22	9	Mi5b3	E5b4	333	332	1	8	455	95	98	.	2
23	9	Re5	D5	327	327	1	16	227	95	98	.	2.0625
24	9	Mi5b3	E5b4	333	332	1	16	227	95	98	.	2.125
25	9	Fa5#3	F5#4	343	344	4	16	909	95	97	.	2.375
26	9	Sol5	G5	349	349	1	8	455	95	97	.	2.5
27	9	Fa5#3	F5#4	343	344	1	16	227	95	97	.	2.5625
28	9	Mi5b3	E5b4	333	332	1	16	227	95	97	.	2.625
29	9	Re5	D5	327	327	1	16	227	95	97	.	2.6875
30	9	Sol5	G5	349	349	1	16	227	95	97	.	2.75
31	9	Fa5#3	F5#4	343	344	1	16	227	95	97	.	2.8125
32	9	Mi5b3	E5b4	333	332	1	16	227	95	97	.	2.875
33	9	Re5	D5	327	327	1	16	227	95	97	.	2.9375
34	9	Do5	C5	318	318	1	16	227	95	96	.	3
35	9	Si4b1	B4b1	313	313	1	2	1818	95	96	.	3.5
36	9	Sol4	G4	296	296	1	4	909	50	96	.	3.75
37	9	Si4b1	B4b1	313	313	1	4	909	50	96	.	4
38	52			0	0	1	8	0	127	96		4.125
39	9	Si4b1	B4b1	313	313	1	16	227	95	96	ARANAÐME	4.1875
40	9	Do5	C5	318	318	1	16	227	95	96	.	4.25
41	9	Re5	D5	327	327	1	4	909	95	96	.	4.5
42	9	Do5	C5	318	318	1	8	455	95	96	.	4.625
43	10	Re5	D5	327	327	1	8	455	95	96	.	4.75
44	8	Mi5b3	E5b4	333	332	0	0	0	95	96	.	4.75
45	9	Re5	D5	327	327	1	16	227	95	96	.	4.8125
46	9	Do5	C5	318	318	1	16	227	95	96	.	4.875
47	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	4.9375
48	9	Do5	C5	318	318	1	16	227	95	96	.	5
49	9	Re5	D5	327	327	1	8	455	95	96	.	5.125
50	9	Do5	C5	318	318	1	16	227	95	96	.	5.1875
51	9	Re5	D5	327	327	1	16	227	95	96	.	5.25
52	9	Mi5b3	E5b4	333	332	4	16	909	95	96	.	5.5
53	9	Re5	D5	327	327	1	8	455	95	96	.	5.625
54	10	Mi5b3	E5b4	333	332	1	8	455	95	96	.	5.75
55	8	Fa5#3	F5#4	343	344	0	0	0	95	96	.	5.75
56	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	5.8125
57	9	Re5	D5	327	327	1	16	227	95	96	.	5.875
58	9	Do5	C5	318	318	1	16	227	95	96	.	5.9375
59	9	Re5	D5	327	327	1	16	227	95	96	.	6
60	9	Mi5b3	E5b4	333	332	1	8	455	95	96	.	6.125
61	9	Re5	D5	327	327	1	16	227	95	96	.	6.1875
62	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	6.25
63	9	Fa5#3	F5#4	343	344	4	16	909	95	96	.	6.5
64	9	Sol5	G5	349	349	1	8	455	95	96	.	6.625
65	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	6.6875
66	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	6.75
67	9	Re5	D5	327	327	1	16	227	95	96	.	6.8125
68	9	Sol5	G5	349	349	1	16	227	95	96	.	6.875
69	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	6.9375
70	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	7
71	9	Re5	D5	327	327	1	16	227	95	96	.	7.0625
72	9	Do5	C5	318	318	1	16	227	95	96	.	7.125
73	9	Si4b1	B4b1	313	313	1	2	1818	95	96	.	7.625
74	9	Sol4	G4	296	296	1	4	909	50	96	.	7.875
75	9	Si4b1	B4b1	313	313	1	4	909	50	96	.	8.125
76	9	Do5	C5	318	318	1	8	455	95	96	Se	8.25
77	9	Re5	D5	327	327	1	4	909	95	96	sim	8.5
78	9	Re5	D5	327	327	1	8	455	95	96	de 	8.625
79	9	Re5	D5	327	327	2	16	455	99	96	þar	8.75
80	9	Do5	C5	318	318	1	16	227	99	96		8.8125
81	9	Si4b1	B4b1	313	313	1	16	227	95	96		8.875
82	9	Do5	C5	318	318	1	8	455	95	96	ký	9
83	9	Re5	D5	327	327	1	8	455	95	96	sý 	9.125
84	9	Do5	C5	318	318	1	4	909	95	96	aþ	9.375
85	9	Re5	D5	327	327	1	4	909	95	96	kýn 	9.625
86	9	Do5	C5	318	318	3	32	341	95	96	SAZ	9.71875
87	9	Si4b1	B4b1	313	313	1	32	114	95	96	.	9.75
