Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	1	8	417	95	96	Za	0.125
2	9	Re5	D5	327	327	1	4	833	95	96	man	0.375
3	9	Re5	D5	327	327	1	8	417	95	96	la 	0.5
4	9	Fa5#3	F5#4	343	344	3	16	625	99	96	bel	0.6875
5	9	Mi5b3	E5b4	333	332	1	16	208	95	96		0.75
6	9	Mi5b3	E5b4	333	332	1	8	417	95	96	ki 	0.875
7	9	Re5	D5	327	327	1	8	417	95	96	ge	1
8	9	Mi5b3	E5b4	333	332	1	8	417	99	96	çer 	1.125
9	9	Fa5#3	F5#4	343	344	1	8	417	99	96		1.25
10	9	Mi5b3	E5b4	333	332	1	8	417	99	96		1.375
11	9	Fa5#3	F5#4	343	344	1	8	417	99	96		1.5
12	9	Mi5b3	E5b4	333	332	1	8	417	99	96		1.625
13	9	Fa5#3	F5#4	343	344	1	8	417	99	96		1.75
14	9	Fa5#3	F5#4	343	344	1	16	208	99	96		1.8125
15	9	Mi5b3	E5b4	333	332	1	16	208	99	96		1.875
16	9	Re5	D5	327	327	1	16	208	99	96		1.9375
17	9	Mi5b3	E5b4	333	332	1	16	208	95	96		2
18	9	Re5	D5	327	327	1	1	3333	95	96	ah 	3
19	9	Re5	D5	327	327	1	8	417	95	96	bu 	3.125
20	9	Mi5b3	E5b4	333	332	1	4	833	95	96	aþk 	3.375
21	9	Mi5b3	E5b4	333	332	1	8	417	95	96	da 	3.5
22	9	Mi5b3	E5b4	333	332	1	8	417	99	96	hic	3.625
23	9	Re5	D5	327	327	1	8	417	95	96		3.75
24	9	La5	A5	358	358	1	8	417	99	96	rân 	3.875
25	9	Sol5	G5	349	349	1	16	208	99	96		3.9375
26	9	Fa5#3	F5#4	343	344	1	16	208	95	96		4
27	9	Fa5#3	F5#4	343	344	1	1	3333	99	96	da  	5
28	9	Mi5b3	E5b4	333	332	1	16	208	99	96		5.0625
29	9	Fa5#3	F5#4	343	344	1	16	208	99	96		5.125
30	9	Sol5	G5	349	349	3	8	1250	99	96		5.5
31	9	Fa5#3	F5#4	343	344	1	16	208	99	96		5.5625
32	9	Mi5b3	E5b4	333	332	1	16	208	99	96		5.625
33	9	Re5	D5	327	327	1	16	208	99	96		5.6875
34	9	Do5	C5	318	318	1	16	208	99	96		5.75
35	9	Re5	D5	327	327	1	4	833	95	96		6
36	9	Si4b1	B4b1	313	313	1	8	417	95	96	bu 	6.125
37	9	Re5	D5	327	327	1	4	833	95	96	aþk 	6.375
38	9	Re5	D5	327	327	1	8	417	95	96	da 	6.5
39	9	Mi5b3	E5b4	333	332	1	8	417	99	96	hic	6.625
40	9	Fa5#3	F5#4	343	344	1	8	417	95	96		6.75
41	9	Sol5	G5	349	349	1	8	417	99	96	rân 	6.875
42	9	Fa5#3	F5#4	343	344	1	24	139	99	96		6.916667
43	9	Mi5b3	E5b4	333	332	1	24	139	99	96		6.958333
44	9	Re5b1	D5b1	326	326	1	24	139	95	96		7
45	9	Re5	D5	327	327	1	1	3333	95	96	da  	8
46	9	Re5	D5	327	327	3	32	312	95	96	SAZ	8.09375
47	9	Do5	C5	318	318	1	32	104	95	96	.	8.125
48	9	Si4b1	B4b1	313	313	1	8	417	95	96	.	8.25
49	9	Do5	C5	318	318	1	8	417	95	96	.	8.375
50	9	Re5	D5	327	327	1	8	417	95	96	.	8.5
51	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	8.625
52	9	Re5	D5	327	327	1	16	208	95	96	.	8.6875
53	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	8.75
54	9	Fa5#3	F5#4	343	344	1	4	833	95	96	.	9
55	9	Sol5	G5	349	349	1	2	1667	95	96	.	9.5
56	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	9.5625
57	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	9.625
58	9	Re5	D5	327	327	1	16	208	95	96	.	9.6875
59	9	Do5	C5	318	318	1	16	208	95	96	.	9.75
60	9	Si4b1	B4b1	313	313	1	4	833	95	96	.	10
61	52			0	0	1	8	0	127	17		10.125
62	9	Si4b1	B4b1	313	313	1	8	417	95	96	Za	10.25
63	9	Re5	D5	327	327	1	4	833	95	96	man	10.5
64	9	Re5	D5	327	327	1	8	417	95	96	la 	10.625
65	9	Fa5#3	F5#4	343	344	3	16	625	99	96	bel	10.8125
66	9	Mi5b3	E5b4	333	332	1	16	208	95	96		10.875
67	9	Mi5b3	E5b4	333	332	1	8	417	95	96	ki 	11
68	9	Re5	D5	327	327	1	8	417	95	96	ge	11.125
69	9	Mi5b3	E5b4	333	332	1	8	417	99	96	çer 	11.25
70	9	Fa5#3	F5#4	343	344	1	8	417	99	96		11.375
71	9	Mi5b3	E5b4	333	332	1	8	417	99	96		11.5
72	9	Fa5#3	F5#4	343	344	1	8	417	99	96		11.625
73	9	Mi5b3	E5b4	333	332	1	8	417	99	96		11.75
74	9	Fa5#3	F5#4	343	344	1	8	417	99	96		11.875
75	9	Fa5#3	F5#4	343	344	1	16	208	99	96		11.9375
76	9	Mi5b3	E5b4	333	332	1	16	208	99	96		12
77	9	Re5	D5	327	327	1	16	208	99	96		12.0625
78	9	Mi5b3	E5b4	333	332	1	16	208	95	96		12.125
79	9	Re5	D5	327	327	1	1	3333	95	96	ah 	13.125
80	9	Re5	D5	327	327	1	8	417	95	96	bu 	13.25
81	9	Mi5b3	E5b4	333	332	1	4	833	95	96	aþk 	13.5
82	9	Mi5b3	E5b4	333	332	1	8	417	95	96	da 	13.625
83	9	Mi5b3	E5b4	333	332	1	8	417	99	96	hic	13.75
84	9	Re5	D5	327	327	1	8	417	95	96		13.875
85	9	La5	A5	358	358	1	8	417	99	96	rân 	14
86	9	Sol5	G5	349	349	1	16	208	99	96		14.0625
87	9	Fa5#3	F5#4	343	344	1	16	208	95	96		14.125
88	9	Fa5#3	F5#4	343	344	1	1	3333	99	96	da  	15.125
89	9	Mi5b3	E5b4	333	332	1	16	208	99	96		15.1875
90	9	Fa5#3	F5#4	343	344	1	16	208	99	96		15.25
91	9	Sol5	G5	349	349	3	8	1250	99	96		15.625
92	9	Fa5#3	F5#4	343	344	1	16	208	99	96		15.6875
93	9	Mi5b3	E5b4	333	332	1	16	208	99	96		15.75
94	9	Re5	D5	327	327	1	16	208	99	96		15.8125
95	9	Do5	C5	318	318	1	16	208	99	96		15.875
96	9	Re5	D5	327	327	1	4	833	95	96		16.125
97	9	Si4b1	B4b1	313	313	1	8	417	95	96	bu 	16.25
98	9	Re5	D5	327	327	1	4	833	95	96	aþk 	16.5
99	9	Re5	D5	327	327	1	8	417	95	96	da 	16.625
100	9	Mi5b3	E5b4	333	332	1	8	417	99	96	hic	16.75
101	9	Fa5#3	F5#4	343	344	1	8	417	95	96		16.875
102	9	Sol5	G5	349	349	1	8	417	99	96	rân 	17
103	9	Fa5#3	F5#4	343	344	1	24	139	99	96		17.04167
104	9	Mi5b3	E5b4	333	332	1	24	139	99	96		17.08333
105	9	Re5b1	D5b1	326	326	1	24	139	95	96		17.125
106	9	Re5	D5	327	327	1	1	3333	95	96	da  	18.125
107	9	Re5	D5	327	327	3	32	312	95	96	SAZ	18.21875
108	9	Do5	C5	318	318	1	32	104	95	96	.	18.25
109	9	Si4b1	B4b1	313	313	1	8	417	95	96	.	18.375
110	9	Do5	C5	318	318	1	8	417	95	96	.	18.5
111	9	Re5	D5	327	327	1	8	417	95	96	.	18.625
112	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	18.75
113	9	Re5	D5	327	327	1	16	208	95	96	.	18.8125
114	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	18.875
115	9	Fa5#3	F5#4	343	344	1	4	833	95	96	.	19.125
116	9	Sol5	G5	349	349	1	2	1667	95	96	.	19.625
117	9	Fa5#3	F5#4	343	344	3	32	312	95	96	.	19.71875
118	9	Mi5b3	E5b4	333	332	1	32	104	95	96	.	19.75
119	9	Re5	D5	327	327	1	16	208	95	96	.	19.8125
120	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	19.875
121	9	Re5	D5	327	327	1	4	833	95	96	.	20.125
122	9	Sol5	G5	349	349	1	8	417	95	96	Se	20.25
123	9	La5	A5	358	358	1	8	417	99	96	ven 	20.375
124	9	Sol5	G5	349	349	1	8	417	95	96		20.5
125	9	Fa5#3	F5#4	343	344	1	8	417	95	96	gö	20.625
126	9	Sol5	G5	349	349	1	8	417	99	96	nül	20.75
127	9	La5	A5	358	358	1	8	417	99	96		20.875
128	9	Sol5	G5	349	349	1	8	417	99	96		21
129	9	Si5b5	B5b5	362	362	1	16	208	99	96		21.0625
130	9	La5b1	A5b1	357	357	1	16	208	95	96		21.125
131	9	La5	A5	358	358	1	1	3333	95	96	de 	22.125
132	9	La5	A5	358	358	1	8	417	95	96	mu	22.25
133	9	Si5b5	B5b5	362	362	3	8	1250	95	96	hab	22.625
134	9	Do6	C6	371	371	1	16	208	99	96	bet 	22.6875
135	9	Si5b5	B5b5	362	362	1	16	208	99	96		22.75
136	9	La5	A5	358	358	1	16	208	99	96		22.8125
137	9	Sol5	G5	349	349	1	16	208	99	96		22.875
138	9	Fa5#3	F5#4	343	344	1	16	208	99	96		22.9375
139	9	Mi5#4	E5#4	340	340	1	16	208	99	96		23
140	9	Fa5#3	F5#4	343	344	1	8	417	95	96		23.125
141	9	Fa5#3	F5#4	343	344	1	8	417	95	96	sö	23.25
142	9	Sol5	G5	349	349	1	4	833	95	96	ner 	23.5
143	9	La5	A5	358	358	1	8	417	95	96	mi 	23.625
144	9	Si5b5	B5b5	362	362	1	4	833	95	96	bir 	23.875
145	9	La5	A5	358	358	1	16	208	99	96	an	23.9375
146	9	Sol5	G5	349	349	1	16	208	99	96		24
147	9	Fa5#3	F5#4	343	344	1	16	208	99	96		24.0625
148	9	Mi5b2	E5b1	334	335	1	16	208	95	96		24.125
149	9	Mi5b1	E5b1	335	335	3	4	2500	99	96	da  	24.875
150	9	Mi5b1	E5b1	335	335	3	16	625	99	96		25.0625
151	9	Re5	D5	327	327	1	16	208	99	96		25.125
152	9	Re5	D5	327	327	1	16	208	99	96		25.1875
153	9	Mi5b3	E5b4	333	332	1	16	208	99	96		25.25
