Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	4	435	95	96		0.2857143
2	9	Re5	D5	327	327	1	4	435	95	96		0.5714286
3	9	Re5	D5	327	327	1	4	435	95	96		0.8571429
4	9	Re5	D5	327	327	1	8	217	95	96		1
5	9	Re5	D5	327	327	1	4	435	95	66		1.285714
6	9	Re5	D5	327	327	1	4	435	95	96		1.571429
7	9	Mi5b3	E5b4	333	332	1	8	217	95	126		1.714286
8	9	Re5	D5	327	327	1	8	217	95	96		1.857143
9	9	Do5	C5	318	318	1	8	217	95	96		2
10	9	Re5	D5	327	327	1	4	435	95	66		2.285714
11	9	Re5	D5	327	327	1	4	435	95	66		2.571429
12	9	Mi5b3	E5b4	333	332	1	8	217	95	66		2.714286
13	9	Re5	D5	327	327	1	8	217	95	73		2.857143
14	9	Do5	C5	318	318	1	8	217	95	79		3
15	9	Mi5b3	E5b4	333	332	1	8	217	95	86		3.142857
16	9	Re5	D5	327	327	1	8	217	95	93		3.285714
17	9	Do5	C5	318	318	1	8	217	95	99		3.428571
18	9	Si4b2	B4b1	312	313	1	8	217	95	106		3.571429
19	9	Do5	C5	318	318	1	4	435	95	113		3.857143
20	9			-1	-1	1	8	217	100	119		4
21	52			0	0	1	8	0	127	126		4.142857
22	9	Do5	C5	318	318	1	4	435	95	96		4.428571
23	9	Re5	D5	327	327	1	4	435	95	96		4.714286
24	9	Re5	D5	327	327	1	4	435	95	96		5
25	9	Re5	D5	327	327	1	8	217	95	96		5.142857
26	9	Re5	D5	327	327	1	4	435	95	66		5.428571
27	9	Re5	D5	327	327	1	4	435	95	96		5.714286
28	9	Mi5b3	E5b4	333	332	1	8	217	95	126		5.857143
29	9	Re5	D5	327	327	1	8	217	95	96		6
30	9	Do5	C5	318	318	1	8	217	95	96		6.142857
31	9	Re5	D5	327	327	1	4	435	95	66		6.428571
32	9	Re5	D5	327	327	1	4	435	95	66		6.714286
33	9	Mi5b3	E5b4	333	332	1	8	217	95	69		6.857143
34	9	Re5	D5	327	327	1	8	217	95	72		7
35	9	Do5	C5	318	318	1	8	217	95	75		7.142857
36	9	Mi5b3	E5b4	333	332	1	8	217	95	78		7.285714
37	9	Re5	D5	327	327	1	8	217	95	96		7.428571
38	9	Do5	C5	318	318	1	8	217	95	96		7.571429
39	9	Si4b2	B4b1	312	313	1	8	217	95	96		7.714286
40	9	Do5	C5	318	318	1	4	435	95	96		8
41	9			-1	-1	1	8	217	100	0		8.142858
42	9	Re5	D5	327	327	1	4	435	95	66		8.428572
43	9	Re5	D5	327	327	1	4	435	95	67		8.714286
44	9	Mi5b3	E5b4	333	332	1	8	217	95	68		8.857142
45	9	Re5	D5	327	327	1	8	217	95	70		9
46	9	Do5	C5	318	318	1	8	217	95	71		9.142858
47	9	Re5	D5	327	327	1	8	217	95	72		9.285714
48	9	Re5	D5	327	327	1	8	217	95	96		9.428572
49	9	Do5	C5	318	318	1	8	217	95	96		9.571428
50	9	Re5	D5	327	327	1	8	217	95	66		9.714286
51	9	Do5	C5	318	318	1	4	435	95	68		10
52	9	Si4b2	B4b1	312	313	1	8	217	95	70		10.14286
53	9	Do5	C5	318	318	1	8	217	95	72		10.28571
54	9	Si4b2	B4b1	312	313	1	8	217	95	96		10.42857
55	9	Do5	C5	318	318	1	8	217	95	66		10.57143
56	9	Re5	D5	327	327	1	8	217	95	96		10.71429
57	9	Do5	C5	318	318	1	8	217	95	126		10.85714
58	9	Si4b2	B4b1	312	313	1	8	217	95	96		11
59	9	La4	A4	305	305	1	8	217	95	96		11.14286
60	9	Re5	D5	327	327	1	4	435	95	84		11.42857
61	9	Re5	D5	327	327	1	4	435	95	84		11.71429
62	9	Re5	D5	327	327	1	4	435	95	84		12
63	9			-1	-1	1	8	217	100	0		12.14286
64	9	Re5	D5	327	327	1	4	435	95	66		12.42857
65	9	Re5	D5	327	327	1	4	435	95	77		12.71429
66	9	Mi5b3	E5b4	333	332	1	8	217	95	88		12.85714
67	9	Re5	D5	327	327	1	8	217	95	98		13
68	9	Do5	C5	318	318	1	8	217	95	109		13.14286
69	9	Mi5b3	E5b4	333	332	1	8	217	95	120		13.28571
70	9	Re5	D5	327	327	1	8	217	95	96		13.42857
71	9	Do5	C5	318	318	1	8	217	95	96		13.57143
72	9	Re5	D5	327	327	1	8	217	95	96		13.71429
73	9	Do5	C5	318	318	1	4	435	95	96		14
74	9	Si4b2	B4b1	312	313	1	8	217	95	96		14.14286
75	9	Do5	C5	318	318	1	8	217	95	96		14.28571
76	9	Si4b2	B4b1	312	313	1	8	217	95	96		14.42857
77	9	Do5	C5	318	318	1	8	217	95	96		14.57143
78	9	Re5	D5	327	327	1	8	217	95	96		14.71429
79	9	Si4b2	B4b1	312	313	1	8	217	95	96		14.85714
80	9	La4	A4	305	305	1	8	217	95	96		15
81	9	Sol4	G4	296	296	1	8	217	95	96		15.14286
82	9	La4	A4	305	305	1	4	435	95	108		15.42857
83	9	La4	A4	305	305	1	4	435	95	108		15.71429
84	9	La4	A4	305	305	1	4	435	95	108		16
85	9			-1	-1	1	8	217	100	0		16.14286
86	9	Re5	D5	327	327	1	4	435	95	66		16.42857
87	9	Re5	D5	327	327	1	4	435	95	67		16.71428
88	9	Mi5b3	E5b4	333	332	1	8	217	95	68		16.85714
89	9	Re5	D5	327	327	1	8	217	95	70		17
90	9	Do5	C5	318	318	1	8	217	95	71		17.14286
91	9	Re5	D5	327	327	1	8	217	95	72		17.28572
92	9	Re5	D5	327	327	1	8	217	95	96		17.42857
93	9	Do5	C5	318	318	1	8	217	95	96		17.57143
94	9	Re5	D5	327	327	1	8	217	95	66		17.71428
95	9	Do5	C5	318	318	1	4	435	95	68		18
96	9	Si4b2	B4b1	312	313	1	8	217	95	70		18.14286
97	9	Do5	C5	318	318	1	8	217	95	72		18.28572
98	9	Si4b2	B4b1	312	313	1	8	217	95	96		18.42857
99	9	Do5	C5	318	318	1	8	217	95	66		18.57143
100	9	Re5	D5	327	327	1	8	217	95	96		18.71428
101	9	Do5	C5	318	318	1	8	217	95	126		18.85714
102	9	Si4b2	B4b1	312	313	1	8	217	95	96		19
103	9	La4	A4	305	305	1	8	217	95	96		19.14286
104	9	Re5	D5	327	327	1	4	435	95	84		19.42857
105	9	Re5	D5	327	327	1	4	435	95	84		19.71428
106	9	Re5	D5	327	327	1	4	435	95	84		20
107	9			-1	-1	1	8	217	100	0		20.14286
108	9	Re5	D5	327	327	1	4	435	95	66		20.42857
109	9	Re5	D5	327	327	1	4	435	95	77		20.71428
110	9	Mi5b3	E5b4	333	332	1	8	217	95	88		20.85714
111	9	Re5	D5	327	327	1	8	217	95	98		21
112	9	Do5	C5	318	318	1	8	217	95	109		21.14286
113	9	Mi5b3	E5b4	333	332	1	8	217	95	120		21.28572
114	9	Re5	D5	327	327	1	8	217	95	96		21.42857
115	9	Do5	C5	318	318	1	8	217	95	96		21.57143
116	9	Re5	D5	327	327	1	8	217	95	96		21.71428
117	9	Do5	C5	318	318	1	4	435	95	96		22
118	9	Si4b2	B4b1	312	313	1	8	217	95	96		22.14286
119	9	Do5	C5	318	318	1	8	217	95	96		22.28572
120	9	Si4b2	B4b1	312	313	1	8	217	95	96		22.42857
