Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	556	95	96		0.1428571
2	9	Re5	D5	327	327	1	8	556	95	96		0.2857143
3	9	Re5	D5	327	327	1	8	556	95	96		0.4285714
4	9	Re5	D5	327	327	1	8	556	95	96		0.5714286
5	9	Mi5b3	E5b4	333	332	1	16	278	95	96		0.6428571
6	9	Re5	D5	327	327	1	16	278	95	96		0.7142857
7	9	Re5	D5	327	327	1	4	1111	95	96		1
8	9	Si4b2	B4b1	312	313	1	16	278	95	96		1.071429
9	9	Do5	C5	318	318	1	16	278	95	96		1.142857
10	9	Re5	D5	327	327	1	16	278	95	96		1.214286
11	9	Mi5	E5	336	336	1	16	278	95	96		1.285714
12	9	Re5	D5	327	327	1	16	278	95	96		1.357143
13	9	Do5	C5	318	318	1	16	278	95	96		1.428571
14	9	Do5	C5	318	318	1	16	278	95	96		1.5
15	9	Si4b2	B4b1	312	313	1	16	278	95	96		1.571429
16	9	Si4b2	B4b1	312	313	1	16	278	95	96		1.642857
17	9	La4	A4	305	305	1	16	278	95	96		1.714286
18	9	La4	A4	305	305	1	4	1111	95	96		2
19	9	Re5	D5	327	327	1	8	556	95	96		2.142857
20	9	Mi5b3	E5b4	333	332	1	8	556	95	96		2.285714
21	9	Fa5#3	F5#4	343	344	1	8	556	95	96		2.428571
22	9	Sol5	G5	349	349	3	16	833	95	96		2.642857
23	9	La5	A5	358	358	1	16	278	95	96		2.714286
24	9	Si5b5	B5b5	362	362	1	8	556	95	96		2.857143
25	9	La5	A5	358	358	1	16	278	95	96		2.928571
26	9	Sol5	G5	349	349	1	16	278	95	96		3
27	9	Fa5#3	F5#4	343	344	1	16	278	95	96		3.071429
28	9	Sol5	G5	349	349	1	16	278	95	96		3.142857
29	9	La5	A5	358	358	1	8	556	95	96		3.285714
30	9	Sol5	G5	349	349	1	16	278	95	96		3.357143
31	9	Fa5#3	F5#4	343	344	1	16	278	95	96		3.428571
32	9	Fa5#3	F5#4	343	344	1	16	278	95	96		3.5
33	9	Mi5b3	E5b4	333	332	1	16	278	95	96		3.571429
34	9	Mi5b3	E5b4	333	332	1	16	278	95	96		3.642857
35	9	Re5	D5	327	327	1	16	278	95	96		3.714286
36	9	Re5	D5	327	327	1	4	1111	95	96		4
37	9	Sol5	G5	349	349	1	8	556	95	96		4.142857
38	9	La5	A5	358	358	1	8	556	95	96		4.285714
39	9	La5	A5	358	358	1	8	556	95	96		4.428571
40	9	La5	A5	358	358	1	16	278	95	96		4.5
41	9	Do6	C6	371	371	1	16	278	95	96		4.571429
42	9	Si5b2	B5b1	365	366	1	16	278	95	96		4.642857
43	9	La5	A5	358	358	1	16	278	95	96		4.714286
44	9	La5	A5	358	358	1	4	1111	95	96		5
45	9	Sol5	G5	349	349	1	8	556	95	96		5.142857
46	9	Fa5#3	F5#4	343	344	1	8	556	95	96		5.285714
47	9	Mi5b3	E5b4	333	332	1	8	556	95	96		5.428571
48	9	Re5	D5	327	327	1	8	556	95	96		5.571429
49	9	Mi5b3	E5b4	333	332	1	16	278	95	96		5.642857
50	9	Re5	D5	327	327	1	16	278	95	96		5.714286
51	9	Do5	C5	318	318	1	4	1111	95	96		6
52	9	Re5	D5	327	327	1	8	556	95	96		6.142857
53	9	Mi5b3	E5b4	333	332	1	8	556	95	96		6.285714
54	9	Fa5#3	F5#4	343	344	1	8	556	95	96		6.428571
55	9	Sol5	G5	349	349	1	8	556	95	96		6.571429
56	9	La5	A5	358	358	1	16	278	95	96		6.642857
57	9	Sol5	G5	349	349	1	16	278	95	96		6.714286
58	9	Fa5#3	F5#4	343	344	1	16	278	95	96		6.785714
59	9	Mi5b3	E5b4	333	332	1	16	278	95	96		6.857143
60	9	Re5	D5	327	327	1	8	556	95	96		7
61	9	Do5	C5	318	318	1	16	278	95	96		7.071429
62	9	Re5	D5	327	327	1	16	278	95	96		7.142857
63	9	Mi5b3	E5b4	333	332	1	16	278	95	96		7.214286
64	9	Fa5#3	F5#4	343	344	1	16	278	95	96		7.285714
65	9	Re5	D5	327	327	1	16	278	95	96		7.357143
66	9	Do5	C5	318	318	1	16	278	95	96		7.428571
67	9	Do5	C5	318	318	1	16	278	95	96		7.5
68	9	Si4b2	B4b1	312	313	1	16	278	95	96		7.571429
69	9	Si4b2	B4b1	312	313	1	16	278	95	96		7.642857
70	9	La4	A4	305	305	1	16	278	95	96		7.714286
71	9	La4	A4	305	305	1	4	1111	95	96		8
