Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	Sol4	G4	296	296	1	4	1111	95	96	.	0.2222222
2	9	Fa5	F5	340	340	3	16	833	95	96	Saf	0.3888889
3	9	Sol5	G5	349	349	1	16	278	95	96	vet_	0.4444444
4	9	Sol5	G5	349	349	1	4	1111	95	96	i 	0.6666667
5	9	Sol5	G5	349	349	1	4	1111	99	96	aþ	0.8888889
6	9	Sol5	G5	349	349	1	16	278	99	96		0.9444444
7	9	Fa5	F5	340	340	1	16	278	95	96		1
8	9	Mi5b1	E5b1	335	335	1	4	1111	95	96	kým 	1.222222
9	9	Fa5	F5	340	340	1	4	1111	95	96	bi	1.444444
10	10	Sol5	G5	349	349	1	8	556	99	96	lip 	1.555556
11	8	Si5b5	B5b5	362	362	0	0	0	99	96		1.555556
12	9	La5b5	A5b5	353	353	1	16	278	99	96		1.611111
13	9	Sol5	G5	349	349	1	16	278	95	96		1.666667
14	9	Sol5	G5	349	349	1	4	1111	99	96	ey 	1.888889
15	9	Sol5	G5	349	349	1	16	278	99	96		1.944444
16	9	Fa5	F5	340	340	1	16	278	95	96		2
17	9	Mi5b1	E5b1	335	335	3	32	417	99	96	gül 	2.083333
18	9	Re5	D5	327	327	1	32	139	99	96		2.111111
19	9	Mi5b1	E5b1	335	335	1	16	278	99	96		2.166667
20	9	Fa5	F5	340	340	1	16	278	99	96		2.222222
21	9	Mi5b1	E5b1	335	335	1	32	139	99	96		2.25
22	9	Re5	D5	327	327	1	32	139	99	114		2.277778
23	9	Do5	C5	318	318	1	16	278	99	114		2.333333
24	9	Mi5b1	E5b1	335	335	1	16	278	95	114		2.388889
25	9	Fa5	F5	340	340	1	16	278	95	114	te	2.444444
26	9	Sol5	G5	349	349	1	4	1111	95	114	nim  	2.666667
27	9	Fa5	F5	340	340	1	16	278	95	114	SAZ 	2.722222
28	9	Mi5b5	E5b5	331	331	1	16	278	95	96	.	2.777778
29	9	Re5	D5	327	327	1	16	278	95	96	.	2.833333
