Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	3	16	833	95	96	Câ	0.3
2	9	Sol5	G5	349	349	1	16	278	95	96		0.4
3	9	Sol5	G5	349	349	3	8	1667	95	96	nâ	1
4	9	La5	A5	358	358	1	8	556	95	96	ya	1.2
5	9	Si5b5	B5b5	362	362	1	8	556	95	96	ka	1.4
6	9	La5	A5	358	358	1	4	1111	95	96	cak	1.8
7	9	Sol5	G5	349	349	1	8	556	95	96		2
8	9	Sol5	G5	349	349	1	8	556	95	96	san	2.2
9	9	La5	A5	358	358	1	16	278	95	96		2.3
10	9	Sol5	G5	349	349	1	16	278	95	96		2.4
11	9	Sol5	G5	349	349	1	16	278	95	96		2.5
12	9	Fa5	F5	340	340	1	16	278	95	96		2.6
13	9	Mi5b1	E5b1	335	335	1	16	278	95	96		2.7
14	9	Re5	D5	327	327	1	16	278	95	96		2.8
15	9	Do5	C5	318	318	1	8	556	95	96		3
16	9	Re5	D5	327	327	1	8	556	95	96	be	3.2
17	9	Mi5b1	E5b1	335	335	1	8	556	95	96	ni	3.4
18	9	Sol5	G5	349	349	1	8	556	95	96	aş	3.6
19	9	Fa5	F5	340	340	1	8	556	95	96		3.8
20	9	Sol5	G5	349	349	1	8	556	95	96		4
21	9	Sol5	G5	349	349	3	16	833	95	96	kın	4.3
22	9	Fa5	F5	340	340	1	16	278	95	96		4.4
23	9	Mi5b1	E5b1	335	335	1	8	556	95	96		4.6
24	9	Re5	D5	327	327	1	8	556	95	96		4.8
25	9	Mi5b1	E5b1	335	335	1	8	556	95	96		5
26	9	Fa5	F5	340	340	1	8	556	95	96		5.2
27	9	Sol5	G5	349	349	1	8	556	95	96		5.4
28	9	Sol5	G5	349	349	1	16	278	95	96		5.5
29	9	Fa5	F5	340	340	1	16	278	95	96		5.6
30	9	Mi5b5	E5b5	331	331	1	16	278	95	96		5.7
31	9	Re5	D5	327	327	1	16	278	95	96		5.8
32	9	Do5	C5	318	318	1	8	556	95	96		6
33	9	Re5	D5	327	327	1	8	556	95	96	la	6.2
34	9	Mi5b1	E5b1	335	335	1	16	278	95	96	e	6.3
35	9	Fa5	F5	340	340	1	16	278	95	96		6.4
36	9	Sol5	G5	349	349	1	8	556	95	96	ğer	6.6
37	9	Fa5	F5	340	340	1	16	278	95	96		6.7
38	9	Mi5b4	E5b4	332	332	1	16	278	95	96		6.8
39	9	Mi5b4	E5b4	332	332	1	16	278	95	96		6.9
40	9	Re5	D5	327	327	1	16	278	95	96		7
41	9	Re5	D5	327	327	1	4	1111	95	96	sen	7.4
42	9	Re5	D5	327	327	1	16	278	95	96	-SAZ-	7.5
43	9	Si4b5	B4b5	309	309	1	16	278	95	96		7.6
44	9	Do5	C5	318	318	1	16	278	95	96		7.7
45	9	La4b5	A4b5	300	300	1	16	278	95	96		7.8
46	9	Sol4	G4	296	296	1	8	556	95	96		8
47	9	Fa5	F5	340	340	3	16	833	95	96	Câ	8.3
48	9	Sol5	G5	349	349	1	16	278	95	96		8.4
49	9	Sol5	G5	349	349	3	8	1667	95	96	nâ	9
50	9	La5	A5	358	358	1	8	556	95	96	ya	9.2
51	9	Si5b5	B5b5	362	362	1	8	556	95	96	ka	9.4
52	9	La5	A5	358	358	1	4	1111	95	96	cak	9.8
53	9	Sol5	G5	349	349	1	8	556	95	96		10
54	9	Sol5	G5	349	349	1	8	556	95	96	san	10.2
55	9	La5	A5	358	358	1	16	278	95	96		10.3
56	9	Sol5	G5	349	349	1	16	278	95	96		10.4
57	9	Sol5	G5	349	349	1	16	278	95	96		10.5
58	9	Fa5	F5	340	340	1	16	278	95	96		10.6
59	9	Mi5b1	E5b1	335	335	1	16	278	95	96		10.7
60	9	Re5	D5	327	327	1	16	278	95	96		10.8
61	9	Do5	C5	318	318	1	8	556	95	96		11
62	9	Re5	D5	327	327	1	8	556	95	96	be	11.2
63	9	Mi5b1	E5b1	335	335	1	8	556	95	96	ni	11.4
64	9	Sol5	G5	349	349	1	8	556	95	96	aş	11.6
65	9	Fa5	F5	340	340	1	8	556	95	96		11.8
66	9	Sol5	G5	349	349	1	8	556	95	96		12
67	9	Sol5	G5	349	349	3	16	833	95	96	kın	12.3
68	9	Fa5	F5	340	340	1	16	278	95	96		12.4
69	9	Mi5b1	E5b1	335	335	1	8	556	95	96		12.6
70	9	Re5	D5	327	327	1	8	556	95	96		12.8
71	9	Mi5b1	E5b1	335	335	1	8	556	95	96		13
72	9	Fa5	F5	340	340	1	8	556	95	96		13.2
73	9	Sol5	G5	349	349	1	8	556	95	96		13.4
74	9	Sol5	G5	349	349	1	16	278	95	96		13.5
75	9	Fa5	F5	340	340	1	16	278	95	96		13.6
76	9	Mi5b5	E5b5	331	331	1	16	278	95	96		13.7
77	9	Re5	D5	327	327	1	16	278	95	96		13.8
78	9	Do5	C5	318	318	1	8	556	95	96		14
79	9	Re5	D5	327	327	1	8	556	95	96	la	14.2
80	9	Mi5b1	E5b1	335	335	1	16	278	95	96	e	14.3
81	9	Fa5	F5	340	340	1	16	278	95	96		14.4
82	9	Sol5	G5	349	349	1	8	556	95	96	ğer	14.6
83	9	Fa5	F5	340	340	1	16	278	95	96		14.7
84	9	Mi5b4	E5b4	332	332	1	16	278	95	96		14.8
85	9	Mi5b4	E5b4	332	332	1	16	278	95	96		14.9
86	9	Re5	D5	327	327	1	16	278	95	96		15
87	9	Re5	D5	327	327	1	4	1111	95	96	sen	15.4
88	9	Do5	C5	318	318	1	16	278	95	96	#AD?	15.5
89	9	Mi5b5	E5b5	331	331	1	16	278	95	96		15.6
90	9	Sol5	G5	349	349	1	16	278	95	96		15.7
91	9	Mi5b1	E5b1	335	335	1	32	139	95	96		15.75
92	9	Fa5	F5	340	340	1	32	139	95	96		15.8
93	9	Sol5	G5	349	349	1	8	556	95	96		16
94	9	Sol5	G5	349	349	1	16	278	95	96	Cev	16.1
95	9	Fa5	F5	340	340	1	16	278	95	96		16.2
96	9	Do6	C6	371	371	1	16	278	95	96		16.3
97	9	Si5b5	B5b5	362	362	1	16	278	95	96		16.4
98	9	Si5b5	B5b5	362	362	1	8	556	95	96	ret	16.6
99	9	La5b5	A5b5	353	353	1	8	556	95	96		16.8
100	9	Sol5	G5	349	349	1	8	556	95	96		17
101	9	Sol5	G5	349	349	1	8	556	95	96	me	17.2
102	9	La5b5	A5b5	353	353	1	16	278	95	96	ça	17.3
103	9	Sol5	G5	349	349	1	16	278	95	96		17.4
104	9	Sol5	G5	349	349	1	16	278	95	96	buk	17.5
105	9	Fa5	F5	340	340	1	16	278	95	96		17.6
