Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	8	500	95	96	Ya	0.2
2	9	Sol5	G5	349	349	1	8	500	99	96	lan	0.4
3	9	La5b5	A5b5	353	353	1	8	500	99	96		0.6
4	9	Si5b5	B5b5	362	362	1	8	500	95	96		0.8
5	9	La5b5	A5b5	353	353	1	16	250	99	96	cý	0.9
6	9	Sol5	G5	349	349	1	16	250	95	96		1
7	9	Sol5	G5	349	349	1	2	2000	99	96	dýr 	1.8
8	8	La5b5	A5b5	353	353	0	0	0	99	96		1.8
9	9	Fa5	F5	340	340	1	8	500	95	96		2
10	9	Do6	C6	371	371	1	16	250	99	96	hep 	2.1
11	9	Si5b5	B5b5	362	362	1	16	250	99	96		2.2
12	9	Do6	C6	371	371	1	8	500	95	96		2.4
13	9	Si5b5	B5b5	362	362	1	8	500	99	96	ay	2.6
14	9	La5b5	A5b5	353	353	1	8	500	95	96		2.8
15	9	La5b5	A5b5	353	353	1	16	250	99	96	na	2.9
16	9	Sol5	G5	349	349	1	16	250	95	96		3
17	9	Sol5	G5	349	349	1	2	2000	95	96	lar  	3.8
18	9			-1	-1	1	8	500	100	0		4
19	9	Si5b5	B5b5	362	362	1	8	500	99	96	Gir 	4.2
20	9	La5b5	A5b5	353	353	1	16	250	99	96		4.3
21	9	Sol5	G5	349	349	1	16	250	95	96		4.4
22	9	Sol5	G5	349	349	1	16	250	99	96	kal	4.5
23	9	Fa5	F5	340	340	1	16	250	99	96		4.6
24	9	Mi5b5	E5b5	331	331	1	16	250	99	96		4.7
25	9	Re5	D5	327	327	1	16	250	95	96		4.8
26	9	Mi5b5	E5b5	331	331	1	8	500	95	96	bi	5
27	9	Fa5	F5	340	340	1	8	500	99	96	me 	5.2
28	9	Sol5	G5	349	349	1	8	500	99	96		5.4
29	9	Sol5	G5	349	349	1	8	500	99	96		5.6
30	9	Fa5	F5	340	340	1	8	500	99	96		5.8
31	9	Mi5b5	E5b5	331	331	1	8	500	95	96		6
32	9	Si5b5	B5b5	362	362	1	16	250	99	96	gör 	6.1
33	9	La5b1	A5b1	357	357	1	16	250	99	96		6.2
34	9	Si5b5	B5b5	362	362	1	16	250	99	96		6.3
35	9	Do6	C6	371	371	1	16	250	95	96		6.4
36	9	Si5b5	B5b5	362	362	1	16	250	99	96	ken	6.5
37	9	La5b5	A5b5	353	353	1	16	250	99	96		6.6
38	9	Sol5	G5	349	349	1	16	250	99	96		6.7
39	9	Fa5	F5	340	340	1	16	250	95	96		6.8
40	9	Mi5b5	E5b5	331	331	1	16	250	99	96	di	6.9
41	9	Fa5	F5	340	340	1	16	250	95	96		7
42	9	Sol5	G5	349	349	1	2	2000	95	96	ni  	7.8
43	9			-1	-1	1	8	500	100	0		8
44	9	Do5	C5	318	318	1	16	250	95	96	SAZ	8.1
45	9	Fa5	F5	340	340	1	16	250	95	96	.	8.2
46	9	Fa5	F5	340	340	1	16	250	95	96	.	8.3
47	9	Sol5	G5	349	349	1	16	250	95	96	.	8.4
48	9	Sol5	G5	349	349	1	16	250	95	96	.	8.5
49	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	8.6
50	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	8.7
51	9	Sol5	G5	349	349	1	16	250	95	96	.	8.8
52	9	Sol5	G5	349	349	1	16	250	95	96	.	8.9
53	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	9
54	9	Re5	D5	327	327	1	16	250	95	96	.	9.1
55	9	Do5	C5	318	318	1	16	250	95	96	.	9.2
56	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	9.3
57	9	Do5	C5	318	318	1	16	250	95	96	.	9.4
58	9	Si4b5	B4b5	309	309	1	8	500	95	96	.	9.6
59	9	La4b5	A4b5	300	300	1	8	500	95	96	.	9.8
60	9	Sol4	G4	296	296	1	8	500	95	96	.	10
61	52			0	0	1	8	0	120	0		10.2
62	9	Fa5	F5	340	340	1	8	500	95	96	Ya	10.4
63	9	Sol5	G5	349	349	1	8	500	99	96	lan	10.6
64	9	La5b5	A5b5	353	353	1	8	500	99	96		10.8
65	9	Si5b5	B5b5	362	362	1	8	500	95	96		11
66	9	La5b5	A5b5	353	353	1	16	250	99	96	cý	11.1
67	9	Sol5	G5	349	349	1	16	250	95	96		11.2
68	9	Sol5	G5	349	349	1	2	2000	99	96	dýr 	12
69	8	La5b5	A5b5	353	353	0	0	0	99	96		12
70	9	Fa5	F5	340	340	1	8	500	95	96		12.2
71	9	Do6	C6	371	371	1	16	250	99	96	hep 	12.3
72	9	Si5b5	B5b5	362	362	1	16	250	99	96		12.4
73	9	Do6	C6	371	371	1	8	500	95	96		12.6
74	9	Si5b5	B5b5	362	362	1	8	500	99	96	ay	12.8
75	9	La5b5	A5b5	353	353	1	8	500	95	96		13
76	9	La5b5	A5b5	353	353	1	16	250	99	96	na	13.1
77	9	Sol5	G5	349	349	1	16	250	95	96		13.2
78	9	Sol5	G5	349	349	1	2	2000	95	96	lar  	14
79	9			-1	-1	1	8	500	100	0		14.2
80	9	Si5b5	B5b5	362	362	1	8	500	99	96	Gir 	14.4
81	9	La5b5	A5b5	353	353	1	16	250	99	96		14.5
82	9	Sol5	G5	349	349	1	16	250	95	96		14.6
83	9	Sol5	G5	349	349	1	16	250	99	96	kal	14.7
84	9	Fa5	F5	340	340	1	16	250	99	96		14.8
85	9	Mi5b5	E5b5	331	331	1	16	250	99	96		14.9
86	9	Re5	D5	327	327	1	16	250	95	96		15
87	9	Mi5b5	E5b5	331	331	1	8	500	95	96	bi	15.2
88	9	Fa5	F5	340	340	1	8	500	99	96	me 	15.4
89	9	Sol5	G5	349	349	1	8	500	99	96		15.6
90	9	Sol5	G5	349	349	1	8	500	99	96		15.8
91	9	Fa5	F5	340	340	1	8	500	99	96		16
92	9	Mi5b5	E5b5	331	331	1	8	500	95	96		16.2
93	9	Si5b5	B5b5	362	362	1	16	250	99	96	gör 	16.3
94	9	La5b1	A5b1	357	357	1	16	250	99	96		16.4
95	9	Si5b5	B5b5	362	362	1	16	250	99	96		16.5
96	9	Do6	C6	371	371	1	16	250	95	96		16.6
97	9	Si5b5	B5b5	362	362	1	16	250	99	96	ken	16.7
98	9	La5b5	A5b5	353	353	1	16	250	99	96		16.8
99	9	Sol5	G5	349	349	1	16	250	99	96		16.9
100	9	Fa5	F5	340	340	1	16	250	95	96		17
101	9	Mi5b5	E5b5	331	331	1	16	250	99	96	di	17.1
102	9	Fa5	F5	340	340	1	16	250	95	96		17.2
103	9	Sol5	G5	349	349	1	2	2000	95	96	ni  	18
104	9			-1	-1	1	8	500	100	0		18.2
105	9	Do5	C5	318	318	1	16	250	95	96	SAZ	18.3
106	9	Fa5	F5	340	340	1	16	250	95	96	.	18.4
107	9	Fa5	F5	340	340	1	16	250	95	96	.	18.5
108	9	Sol5	G5	349	349	1	16	250	95	96	.	18.6
109	9	Sol5	G5	349	349	1	16	250	95	96	.	18.7
110	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	18.8
111	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	18.9
112	9	Sol5	G5	349	349	1	16	250	95	96	.	19
113	9	Sol5	G5	349	349	1	16	250	95	96	.	19.1
114	9	Fa5	F5	340	340	1	16	250	95	96	.	19.2
115	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	19.3
116	9	Fa5	F5	340	340	1	16	250	95	96	.	19.4
117	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	19.5
118	9	Fa5	F5	340	340	1	16	250	95	96	.	19.6
119	9	Sol5	G5	349	349	1	4	1000	95	96	.	20
120	9			-1	-1	1	8	500	100	0		20.2
121	9	Si5b5	B5b5	362	362	1	8	500	99	96	Ger	20.4
122	9	La5b5	A5b5	353	353	1	16	250	99	96		20.5
123	9	Sol5	G5	349	349	1	16	250	95	96		20.6
124	9	Sol5	G5	349	349	1	8	500	99	96	çek 	20.8
125	9	La5b5	A5b5	353	353	1	8	500	95	96		21
126	9	Si5b5	B5b5	362	362	1	16	250	99	96	yü	21.1
127	9	Do6	C6	371	371	1	16	250	95	96		21.2
128	9	Si5b5	B5b5	362	362	1	8	500	99	96	zün 	21.4
129	9	La5b5	A5b5	353	353	1	8	500	99	96		21.6
130	9	Sol5	G5	349	349	1	8	500	99	96		21.8
131	9	Fa5	F5	340	340	1	8	500	99	96		22
132	9	Mi5b5	E5b5	331	331	1	8	500	95	96		22.2
133	9	Mi5b5	E5b5	331	331	3	32	375	99	96	bir 	22.35
134	9	Re5	D5	327	327	1	32	125	99	96		22.4
135	9	Mi5b5	E5b5	331	331	1	16	250	99	96		22.5
136	9	Fa5	F5	340	340	1	16	250	95	96		22.6
137	9	Sol5	G5	349	349	3	32	375	99	96	ben	22.75
138	9	Fa5	F5	340	340	1	32	125	99	96		22.8
139	9	Sol5	G5	349	349	1	16	250	99	96		22.9
140	9	La5b5	A5b5	353	353	1	16	250	95	96		23
141	9	Si5b5	B5b5	362	362	1	16	250	99	96	de 	23.1
142	9	Do6	C6	371	371	1	16	250	95	96		23.2
143	9	Si5b5	B5b5	362	362	1	16	250	99	96	var  	23.3
144	9	La5b5	A5b5	353	353	1	16	250	99	96		23.4
145	9	Sol5	G5	349	349	1	16	250	99	96		23.5
146	9	Fa5	F5	340	340	1	16	250	99	96		23.6
147	9	Mi5b5	E5b5	331	331	3	32	375	99	96		23.75
148	9	Re5	D5	327	327	1	32	125	99	96		23.8
149	9	Do5	C5	318	318	1	8	500	95	96		24
150	9			-1	-1	1	8	500	100	0		24.2
151	9	Mi5b5	E5b5	331	331	3	32	375	99	96	Gir 	24.35
152	9	Re5	D5	327	327	1	32	125	99	96		24.4
153	9	Mi5b5	E5b5	331	331	1	16	250	99	96		24.5
154	9	Do5	C5	318	318	1	16	250	95	96		24.6
155	9	Si4b5	B4b5	309	309	1	16	250	99	96	kal	24.7
156	9	Do5	C5	318	318	1	16	250	99	96		24.8
157	9	Re5	D5	327	327	1	16	250	99	96		24.9
158	9	Mi5b5	E5b5	331	331	1	16	250	95	96		25
159	9	Fa5	F5	340	340	1	16	250	99	96	bi	25.1
160	9	Sol5	G5	349	349	1	16	250	95	96		25.2
161	9	Fa5	F5	340	340	1	16	250	99	96	me 	25.3
162	9	Mi5b5	E5b5	331	331	1	16	250	99	96		25.4
163	9	Re5	D5	327	327	1	16	250	99	96		25.5
164	9	Do5	C5	318	318	1	16	250	99	96		25.6
165	9	Si4b5	B4b5	309	309	1	16	250	99	96		25.7
166	9	Do5	C5	318	318	1	16	250	99	96		25.8
167	9	Re5	D5	327	327	1	8	500	95	96		26
168	9			-1	-1	1	8	500	100	0		26.2
169	9	Do5	C5	318	318	1	8	500	99	96	gör 	26.4
170	9	Si4b5	B4b5	309	309	1	8	500	95	96		26.6
171	9	Do5	C5	318	318	1	16	250	99	96	ken	26.7
172	9	Si4b5	B4b5	309	309	1	16	250	99	96		26.8
173	9	La4b5	A4b5	300	300	1	8	500	99	96		27
174	8	Si4b5	B4b5	309	309	0	0	0	95	96		27
175	9	La4b5	A4b5	300	300	1	16	250	99	96	di	27.1
176	9	Sol4	G4	296	296	1	16	250	95	96		27.2
177	9	Sol4	G4	296	296	1	4	1000	95	96	ni  	27.6
178	9	Mi5b5	E5b5	331	331	3	32	375	95	96	SAZ	27.75
179	9	Re5	D5	327	327	1	32	125	95	96	.	27.8
180	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	27.9
181	9	Do5	C5	318	318	1	16	250	95	96	.	28
182	9	Si4b5	B4b5	309	309	1	8	500	95	96	.	28.2
183	9	Mi5b5	E5b5	331	331	3	32	375	99	96	Gir 	28.35
184	9	Re5	D5	327	327	1	32	125	99	96		28.4
185	9	Mi5b5	E5b5	331	331	1	16	250	99	96		28.5
186	9	Do5	C5	318	318	1	16	250	95	96		28.6
187	9	Si4b5	B4b5	309	309	1	16	250	99	96	kal	28.7
188	9	Do5	C5	318	318	1	16	250	99	96		28.8
189	9	Re5	D5	327	327	1	16	250	99	96		28.9
190	9	Mi5b5	E5b5	331	331	1	16	250	95	96		29
191	9	Fa5	F5	340	340	1	16	250	99	96	bi	29.1
192	9	Sol5	G5	349	349	1	16	250	95	96		29.2
193	9	Fa5	F5	340	340	1	16	250	99	96	me 	29.3
194	9	Mi5b5	E5b5	331	331	1	16	250	99	96		29.4
195	9	Re5	D5	327	327	1	16	250	99	96		29.5
196	9	Do5	C5	318	318	1	16	250	99	96		29.6
197	9	Si4b5	B4b5	309	309	1	16	250	99	96		29.7
198	9	Do5	C5	318	318	1	16	250	99	96		29.8
199	9	Re5	D5	327	327	1	8	500	95	96		30
200	9			-1	-1	1	8	500	100	0		30.2
201	9	Do5	C5	318	318	1	8	500	99	96	gör 	30.4
202	9	Si4b5	B4b5	309	309	1	8	500	95	96		30.6
203	9	Do5	C5	318	318	1	16	250	99	96	ken	30.7
204	9	Si4b5	B4b5	309	309	1	16	250	99	96		30.8
205	9	La4b5	A4b5	300	300	1	8	500	99	96		31
206	8	Si4b5	B4b5	309	309	0	0	0	95	96		31
207	9	La4b5	A4b5	300	300	1	16	250	99	96	di	31.1
208	9	Sol4	G4	296	296	1	16	250	95	96		31.2
209	9	Sol4	G4	296	296	1	2	2000	95	96	ni  	32
210	9			-1	-1	1	8	500	100	0		32.2
211	9	Do5	C5	318	318	1	8	500	95	96	SAZ	32.4
212	9	Re5	D5	327	327	1	8	500	95	96	.	32.6
213	9	Re5	D5	327	327	1	4	1000	95	96	.	33
214	9			-1	-1	1	8	500	100	0	.	33.2
215	9	Fa5	F5	340	340	1	32	125	95	96	.	33.25
216	9	Mi5b1	E5b1	335	335	1	32	125	95	96	.	33.3
217	9	Re5	D5	327	327	1	16	250	95	96	.	33.4
218	9	Mi5b1	E5b1	335	335	1	16	250	95	96	.	33.5
219	9	Fa5	F5	340	340	1	16	250	95	96	.	33.6
220	9	Mi5b1	E5b1	335	335	1	8	500	95	96	.	33.8
221	9	Re5	D5	327	327	1	8	500	95	96	.	34
222	9	Do5	C5	318	318	1	8	500	95	96	.	34.2
223	9	Mi5b1	E5b1	335	335	1	16	250	95	96	.	34.3
224	9	Fa5	F5	340	340	1	16	250	95	96	.	34.4
225	9	Sol5	G5	349	349	1	16	250	95	96	.	34.5
226	9	La5b4	A5b4	354	354	1	16	250	95	96	.	34.6
227	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	34.7
228	9	Do6	C6	371	371	1	16	250	95	96	.	34.8
229	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	34.9
230	9	La5b4	A5b4	354	354	1	16	250	95	96	.	35
231	9	Sol5	G5	349	349	1	16	250	95	96	.	35.1
