Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si5	B5	367	367	1	4	667	95	96	ARANAÐME 	0.5
2	9	La5	A5	358	358	1	16	167	95	96	.	0.625
3	9	Sol5	G5	349	349	1	16	167	95	96	.	0.75
4	9	Fa5#5	F5#5	345	345	1	16	167	95	96	.	0.875
5	9	Mi5	E5	336	336	1	16	167	95	96	.	1
6	9	Re5	D5	327	327	1	2	1333	95	96	.	2
7	9	Si5	B5	367	367	1	4	667	95	96	.	2.5
8	9	La5	A5	358	358	1	16	167	95	96	.	2.625
9	9	Sol5	G5	349	349	1	16	167	95	96	.	2.75
10	9	Fa5#5	F5#5	345	345	1	16	167	95	96	.	2.875
11	9	Mi5	E5	336	336	1	16	167	95	96	.	3
12	9	Re5	D5	327	327	1	2	1333	95	96	.	4
13	9	Re5	D5	327	327	1	8	333	95	96	.	4.25
14	9	Re5	D5	327	327	1	16	167	95	96	.	4.375
15	9	Re5	D5	327	327	1	16	167	95	96	.	4.5
16	9	Mi5	E5	336	336	1	8	333	95	96	.	4.75
17	9	Do5	C5	318	318	1	8	333	95	96	.	5
18	9	Si4	B4	314	314	1	2	1333	95	96	.	6
19	9	Re5	D5	327	327	1	8	333	95	96	.	6.25
20	9	Re5	D5	327	327	1	16	167	95	96	.	6.375
21	9	Re5	D5	327	327	1	16	167	95	96	.	6.5
22	9	Mi5	E5	336	336	1	8	333	95	96	.	6.75
23	9	Do5	C5	318	318	1	8	333	95	96	.	7
24	9	Si4	B4	314	314	1	2	1333	95	96	.	8
25	9	Re5	D5	327	327	1	8	333	95	96	.	8.25
26	9	Re5	D5	327	327	1	16	167	95	96	.	8.375
27	9	Re5	D5	327	327	1	16	167	95	96	.	8.5
28	9	Mi5	E5	336	336	1	8	333	95	96	.	8.75
29	9	Do5	C5	318	318	1	8	333	95	96	.	9
30	9	La4	A4	305	305	1	2	1333	95	96	.	10
31	9			-1	-1	1	8	333	100	0		10.25
32	9	Re5	D5	327	327	1	8	333	95	96	.	10.5
33	9	Mi5	E5	336	336	1	8	333	95	96	.	10.75
34	9	Fa5#5	F5#5	345	345	1	8	333	95	96	.	11
35	9	Sol5	G5	349	349	1	8	333	95	96	.	11.25
36	9	Fa5#5	F5#5	345	345	1	8	333	95	96	.	11.5
37	9	Mi5	E5	336	336	1	8	333	95	96	.	11.75
38	9	Re5	D5	327	327	1	8	333	95	96	.	12
39	52			0	0	1	4	0	90	0		12.5
40	9	Si5	B5	367	367	1	4	667	95	96	ARANAÐME 	13
41	9	La5	A5	358	358	1	16	167	95	96	.	13.125
42	9	Sol5	G5	349	349	1	16	167	95	96	.	13.25
43	9	Fa5#5	F5#5	345	345	1	16	167	95	96	.	13.375
44	9	Mi5	E5	336	336	1	16	167	95	96	.	13.5
45	9	Re5	D5	327	327	1	2	1333	95	96	.	14.5
46	9	Si5	B5	367	367	1	4	667	95	96	.	15
47	9	La5	A5	358	358	1	16	167	95	96	.	15.125
48	9	Sol5	G5	349	349	1	16	167	95	96	.	15.25
49	9	Fa5#5	F5#5	345	345	1	16	167	95	96	.	15.375
50	9	Mi5	E5	336	336	1	16	167	95	96	.	15.5
51	9	Re5	D5	327	327	1	2	1333	95	96	.	16.5
52	9	Re5	D5	327	327	1	8	333	95	96	.	16.75
53	9	Re5	D5	327	327	1	16	167	95	96	.	16.875
54	9	Re5	D5	327	327	1	16	167	95	96	.	17
55	9	Mi5	E5	336	336	1	8	333	95	96	.	17.25
56	9	Do5	C5	318	318	1	8	333	95	96	.	17.5
57	9	Si4	B4	314	314	1	2	1333	95	96	.	18.5
58	9	Re5	D5	327	327	1	8	333	95	96	.	18.75
59	9	Re5	D5	327	327	1	16	167	95	96	.	18.875
60	9	Re5	D5	327	327	1	16	167	95	96	.	19
61	9	Mi5	E5	336	336	1	8	333	95	96	.	19.25
62	9	Do5	C5	318	318	1	8	333	95	96	.	19.5
63	9	Si4	B4	314	314	1	2	1333	95	96	.	20.5
64	9	Re5	D5	327	327	1	8	333	95	96	.	20.75
65	9	Re5	D5	327	327	1	16	167	95	96	.	20.875
66	9	Re5	D5	327	327	1	16	167	95	96	.	21
67	9	Mi5	E5	336	336	1	8	333	95	96	.	21.25
68	9	Do5	C5	318	318	1	8	333	95	96	.	21.5
69	9	La4	A4	305	305	1	2	1333	95	96	.	22.5
70	9			-1	-1	1	8	333	100	0		22.75
71	9	Re5	D5	327	327	1	8	333	95	96	.	23
72	9	Re5	D5	327	327	1	8	333	95	96	.	23.25
73	9	Fa4#5	F4#5	292	292	1	8	333	95	96	.	23.5
74	9	Sol4	G4	296	296	1	8	333	95	96	.	23.75
75	9	Re4	D4	274	274	1	8	333	95	96	.	24
76	9	Sol4	G4	296	296	1	4	667	95	96	.  	24.5
