Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	200	100	72		0.125
2	9	Sol5	G5	349	349	1	4	400	95	78	ARANAÐME	0.375
3	9	Sol5	G5	349	349	1	8	200	95	96	.	0.5
4	9	Sol5	G5	349	349	1	4	400	95	96	.	0.75
5	9	Mi5	E5	336	336	1	8	200	95	84	.	0.875
6	9	Sol5	G5	349	349	1	8	200	95	66	.	1
7	9			-1	-1	1	8	200	100	72	.	1.125
8	9	Fa5#5	F5#5	345	345	1	4	400	95	78	.	1.375
9	9	Fa5#5	F5#5	345	345	1	8	200	95	96	.	1.5
10	9	Fa5#5	F5#5	345	345	1	4	400	95	96	.	1.75
11	9	Re5	D5	327	327	1	8	200	95	84	.	1.875
12	9	Fa5#5	F5#5	345	345	1	8	200	95	66	.	2
13	9			-1	-1	1	8	200	100	72	.	2.125
14	9	Mi5	E5	336	336	1	4	400	95	78	.	2.375
15	9	Mi5	E5	336	336	1	8	200	95	96	.	2.5
16	9	Mi5	E5	336	336	1	4	400	95	96	.	2.75
17	9	Do5	C5	318	318	1	8	200	95	84	.	2.875
18	9	Mi5	E5	336	336	1	8	200	95	84	.	3
19	9	Re5	D5	327	327	1	2	800	95	84	.	3.5
20	9	Sol4	G4	296	296	1	8	200	50	108	.	3.625
21	9	Si4	B4	314	314	1	8	200	50	96	.	3.75
22	9	Re5	D5	327	327	1	4	400	50	96	.	4
23	9			-1	-1	1	8	200	100	0	.	4.125
24	9	Sol4	G4	296	296	1	4	400	95	84	.	4.375
25	9	Re5	D5	327	327	1	8	200	95	96	.	4.5
26	9	Do5#4	C5#4	322	322	1	4	400	95	96	.	4.75
27	9	Do5#4	C5#4	322	322	1	4	400	95	96	.	5
28	9	Re5	D5	327	327	1	1	1600	95	96	.	6
29	9			-1	-1	1	8	200	100	0	.	6.125
30	9	La4	A4	305	305	1	4	400	95	108	.	6.375
31	9	Si4	B4	314	314	1	8	200	95	96	.	6.5
32	12	Do5	C5	318	318	2	8	400	95	96	.	6.75
33	9	Si4	B4	314	314	1	8	200	95	96	.	6.875
34	9	La4	A4	305	305	1	8	200	95	96	.	7
35	9	Sol4	G4	296	296	1	8	200	95	96	.	7.125
36	9	La4	A4	305	305	1	8	200	95	96	.	7.25
37	9	Si4	B4	314	314	1	8	200	95	96	.	7.375
38	9	Do5	C5	318	318	1	8	200	95	96	.	7.5
39	9	Re5	D5	327	327	1	8	200	95	96	.	7.625
40	9	Mi5	E5	336	336	1	8	200	95	96	.	7.75
41	9	Fa5#5	F5#5	345	345	1	8	200	95	96	.	7.875
42	9	Sol5	G5	349	349	1	8	200	95	66	.	8
43	52			0	0	1	8	0	127	66		8.125
44	9			-1	-1	1	8	200	100	72		8.25
45	9	Sol5	G5	349	349	1	4	400	95	78	ARANAÐME	8.5
46	9	Sol5	G5	349	349	1	8	200	95	96	.	8.625
47	9	Sol5	G5	349	349	1	4	400	95	96	.	8.875
48	9	Mi5	E5	336	336	1	8	200	95	84	.	9
49	9	Sol5	G5	349	349	1	8	200	95	66	.	9.125
50	9			-1	-1	1	8	200	100	72	.	9.25
51	9	Fa5#5	F5#5	345	345	1	4	400	95	78	.	9.5
52	9	Fa5#5	F5#5	345	345	1	8	200	95	96	.	9.625
53	9	Fa5#5	F5#5	345	345	1	4	400	95	96	.	9.875
54	9	Re5	D5	327	327	1	8	200	95	84	.	10
55	9	Fa5#5	F5#5	345	345	1	8	200	95	66	.	10.125
56	9			-1	-1	1	8	200	100	72	.	10.25
57	9	Mi5	E5	336	336	1	4	400	95	78	.	10.5
58	9	Mi5	E5	336	336	1	8	200	95	96	.	10.625
59	9	Mi5	E5	336	336	1	4	400	95	96	.	10.875
60	9	Do5	C5	318	318	1	8	200	95	84	.	11
61	9	Mi5	E5	336	336	1	8	200	95	84	.	11.125
62	9	Re5	D5	327	327	1	2	800	95	84	.	11.625
