Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	16	250	95	92	ARANAÐME 	5.555556E-02
2	9	Fa5#4	F5#4	344	344	1	16	250	95	88	.	0.1111111
3	9	Do5#4	C5#4	322	322	1	16	250	95	90	.	0.1666667
4	9	Re5	D5	327	327	1	16	250	95	86	.	0.2222222
5	9	Do5#4	C5#4	322	322	1	16	250	95	88	.	0.2777778
6	9	Re5	D5	327	327	1	16	250	95	84	.	0.3333333
7	9	Do5#4	C5#4	322	322	1	16	250	95	86	.	0.3888889
8	9	Si4b1	B4b1	313	313	1	16	250	95	82	.	0.4444444
9	9	Re5	D5	327	327	1	16	250	95	84	.	0.5
10	9	Do5#4	C5#4	322	322	1	16	250	95	80	.	0.5555556
11	9	Si4b1	B4b1	313	313	1	16	250	95	82	.	0.6111111
12	9	La4#4	A4#4	309	309	1	16	250	95	78	.	0.6666667
13	9	Si4b1	B4b1	313	313	1	4	1000	95	94	.	0.8888889
14	9			-1	-1	1	8	500	100	0	.	1
15	9	Do5#4	C5#4	322	322	1	16	250	95	92	.	1.055556
16	9	Re5	D5	327	327	1	16	250	95	88	.	1.111111
17	9	Do5#4	C5#4	322	322	1	16	250	95	90	.	1.166667
18	9	Si4b1	B4b1	313	313	1	16	250	95	86	.	1.222222
19	9	Do5#4	C5#4	322	322	1	16	250	95	88	.	1.277778
20	9	Re5	D5	327	327	1	16	250	95	84	.	1.333333
21	9	Mi5b1	E5b1	335	335	1	16	250	95	86	.	1.388889
22	9	Fa5	F5	340	340	1	16	250	95	82	.	1.444444
23	9	Mi5b1	E5b1	335	335	1	16	250	95	84	.	1.5
24	9	Re5	D5	327	327	1	16	250	95	80	.	1.555556
25	9	Re5	D5	327	327	1	16	250	95	82	.	1.611111
26	9	Do5#4	C5#4	322	322	1	16	250	95	78	.	1.666667
27	9	Re5	D5	327	327	1	4	1000	95	94	.	1.888889
28	9			-1	-1	1	8	500	100	0	.	2
29	9	Re5	D5	327	327	1	16	250	95	92	.	2.055556
