Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	500	99	96		0.1
2	9	Mi5	E5	336	336	1	8	500	95	96		0.2
3	9	Mi5	E5	336	336	1	8	500	95	96		0.3
4	9	Mi5	E5	336	336	1	8	500	99	96		0.4
5	8	Fa5	F5	340	340	1	8	500	99	96		0.5
6	9	Mi5	E5	336	336	1	16	250	99	96		0.55
7	9	Re5	D5	327	327	1	16	250	95	96		0.6
8	9	Mi5	E5	336	336	1	16	250	99	96		0.65
9	9	Re5	D5	327	327	1	16	250	99	96		0.7
10	8	Mi5	E5	336	336	1	8	500	99	96		0.8
11	9	Re5	D5	327	327	1	16	250	99	96		0.85
12	9	Do5	C5	318	318	1	16	250	95	96		0.9
13	9	Re5	D5	327	327	1	4	1000	99	96		1.1
14	9	Sol5	G5	349	349	1	32	125	99	96		1.125
15	9	Fa5	F5	340	340	1	32	125	99	96		1.15
16	9	Sol5	G5	349	349	1	16	250	99	96		1.2
17	9	Mi5	E5	336	336	3	16	750	95	96		1.35
18	9	Re5	D5	327	327	1	16	250	95	96		1.4
19	9	Re5	D5	327	327	1	8	500	95	96		1.5
20	9	Mi5	E5	336	336	1	16	250	99	96		1.55
21	9	Re5	D5	327	327	1	16	250	99	96		1.6
22	9	Do5	C5	318	318	1	16	250	99	96		1.65
23	9	Re5	D5	327	327	1	16	250	99	96		1.7
24	9	Do5	C5	318	318	1	8	500	95	96		1.8
25	8	Re5	D5	327	327	1	8	500	95	96		1.9
26	9	Do5	C5	318	318	1	16	250	95	96		1.95
27	9	Si4b2	B4b1	312	313	1	16	250	95	96		2
28	9	La4	A4	305	305	1	16	250	99	96		2.05
29	9	Si4b2	B4b1	312	313	1	16	250	99	96		2.1
30	9	La4	A4	305	305	1	8	500	99	96		2.2
31	9	Si4b2	B4b1	312	313	1	8	500	99	96		2.3
32	9	Do5	C5	318	318	1	16	250	99	96		2.35
33	9	Re5	D5	327	327	1	16	250	99	96		2.4
34	9	Do5	C5	318	318	1	16	250	99	96		2.45
35	9	Si4b2	B4b1	312	313	1	16	250	95	96		2.5
36	9	Do5	C5	318	318	1	8	500	95	96		2.6
37	9	Re5	D5	327	327	3	16	750	99	96		2.75
38	9	Mi5	E5	336	336	1	16	250	95	96		2.8
39	8	Mi5	E5	336	336	1	8	500	95	96		2.9
40	9	Re5	D5	327	327	1	8	500	99	96		3
41	9	Do5	C5	318	318	1	16	250	99	96		3.05
42	9	Si4b2	B4b1	312	313	1	16	250	95	96		3.1
43	9	Do5	C5	318	318	1	16	250	99	96		3.15
44	9	Re5	D5	327	327	1	16	250	99	96		3.2
45	9	Do5	C5	318	318	1	8	500	99	96		3.3
