Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	588	49	96	ARANAÐME	0.2222222
2	9			-1	-1	3	8	882	100	0	.	0.5555556
3	9	Re5	D5	327	327	1	8	294	49	96	.	0.6666667
4	9	Do5	C5	318	318	1	8	294	95	96	.	0.7777778
5	9	Re5	D5	327	327	1	8	294	95	96	.	0.8888889
6	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	1
7	9	Re5	D5	327	327	1	4	588	49	96	.	1.222222
8	9			-1	-1	3	8	882	100	0	.	1.555556
9	9	Re5	D5	327	327	1	8	294	49	96	.	1.666667
10	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	1.777778
11	9	Re5	D5	327	327	1	8	294	95	96	.	1.888889
12	9	Do5	C5	318	318	1	8	294	95	96	.	2
13	9	Re5	D5	327	327	1	8	294	95	96	.	2.111111
14	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	2.222222
15	9	Fa5#4	F5#4	344	344	1	8	294	95	96	.	2.333333
16	9	Sol5	G5	349	349	1	8	294	95	96	.	2.444444
17	9	Si5b5	B5b5	362	362	1	8	294	95	96	.	2.555556
18	9	La5	A5	358	358	1	8	294	95	96	.	2.666667
19	9	Sol5	G5	349	349	1	8	294	95	96	.	2.777778
20	9	Fa5#4	F5#4	344	344	1	8	294	95	96	.	2.888889
21	9	La5	A5	358	358	1	8	294	95	96	.	3
22	9	Sol5	G5	349	349	1	4	588	95	96	.	3.222222
23	9	Sol5	G5	349	349	1	4	588	95	96	.	3.444444
24	9	Sol5	G5	349	349	1	4	588	95	96	.	3.666667
25	9	Re5	D5	327	327	1	8	294	95	96	.	3.777778
26	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	3.888889
27	9	Mi5	E5	336	336	1	8	294	95	96	.	4
28	9	Fa5	F5	340	340	1	4	588	49	96	.	4.222222
29	9			-1	-1	3	8	882	100	0	.	4.555555
30	9	Fa5	F5	340	340	1	8	294	49	96	.	4.666667
31	9	Mi5	E5	336	336	1	8	294	95	96	.	4.777778
32	9	Fa5	F5	340	340	1	8	294	95	96	.	4.888889
33	9	Re5	D5	327	327	1	8	294	95	96	.	5
34	9	Fa5	F5	340	340	1	4	588	49	96	.	5.222222
35	9			-1	-1	3	8	882	100	0	.	5.555555
36	9	Fa5	F5	340	340	1	8	294	49	96	.	5.666667
37	9	Mi5	E5	336	336	1	8	294	95	96	.	5.777778
38	9	Fa5	F5	340	340	1	8	294	95	96	.	5.888889
39	9	La5	A5	358	358	1	8	294	95	96	.	6
40	9	Sol5	G5	349	349	1	4	588	95	96	.	6.222222
41	9	Fa5	F5	340	340	1	8	294	95	96	.	6.333333
42	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	6.444445
43	9	Re5	D5	327	327	1	8	294	95	96	.	6.555555
44	9	Do5	C5	318	318	1	8	294	95	96	.	6.666667
45	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	6.777778
46	9	La4	A4	305	305	1	8	294	95	96	.	6.888889
47	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	7
48	9	Sol4	G4	296	296	1	8	294	95	96	.	7.111111
49	9	Sol4	G4	296	296	1	16	147	95	96	.	7.166667
50	9	Sol4	G4	296	296	1	16	147	95	96	.	7.222222
51	9	Sol4	G4	296	296	1	8	294	95	96	.	7.333333
52	9	Sol4	G4	296	296	1	8	294	95	96	.	7.444445
53	9	Sol4	G4	296	296	1	8	294	95	96	.	7.555555
54	9	Sol4	G4	296	296	1	16	147	95	96	.	7.611111
55	9	Sol4	G4	296	296	1	16	147	95	96	.	7.666667
56	9	Sol4	G4	296	296	1	16	147	95	96	.	7.722222
57	9	Fa4#4	F4#4	291	291	1	16	147	95	96	.	7.777778
58	9	Sol4	G4	296	296	1	16	147	95	96	.	7.833333
59	9	La4	A4	305	305	1	16	147	95	96	.	7.888889
60	9	Si4b5	B4b5	309	309	1	16	147	95	96	.	7.944445
61	9	Do5	C5	318	318	1	16	147	95	96	.	8
62	9	Re5	D5	327	327	1	4	588	95	96	Çam	8.222222
63	9	Re5	D5	327	327	1	8	294	95	96	lý	8.333333
64	9	Re5	D5	327	327	1	8	294	95	96	ca 	8.444445
65	9			-1	-1	1	4	588	100	0		8.666667
66	9	Do5	C5	318	318	1	8	294	95	96	yo	8.777778
67	9	Re5	D5	327	327	1	8	294	95	96	lun	8.888889
68	9	Si4b5	B4b5	309	309	1	8	294	95	96	da 	9
69	9	Re5	D5	327	327	1	4	588	95	96	â	9.222222
70	9	Re5	D5	327	327	1	8	294	95	96	þý	9.333333
71	9	Re5	D5	327	327	1	8	294	95	96	ký 	9.444445
72	9			-1	-1	1	4	588	100	0		9.666667
73	9	Do5	C5	318	318	1	8	294	95	96	ko	9.777778
74	9	Re5	D5	327	327	1	8	294	95	96	lun	9.888889
75	9	Si4b5	B4b5	309	309	1	8	294	95	96	da 	10
76	9	Re5	D5	327	327	1	4	588	95	96	iþ	10.22222
77	9	Re5	D5	327	327	1	8	294	95	96	le	10.33333
78	9	Re5	D5	327	327	1	8	294	95	96	ri 	10.44444
79	9			-1	-1	1	4	588	100	0		10.66667
80	9	Mi5b5	E5b5	331	331	1	8	294	95	96	yo	10.77778
81	9	Fa5#4	F5#4	344	344	1	8	294	99	96	lun	10.88889
82	9	La5	A5	358	358	1	8	294	95	96		11
83	9	Sol5	G5	349	349	9	8	2647	95	96	da  	12
84	9	Si5b5	B5b5	362	362	1	4	588	95	96	O 	12.22222
85	9	Si5b5	B5b5	362	362	1	8	294	95	96	be	12.33333
86	9	Si5b5	B5b5	362	362	1	8	294	95	96	nim 	12.44444
87	9			-1	-1	1	4	588	100	0		12.66667
88	9	La5	A5	358	358	1	8	294	95	96	sa	12.77778
