Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b5	B4b5	309	309	1	8	345	95	96	ARANAÐME 	0.1666667
2	9	Si4b5	B4b5	309	309	1	16	172	95	96	.	0.25
3	9	La4	A4	305	305	1	16	172	95	96	.	0.3333333
4	9	Si4b5	B4b5	309	309	1	16	172	95	96	.	0.4166667
5	9	Do5	C5	318	318	1	16	172	95	96	.	0.5
6	9	Re5	D5	327	327	1	8	345	95	96	.	0.6666667
7	9	Re5	D5	327	327	1	16	172	95	96	.	0.75
8	9	Do5	C5	318	318	1	16	172	95	96	.	0.8333333
9	9	Re5	D5	327	327	1	16	172	95	96	.	0.9166667
10	9	Si4b5	B4b5	309	309	1	16	172	95	96	.	1
11	9	La4	A4	305	305	1	8	345	95	96	.	1.166667
12	9	La4	A4	305	305	1	16	172	95	96	.	1.25
13	9	Sol4	G4	296	296	1	16	172	95	96	.	1.333333
14	9	La4	A4	305	305	1	16	172	95	96	.	1.416667
15	9	Si4b5	B4b5	309	309	1	16	172	95	96	.	1.5
16	9	Do5	C5	318	318	1	8	345	95	96	.	1.666667
17	9	Do5	C5	318	318	1	16	172	95	96	.	1.75
18	9	Si4	B4	314	314	1	16	172	95	96	.	1.833333
19	9	Do5	C5	318	318	1	16	172	95	96	.	1.916667
20	9	La4	A4	305	305	1	16	172	95	96	.	2
21	9	Sol4	G4	296	296	1	8	345	95	96	.	2.166667
22	9	Sol4	G4	296	296	1	16	172	95	96	.	2.25
23	9	Fa4#4	F4#4	291	291	1	16	172	95	96	.	2.333333
24	9	Sol4	G4	296	296	1	16	172	95	96	.	2.416667
25	9	La4	A4	305	305	1	16	172	95	96	.	2.5
26	9	Si4b5	B4b5	309	309	1	8	345	95	96	.	2.666667
27	9	La4	A4	305	305	1	8	345	95	96	.	2.833333
28	9	Sol4	G4	296	296	1	8	345	95	96	.	3
29	9	La4	A4	305	305	1	16	172	95	96	.	3.083333
30	9	Si4b5	B4b5	309	309	1	16	172	95	96	.	3.166667
31	9	La4	A4	305	305	1	16	172	95	96	.	3.25
32	9	Sol4	G4	296	296	1	16	172	95	96	.	3.333333
33	9	Fa4#4	F4#4	291	291	1	16	172	95	96	.	3.416667
34	9	Sol4	G4	296	296	1	16	172	95	96	.	3.5
35	9	La4	A4	305	305	1	4	690	95	96	.	3.833333
36	9			-1	-1	1	8	345	100	0	.	4
37	9	Do5	C5	318	318	1	8	345	95	96	.	4.166667
38	9	Do5	C5	318	318	1	16	172	95	96	.	4.25
