Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	238	95	97	ARANAÐME	0.1111111
2	9	Re5	D5	327	327	1	16	119	95	98	.	0.1666667
3	9	Re5	D5	327	327	1	16	119	95	98	.	0.2222222
4	9	Re5	D5	327	327	1	8	238	95	98	.	0.3333333
5	9	Re5	D5	327	327	1	16	119	95	99	.	0.3888889
6	9	Re5	D5	327	327	1	16	119	95	99	.	0.4444444
7	9	Re5	D5	327	327	1	8	238	95	100	.	0.5555556
8	9	Re5	D5	327	327	1	16	119	95	100	.	0.6111111
9	9	Re5	D5	327	327	1	16	119	95	100	.	0.6666667
10	9	Re5	D5	327	327	1	8	238	95	101	.	0.7777778
11	9	Do5#4	C5#4	322	322	1	8	238	95	101	.	0.8888889
12	9	Si4	B4	314	314	1	8	238	95	102	.	1
13	9	Re5	D5	327	327	1	8	238	95	102	.	1.111111
14	9	Re5	D5	327	327	1	16	119	95	102	.	1.166667
15	9	Re5	D5	327	327	1	16	119	95	103	.	1.222222
16	9	Re5	D5	327	327	1	8	238	95	103	.	1.333333
17	9	Re5	D5	327	327	1	16	119	95	103	.	1.388889
18	9	Re5	D5	327	327	1	16	119	95	104	.	1.444444
19	9	Re5	D5	327	327	1	8	238	95	104	.	1.555556
20	9	Re5	D5	327	327	1	16	119	95	105	.	1.611111
21	9	Re5	D5	327	327	1	16	119	95	105	.	1.666667
22	9	Re5	D5	327	327	1	8	238	95	105	.	1.777778
23	9	Do5#4	C5#4	322	322	1	8	238	95	106	.	1.888889
24	9	Si4	B4	314	314	1	8	238	95	106	.	2
25	9	Do5#4	C5#4	322	322	1	8	238	95	107	.	2.111111
26	9	Re5	D5	327	327	1	8	238	95	107	.	2.222222
27	9	Mi5	E5	336	336	1	8	238	95	107	.	2.333333
28	9	Fa5	F5	340	340	1	8	238	95	108	.	2.444444
29	9	Mi5	E5	336	336	1	8	238	95	108	.	2.555556
30	9	Re5	D5	327	327	1	8	238	95	109	.	2.666667
