Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	769	95	96	ARANAÐME	0.2222222
2	9	Si4b1	B4b1	313	313	1	4	769	95	96	.	0.4444444
3	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	0.5
4	9	Re5	D5	327	327	1	16	192	95	96	.	0.5555556
5	9	Mi5	E5	336	336	1	16	192	95	96	.	0.6111111
6	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	0.6666667
7	9	Re5	D5	327	327	1	4	769	95	96	.	0.8888889
8	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	0.9444444
9	9	Re5	D5	327	327	1	16	192	95	96	.	1
10	9	Do5	C5	318	318	3	32	288	95	96	.	1.083333
11	9	Si4b1	B4b1	313	313	1	32	96	95	96	.	1.111111
12	9	La4	A4	305	305	1	16	192	95	96	.	1.166667
13	9	Do5	C5	318	318	1	16	192	95	96	.	1.222222
14	9	Si4b1	B4b1	313	313	3	32	288	95	96	.	1.305556
15	9	La4	A4	305	305	1	32	96	95	96	.	1.333333
16	9	Sol4	G4	296	296	1	16	192	95	96	.	1.388889
17	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	1.444444
18	9	La4	A4	305	305	3	32	288	95	96	.	1.527778
19	9	Sol4	G4	296	296	1	32	96	95	96	.	1.555556
20	9	Fa4#4	F4#4	291	291	1	16	192	95	96	.	1.611111
21	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	1.666667
22	9	La4	A4	305	305	1	16	192	95	96	.	1.722222
23	9	Sol4	G4	296	296	1	16	192	95	96	.	1.777778
24	9	Fa4#4	F4#4	291	291	1	16	192	95	96	.	1.833333
25	9	Mi4	E4	283	283	1	16	192	95	96	.	1.888889
26	9	Re4	D4	274	274	1	8	385	95	96	.	2
27	9	Sol4	G4	296	296	1	4	769	95	96	.	2.222222
28	9	Si4b1	B4b1	313	313	1	4	769	95	96	.	2.444444
29	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	2.5
30	9	Re5	D5	327	327	1	16	192	95	96	.	2.555556
31	9	Mi5	E5	336	336	1	16	192	95	96	.	2.611111
32	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	2.666667
33	9	Re5	D5	327	327	1	4	769	95	96	.	2.888889
34	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	2.944444
35	9	Re5	D5	327	327	1	16	192	95	96	.	3
36	9	Do5	C5	318	318	3	32	288	95	96	.	3.083333
37	9	Si4b1	B4b1	313	313	1	32	96	95	96	.	3.111111
38	9	La4	A4	305	305	1	16	192	95	96	.	3.166667
39	9	Do5	C5	318	318	1	16	192	95	96	.	3.222222
40	9	Si4b1	B4b1	313	313	3	32	288	95	96	.	3.305556
41	9	La4	A4	305	305	1	32	96	95	96	.	3.333333
42	9	Sol4	G4	296	296	1	16	192	95	96	.	3.388889
43	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	3.444444
44	9	La4	A4	305	305	3	32	288	95	96	.	3.527778
45	9	Sol4	G4	296	296	1	32	96	95	96	.	3.555556
46	9	Fa4#4	F4#4	291	291	1	16	192	95	96	.	3.611111
47	9	La4	A4	305	305	1	16	192	95	96	.	3.666667
48	9	Sol4	G4	296	296	3	8	1154	95	96	.	4
49	9	Sol4	G4	296	296	3	16	577	99	96	Bir 	4.166667
50	9	La4	A4	305	305	1	16	192	95	96		4.222222
51	9	Si4b1	B4b1	313	313	1	8	385	99	96	dâ	4.333333
52	9	Do5	C5	318	318	1	8	385	95	96		4.444445
53	9	Re5	D5	327	327	1	8	385	95	96	me 	4.555555
54	8	Fa5#4	F5#4	344	344	0	0	0	95	96		4.555555
55	9	Mi5	E5	336	336	1	16	192	99	96	dü	4.611111
56	9	Re5	D5	327	327	1	16	192	95	96		4.666667
57	9	Re5	D5	327	327	1	8	385	99	96	þür	4.777778
58	9	Do5	C5	318	318	1	8	385	99	96		4.888889
59	9	Si4b1	B4b1	313	313	1	8	385	95	96		5
60	9	Si4b1	B4b1	313	313	1	8	385	99	96	dü 	5.111111
61	9	La4	A4	305	305	1	16	192	99	96		5.166667
62	9	Si4b1	B4b1	313	313	1	16	192	95	96		5.222222
63	9	Do5	C5	318	318	1	8	385	95	96	ki 	5.333333
64	8	Mi5	E5	336	336	0	0	0	95	96		5.333333
65	9	Re5	D5	327	327	1	16	192	99	96	be	5.388889
66	9	Do5	C5	318	318	1	16	192	95	96		5.444445
67	9	Si4b1	B4b1	313	313	1	24	128	99	96	ni 	5.481482
68	9	La4	A4	305	305	1	24	128	99	96		5.518518
69	9	Si4b1	B4b1	313	313	1	24	128	99	96		5.555555
70	9	Do5	C5	318	318	1	16	192	99	96		5.611111
71	9	La4	A4	305	305	1	16	192	99	96		5.666667
72	9	Sol4	G4	296	296	1	4	769	95	96		5.888889
73	9			-1	-1	1	8	385	100	0		6
74	9	Do5	C5	318	318	1	4	769	95	96	bah	6.222222
75	9	Re5	D5	327	327	1	8	385	95	96	tý 	6.333333
76	9	Mi5b3	E5b4	333	332	1	8	385	95	96	si	6.444445
77	9	Fa5#4	F5#4	344	344	1	8	385	99	96	ya	6.555555
78	9	Re5	D5	327	327	1	8	385	99	96		6.666667
79	9	Mi5b3	E5b4	333	332	1	8	385	99	96		6.777778
80	9	Do5	C5	318	318	1	8	385	99	96		6.888889
81	9	Mi5b3	E5b4	333	332	1	16	192	99	96		6.944445
82	8	Fa5#4	F5#4	344	344	0	0	0	95	96		6.944445
83	11	Re5	D5	327	327	1	16	192	95	96		7
84	9	Re5	D5	327	327	3	8	1154	95	96	hým  	7.333333
85	9	Si4b1	B4b1	313	313	1	8	385	95	96	SAZ	7.444445
86	9	Do5	C5	318	318	1	8	385	95	96	.	7.555555
87	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	7.611111
88	9	La4	A4	305	305	1	16	192	95	96	.	7.666667
89	9	Sol4	G4	296	296	1	4	769	95	96	.	7.888889
90	9			-1	-1	1	8	385	100	0		8
91	52			0	0	1	8	0	127	29		8.111111
92	9	Sol4	G4	296	296	3	16	577	99	96	Bir 	8.277778
93	9	La4	A4	305	305	1	16	192	95	96		8.333333
94	9	Si4b1	B4b1	313	313	1	8	385	99	96	dâ	8.444445
95	9	Do5	C5	318	318	1	8	385	95	96		8.555555
96	9	Re5	D5	327	327	1	8	385	95	96	me 	8.666667
97	8	Fa5#4	F5#4	344	344	0	0	0	95	96		8.666667
98	9	Mi5	E5	336	336	1	16	192	99	96	dü	8.722222
99	9	Re5	D5	327	327	1	16	192	95	96		8.777778
100	9	Re5	D5	327	327	1	8	385	99	96	þür	8.888889
101	9	Do5	C5	318	318	1	8	385	99	96		9
102	9	Si4b1	B4b1	313	313	1	8	385	95	96		9.111111
103	9	Si4b1	B4b1	313	313	1	8	385	99	96	dü 	9.222222
104	9	La4	A4	305	305	1	16	192	99	96		9.277778
105	9	Si4b1	B4b1	313	313	1	16	192	95	96		9.333333
106	9	Do5	C5	318	318	1	8	385	95	96	ki 	9.444445
107	8	Mi5	E5	336	336	0	0	0	95	96		9.444445
108	9	Re5	D5	327	327	1	16	192	99	96	be	9.5
109	9	Do5	C5	318	318	1	16	192	95	96		9.555555
110	9	Si4b1	B4b1	313	313	1	24	128	99	96	ni 	9.592592
111	9	La4	A4	305	305	1	24	128	99	96		9.62963
112	9	Si4b1	B4b1	313	313	1	24	128	99	96		9.666667
113	9	Do5	C5	318	318	1	16	192	99	96		9.722222
114	9	La4	A4	305	305	1	16	192	99	96		9.777778
115	9	Sol4	G4	296	296	1	4	769	95	96		10
116	9			-1	-1	1	8	385	100	0		10.11111
117	9	Do5	C5	318	318	1	4	769	95	96	bah	10.33333
118	9	Re5	D5	327	327	1	8	385	95	96	tý 	10.44444
119	9	Mi5b3	E5b4	333	332	1	8	385	95	96	si	10.55556
120	9	Fa5#4	F5#4	344	344	1	8	385	99	96	ya	10.66667
121	9	Re5	D5	327	327	1	8	385	99	96		10.77778
122	9	Mi5b3	E5b4	333	332	1	8	385	99	96		10.88889
123	9	Do5	C5	318	318	1	8	385	99	96		11
124	9	Mi5b3	E5b4	333	332	1	16	192	99	96		11.05556
125	8	Fa5#4	F5#4	344	344	0	0	0	95	96		11.05556
126	11	Re5	D5	327	327	1	16	192	95	96		11.11111
127	9	Re5	D5	327	327	3	8	1154	95	96	hým  	11.44444
128	9	Fa5	F5	340	340	1	16	192	95	96	SAZ	11.5
129	9	Mi5	E5	336	336	1	16	192	95	96	.	11.55556
130	9	Re5	D5	327	327	3	32	288	95	96	.	11.63889
131	9	Do5	C5	318	318	1	32	96	95	96	.	11.66667
132	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	11.72222
133	9	Do5	C5	318	318	1	16	192	95	96	.	11.77778
134	9	Re5	D5	327	327	1	4	769	95	96	.	12
135	9			-1	-1	1	8	385	100	0		12.11111
136	9	Sol5	G5	349	349	1	4	769	95	96	Val	12.33333
137	9	Re5	D5	327	327	1	8	385	99	96	la	12.44444
138	9	Mi5	E5	336	336	1	8	385	95	96		12.55556
139	9	Fa5	F5	340	340	1	8	385	95	96	hi 	12.66667
140	9	Mi5	E5	336	336	1	8	385	95	96	bu 	12.77778
141	9	Re5	D5	327	327	1	8	385	99	96	sev	12.88889
142	9	Do5	C5	318	318	1	8	385	99	96		13
143	9	Si4b1	B4b1	313	313	1	8	385	95	96		13.11111
144	9	Si4b1	B4b1	313	313	1	8	385	99	96	da	13.22222
145	9	La4	A4	305	305	1	16	192	99	96		13.27778
146	9	Si4b1	B4b1	313	313	1	16	192	95	96		13.33333
147	9	Do5	C5	318	318	1	8	385	95	96	da 	13.44444
148	8	Mi5	E5	336	336	0	0	0	95	96		13.44444
149	9	Re5	D5	327	327	1	16	192	99	96	be	13.5
150	9	Do5	C5	318	318	1	16	192	95	96		13.55556
151	9	Si4b1	B4b1	313	313	1	24	128	99	96	nim 	13.59259
152	9	La4	A4	305	305	1	24	128	99	96		13.62963
153	9	Si4b1	B4b1	313	313	1	24	128	99	96		13.66667
154	9	Do5	C5	318	318	1	16	192	99	96		13.72222
155	9	La4	A4	305	305	1	16	192	99	96		13.77778
156	9	Sol4	G4	296	296	1	16	192	99	96		13.83333
157	9	La4	A4	305	305	1	16	192	99	96		13.88889
158	9	Si4b1	B4b1	313	313	1	16	192	99	96		13.94444
159	9	Do5	C5	318	318	1	16	192	99	96		14
160	9	Re5	D5	327	327	1	8	385	95	96		14.11111
161	9	Re5	D5	327	327	1	8	385	99	96	yok	14.22222
162	9	Si4b1	B4b1	313	313	1	8	385	95	96		14.33333
163	9	Do5	C5	318	318	1	8	385	95	96	tur 	14.44444
164	9	La4	A4	305	305	1	8	385	95	96	gü	14.55556
165	9	Si4b1	B4b1	313	313	1	8	385	99	96	na	14.66667
166	9	La4	A4	305	305	1	16	192	99	96		14.72222
167	9	Sol4	G4	296	296	1	16	192	99	96		14.77778
168	9	La4	A4	305	305	1	8	385	99	96		14.88889
169	9	Si4b1	B4b1	313	313	1	8	385	99	96		15
170	9	La4	A4	305	305	1	16	192	99	96		15.05556
171	11	Sol4	G4	296	296	1	16	192	95	96		15.11111
172	9	Sol4	G4	296	296	3	8	1154	95	96	hým  	15.44444
173	9	Fa5	F5	340	340	1	16	192	95	96	SAZ	15.5
174	9	Mi5	E5	336	336	1	16	192	95	96	.	15.55556
175	9	Re5	D5	327	327	3	32	288	95	96	.	15.63889
176	9	Do5	C5	318	318	1	32	96	95	96	.	15.66667
177	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	15.72222
178	9	Do5	C5	318	318	1	16	192	95	96	.	15.77778
179	9	Re5	D5	327	327	1	4	769	95	96	.	16
180	9			-1	-1	1	8	385	100	0		16.11111
181	9	Sol5	G5	349	349	1	4	769	95	96	Val	16.33333
182	9	Re5	D5	327	327	1	8	385	99	96	la	16.44444
183	9	Mi5	E5	336	336	1	8	385	95	96		16.55556
184	9	Fa5	F5	340	340	1	8	385	95	96	hi 	16.66667
185	9	Mi5	E5	336	336	1	8	385	95	96	bu 	16.77778
186	9	Re5	D5	327	327	1	8	385	99	96	sev	16.88889
187	9	Do5	C5	318	318	1	8	385	99	96		17
188	9	Si4b1	B4b1	313	313	1	8	385	95	96		17.11111
189	9	Si4b1	B4b1	313	313	1	8	385	99	96	da	17.22222
190	9	La4	A4	305	305	1	16	192	99	96		17.27778
191	9	Si4b1	B4b1	313	313	1	16	192	95	96		17.33333
192	9	Do5	C5	318	318	1	8	385	95	96	da 	17.44444
193	8	Mi5	E5	336	336	0	0	0	95	96		17.44444
194	9	Re5	D5	327	327	1	16	192	99	96	be	17.5
195	9	Do5	C5	318	318	1	16	192	95	96		17.55556
196	9	Si4b1	B4b1	313	313	1	24	128	99	96	nim 	17.59259
197	9	La4	A4	305	305	1	24	128	99	96		17.62963
198	9	Si4b1	B4b1	313	313	1	24	128	99	96		17.66667
199	9	Do5	C5	318	318	1	16	192	99	96		17.72222
200	9	La4	A4	305	305	1	16	192	99	96		17.77778
201	9	Sol4	G4	296	296	1	16	192	99	96		17.83333
202	9	La4	A4	305	305	1	16	192	99	96		17.88889
203	9	Si4b1	B4b1	313	313	1	16	192	99	96		17.94444
204	9	Do5	C5	318	318	1	16	192	99	96		18
205	9	Re5	D5	327	327	1	8	385	95	96		18.11111
206	9	Re5	D5	327	327	1	8	385	99	96	yok	18.22222
207	9	Si4b1	B4b1	313	313	1	8	385	95	96		18.33333
208	9	Do5	C5	318	318	1	8	385	95	96	tur 	18.44444
209	9	La4	A4	305	305	1	8	385	95	96	gü	18.55556
210	9	Si4b1	B4b1	313	313	1	8	385	99	96	na	18.66667
211	9	La4	A4	305	305	1	16	192	99	96		18.72222
212	9	Sol4	G4	296	296	1	16	192	99	96		18.77778
213	9	La4	A4	305	305	1	8	385	99	96		18.88889
214	9	Si4b1	B4b1	313	313	1	8	385	99	96		19
215	9	La4	A4	305	305	1	16	192	99	96		19.05556
216	11	Sol4	G4	296	296	1	16	192	95	96		19.11111
217	9	Sol4	G4	296	296	3	8	1154	95	96	hým  	19.44444
218	9	Fa5#4	F5#4	344	344	1	16	192	95	96	SAZ	19.5
219	9	Mi5b4	E5b4	332	332	1	16	192	95	96	.	19.55556
220	9	Re5	D5	327	327	3	32	288	95	96	.	19.63889
221	9	Do5#4	C5#4	322	322	1	32	96	95	96	.	19.66667
222	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	19.72222
223	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	19.77778
224	9	Re5	D5	327	327	1	4	769	95	96	.	20
225	9			-1	-1	1	8	385	100	0		20.11111
226	9	Do5#4	C5#4	322	322	3	16	577	99	96	Et	20.27778
227	9	Re5	D5	327	327	1	16	192	95	96		20.33333
228	9	Re5	D5	327	327	1	4	769	95	96	mez	20.55556
229	9	Mi5b4	E5b4	332	332	1	16	192	99	96	se 	20.61111
230	9	Fa5#4	F5#4	344	344	1	16	192	95	96		20.66667
231	9	Mi5b4	E5b4	332	332	1	16	192	99	96	i	20.72222
232	9	Re5	D5	327	327	1	16	192	95	96		20.77778
233	9	Re5	D5	327	327	1	4	769	99	96	na	21
234	9	Re5	D5	327	327	1	16	192	99	96		21.05556
235	9	Do5	C5	318	318	1	16	192	95	96		21.11111
236	9	Do5	C5	318	318	3	16	577	99	96	yet 	21.27778
237	9	Si4b4	B4b4	310	310	1	16	192	95	96		21.33333
238	9	Si4b4	B4b4	310	310	1	8	385	95	96	ba	21.44444
239	9	Si4b4	B4b4	310	310	1	16	192	99	96	na 	21.5
240	9	La4	A4	305	305	1	16	192	95	96		21.55556
241	9	Re5	D5	327	327	1	16	192	99	96	ol 	21.61111
242	9	Do5#4	C5#4	322	322	1	16	192	99	96		21.66667
243	9	Si4b4	B4b4	310	310	1	16	192	99	96		21.72222
244	9	La4	A4	305	305	1	16	192	99	96		21.77778
245	9	Sol4	G4	296	296	1	4	769	95	96		22
246	9			-1	-1	1	8	385	100	0		22.11111
247	9	Do5#4	C5#4	322	322	1	4	769	95	96	çeh	22.33333
248	9	Re5	D5	327	327	1	8	385	95	96	re	22.44444
249	9	Mi5b4	E5b4	332	332	1	8	385	95	96	si 	22.55556
250	9	Fa5#4	F5#4	344	344	1	8	385	99	96	mâ	22.66667
251	9	Re5	D5	327	327	1	8	385	99	96		22.77778
252	9	Mi5b4	E5b4	332	332	1	8	385	99	96		22.88889
