Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5b4	D5b4	323	323	1	8	417	95	96		0.125
2	9	Do5	C5	318	318	1	4	833	95	96		0.375
3	9	Si4b1	B4b1	313	313	1	8	417	95	96		0.5
4	9	Si4b1	B4b1	313	313	1	8	417	95	96		0.625
5	9	La4	A4	305	305	3	8	1250	95	96		1
6	9	Sol4	G4	296	296	1	8	417	95	96		1.125
7	9	La4	A4	305	305	1	4	833	95	96		1.375
8	9	Si4b1	B4b1	313	313	1	8	417	95	96		1.5
9	9	Do5	C5	318	318	1	8	417	95	96		1.625
10	9	Si4b1	B4b1	313	313	1	8	417	95	96		1.75
11	9	Do5	C5	318	318	1	4	833	95	96		2
12	9	Re5b4	D5b4	323	323	1	8	417	95	96		2.125
13	9	Do5	C5	318	318	1	4	833	95	96		2.375
14	9	Si4b1	B4b1	313	313	1	8	417	95	96		2.5
15	9	Si4b1	B4b1	313	313	1	8	417	95	96		2.625
16	9	La4	A4	305	305	1	8	417	95	96		2.75
17	9	Sol4	G4	296	296	1	4	833	95	96		3
18	9	Si4b1	B4b1	313	313	1	8	417	95	96		3.125
19	9	La4	A4	305	305	1	8	417	95	96		3.25
20	9	Sol4	G4	296	296	1	8	417	95	96		3.375
21	9	Si4b1	B4b1	313	313	1	8	417	95	96		3.5
22	9	La4	A4	305	305	1	2	1667	95	96		4
23	9	Do5	C5	318	318	1	8	417	95	96		4.125
24	9	Re5b4	D5b4	323	323	1	8	417	95	96		4.25
25	9	Mi5	E5	336	336	1	8	417	95	96		4.375
26	9	Fa5	F5	340	340	1	8	417	95	96		4.5
27	9	Mi5	E5	336	336	1	8	417	95	96		4.625
28	9	Re5b4	D5b4	323	323	1	8	417	95	96		4.75
29	9	Do5	C5	318	318	1	8	417	95	96		4.875
30	9	Si4b1	B4b1	313	313	1	8	417	95	96		5
31	9	La4	A4	305	305	1	8	417	95	96		5.125
32	9	Sol4	G4	296	296	1	8	417	95	96		5.25
33	9	La4	A4	305	305	1	8	417	95	96		5.375
34	9	Si4b1	B4b1	313	313	1	8	417	95	96		5.5
35	9	Do5	C5	318	318	1	2	1667	95	96		6
36	9	Do5	C5	318	318	1	8	417	95	96		6.125
37	9	Re5b4	D5b4	323	323	1	8	417	95	96		6.25
38	9	Mi5	E5	336	336	1	8	417	95	96		6.375
39	9	Fa5	F5	340	340	1	8	417	95	96		6.5
40	9	Mi5	E5	336	336	1	8	417	95	96		6.625
41	9	Re5b4	D5b4	323	323	1	8	417	95	96		6.75
42	9	Do5	C5	318	318	1	8	417	95	96		6.875
43	9	Si4b1	B4b1	313	313	1	8	417	95	96		7
44	9	Do5	C5	318	318	1	8	417	95	96		7.125
45	9	Re5b4	D5b4	323	323	1	8	417	95	96		7.25
46	9	Do5	C5	318	318	1	8	417	95	96		7.375
47	9	Si4b1	B4b1	313	313	1	8	417	95	96		7.5
48	9	La4	A4	305	305	1	2	1667	95	96		8
