Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	385	99	96	Sa	4.166667E-02
2	8	Re5b3	D5b4	324	323	0	0	0	99	96		4.166667E-02
3	9	Do5	C5	318	318	1	16	192	99	96		0.0625
4	9	Si4b2	B4b1	312	313	1	16	192	99	96		8.333334E-02
5	9	Do5	C5	318	318	1	8	385	99	96		0.125
6	9	Sol4	G4	296	296	1	8	385	95	96		0.1666667
7	9	Do5	C5	318	318	1	2	1538	95	96	hil	0.3333333
8	9	Do5	C5	318	318	1	8	385	99	96	de 	0.375
9	9	Re5b3	D5b4	324	323	1	8	385	99	96		0.4166667
10	8	Mi5	E5	336	336	0	0	0	99	96		0.4166667
11	9	Re5b3	D5b4	324	323	1	8	385	99	96		0.4583333
12	9	Do5	C5	318	318	1	8	385	95	96		0.5
13	9	Do5	C5	318	318	1	8	385	99	96	sa	0.5416667
14	9	Si4b2	B4b1	312	313	1	16	192	99	96		0.5625
15	9	La4	A4	305	305	1	16	192	99	96		0.5833333
16	9	Sol4	G4	296	296	1	16	192	99	96		0.6041667
17	9	La4	A4	305	305	1	16	192	99	96		0.625
18	9	Si4b2	B4b1	312	313	1	16	192	99	96		0.6458333
19	9	Do5	C5	318	318	1	16	192	95	80		0.6666667
20	9	Do5	C5	318	318	1	2	1538	99	96	bâ 	0.8333333
21	9	Do5	C5	318	318	1	16	192	99	96		0.8541667
22	9	Si4b2	B4b1	312	313	1	16	192	99	96		0.875
23	9	Si4b2	B4b1	312	313	1	16	192	99	96		0.8958333
24	9	La4	A4	305	305	1	16	192	99	96		0.9166667
25	9	Si4b2	B4b1	312	313	1	4	769	95	96		1
26	9	Do5	C5	318	318	1	8	385	99	96	rüz	1.041667
27	9	Re5b3	D5b4	324	323	1	8	385	99	96		1.083333
28	9	Do5	C5	318	318	1	8	385	99	96		1.125
29	9	Si4b2	B4b1	312	313	1	8	385	99	96		1.166667
30	9	La4	A4	305	305	1	8	385	99	96		1.208333
31	9	Si4b2	B4b1	312	313	1	8	385	99	96		1.25
32	9	La4	A4	305	305	1	8	385	99	96		1.291667
33	9	Si4b2	B4b1	312	313	1	8	385	95	96		1.333333
34	9	Do5	C5	318	318	1	8	385	99	96	gâ	1.375
35	9	Si4b2	B4b1	312	313	1	8	385	99	96		1.416667
36	8	Do5	C5	318	318	0	0	0	99	96		1.416667
37	9	Si4b2	B4b1	312	313	1	8	385	99	96		1.458333
38	9	Do5	C5	318	318	1	8	385	99	96		1.5
39	9	Do5	C5	318	318	1	16	192	99	96		1.520833
40	9	Si4b2	B4b1	312	313	1	16	192	99	96		1.541667
41	9	Si4b2	B4b1	312	313	1	16	192	99	96		1.5625
42	9	La4	A4	305	305	1	16	192	99	96		1.583333
43	9	La4	A4	305	305	1	24	128	99	96		1.597222
44	9	Sol4#3	G4#4	299	300	1	24	128	99	96		1.611111
45	9	La4	A4	305	305	1	24	128	99	96		1.625
46	9	Si4b4	B4b4	310	310	1	16	192	99	96		1.645833
47	9	La4	A4	305	305	1	16	192	95	96		1.666667
48	9	La4	A4	305	305	1	2	1538	99	96	rý 	1.833333
49	9	Do5	C5	318	318	1	24	128	99	96		1.847222
50	9	Si4b2	B4b1	312	313	1	24	128	99	96		1.861111
51	9	Do5	C5	318	318	1	24	128	99	96		1.875
52	9	Si4b2	B4b1	312	313	1	16	192	99	96		1.895833
53	9	La4	A4	305	305	1	16	192	99	96		1.916667
54	9	La4	A4	305	305	1	4	769	95	96		2
55	9	Do5	C5	318	318	1	16	192	99	96	að	2.020833
56	9	Do5	C5	318	318	1	16	192	99	96		2.041667
57	9	Si4b2	B4b1	312	313	1	16	192	99	96		2.0625
58	9	La4	A4	305	305	1	16	192	99	96		2.083333
59	9	Sol4	G4	296	296	1	16	192	99	96		2.104167
60	9	Fa4#3	F4#4	290	291	1	16	192	99	96		2.125
61	9	Sol4	G4	296	296	1	16	192	99	96		2.145833
62	9	La4	A4	305	305	1	16	192	95	96		2.166667
63	9	Si4b2	B4b1	312	313	1	16	192	99	96	lar	2.1875
64	9	Do5	C5	318	318	1	16	192	99	96		2.208333
65	9	Re5b3	D5b4	324	323	1	16	192	99	96		2.229167
66	9	Si4b2	B4b1	312	313	1	16	192	99	96		2.25
67	9	Do5	C5	318	318	1	4	769	95	96		2.333333
68	9	Re5b3	D5b4	324	323	1	8	385	99	96	ken	2.375
69	9	Do5	C5	318	318	1	8	385	99	96		2.416667
70	8	Re5b3	D5b4	324	323	0	0	0	99	96		2.416667
71	9	Do5	C5	318	318	1	8	385	99	96		2.458333
72	9	Re5b3	D5b4	324	323	1	8	385	95	96		2.5
73	9	Do5	C5	318	318	1	8	385	99	96	u	2.541667
74	9	Si4b2	B4b1	312	313	1	16	192	99	96		2.5625
75	9	La4	A4	305	305	1	16	192	99	96		2.583333
76	9	Si4b2	B4b1	312	313	1	4	769	95	96		2.666667
77	9	Do5	C5	318	318	1	8	385	99	96	yan 	2.708333
78	9	Re5b3	D5b4	324	323	1	8	385	99	96		2.75
79	9	Do5	C5	318	318	1	8	385	99	96		2.791667
80	9	Si4b2	B4b1	312	313	1	8	385	99	96		2.833333
81	9	La4	A4	305	305	1	8	385	99	96		2.875
82	9	Sol4	G4	296	296	1	8	385	99	96		2.916667
83	9	Mi5	E5	336	336	1	8	385	99	96		2.958333
84	9	Re5b3	D5b4	324	323	1	16	192	99	96		2.979167
85	9	Do5	C5	318	318	1	16	192	95	96		3
86	8	Si4b2	B4b1	312	313	0	0	0	95	96		3
87	9	Do5	C5	318	318	3	8	1154	95	96	sen 	3.125
