Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	1463	99	96		0.1
2	9	Sol4	G4	296	296	1	16	366	99	96		0.125
3	9	Fa5	F5	340	340	1	16	366	99	96		0.15
4	9	Mi5b1	E5b1	335	335	1	16	366	99	96		0.175
5	9	Re5	D5	327	327	1	16	366	95	96		0.2
6	9	Do5	C5	318	318	3	32	549	99	96		0.2375
7	9	Si4b1	B4b1	313	313	1	32	183	99	96		0.25
8	9	La4#4	A4#4	309	309	1	16	366	99	96		0.275
9	9	Si4b1	B4b1	313	313	1	16	366	99	96		0.3
10	9	La4#4	A4#4	309	309	1	8	732	95	96		0.35
11	9	Si4b1	B4b1	313	313	1	16	366	99	96		0.375
12	9	Do5	C5	318	318	1	16	366	99	96		0.4
13	9	Re5	D5	327	327	1	8	732	99	96		0.45
14	9	Do5	C5	318	318	1	16	366	99	96		0.475
15	9	Si4b1	B4b1	313	313	1	16	366	99	96		0.5
16	8	Do5	C5	318	318	1	8	732	99	96		0.55
17	9	Si4b1	B4b1	313	313	3	32	549	99	96		0.5875
18	9	La4#4	A4#4	309	309	1	32	183	99	96		0.6
19	9	Sol4	G4	296	296	1	8	732	95	96		0.65
20	9	Fa5	F5	340	340	1	8	732	95	96		0.7
21	9	Mi5b1	E5b1	335	335	1	16	366	99	96		0.725
22	9	Re5	D5	327	327	1	16	366	95	96		0.75
23	9	Re5	D5	327	327	1	8	732	99	96		0.8
24	8	Mi5b1	E5b1	335	335	1	8	732	99	96		0.85
25	9	Re5	D5	327	327	1	16	366	99	96		0.875
26	9	Do5	C5	318	318	1	16	366	99	96		0.9
27	9	Do5	C5	318	318	1	32	183	99	96		0.9125
28	9	Si4b1	B4b1	313	313	1	32	183	99	96		0.925
29	9	Do5	C5	318	318	1	32	183	99	96		0.9375
30	9	Re5	D5	327	327	1	32	183	99	96		0.95
31	9	Do5	C5	318	318	1	16	366	99	96		0.975
32	9	Si4b1	B4b1	313	313	1	16	366	99	96		1
33	9	Si4b1	B4b1	313	313	1	4	1463	95	96		1.1
34	9			-1	-1	1	16	366	100	0		1.125
35	9	Sol4	G4	296	296	1	8	732	99	96		1.175
36	9	Fa5	F5	340	340	1	16	366	99	96		1.2
37	9	Mi5b1	E5b1	335	335	1	8	732	99	96		1.25
38	9	Re5	D5	327	327	1	16	366	99	96		1.275
39	9	Do5	C5	318	318	1	16	366	99	96		1.3
40	9	Si4b1	B4b1	313	313	1	16	366	99	96		1.325
41	9	La4	A4	305	305	1	16	366	99	96		1.35
42	9	Sol4	G4	296	296	1	8	732	95	96		1.4
43	9	Si4b1	B4b1	313	313	1	8	732	99	96		1.45
44	9	Do5	C5	318	318	1	8	732	99	96		1.5
45	9	Do5	C5	318	318	1	32	183	99	96		1.5125
46	9	Si4b1	B4b1	313	313	1	32	183	99	96		1.525
47	9	Do5	C5	318	318	1	32	183	99	96		1.5375
48	9	Re5	D5	327	327	1	32	183	99	96		1.55
49	9	Do5	C5	318	318	1	16	366	99	96		1.575
50	9	Si4b1	B4b1	313	313	1	16	366	99	96		1.6
51	9	Si4b1	B4b1	313	313	1	16	366	99	96		1.625
52	9	La4	A4	305	305	1	16	366	99	96		1.65
53	9	Sol4	G4	296	296	1	8	732	95	96		1.7
54	9	La4	A4	305	305	1	8	732	95	96		1.75
55	9	Si4b4	B4b4	310	310	1	8	732	95	96		1.8
56	9	La4	A4	305	305	1	32	183	99	96		1.8125
57	9	Sol4	G4	296	296	1	32	183	99	96		1.825
58	9	Fa4#4	F4#4	291	291	1	32	183	99	96		1.8375
59	9	Mi4	E4	283	283	1	32	183	99	96		1.85
60	9	Fa4#4	F4#4	291	291	1	16	366	99	96		1.875
61	9	Sol4	G4	296	296	1	16	366	99	96		1.9
62	9	Fa4#4	F4#4	291	291	1	16	366	99	96		1.925
63	9	Sol4	G4	296	296	1	32	183	99	96		1.9375
64	9	La4	A4	305	305	1	32	183	99	96		1.95
65	9	Sol4	G4	296	296	1	16	366	99	96		1.975
66	9	Fa4#4	F4#4	291	291	1	16	366	99	96		2
67	9	Fa4#4	F4#4	291	291	3	32	549	99	96		2.0375
68	9	Mi4	E4	283	283	1	32	183	99	96		2.05
69	9	Re4	D4	274	274	1	8	732	95	96		2.1
70	9	Re4	D4	274	274	1	8	732	99	96		2.15
71	9	Sol4	G4	296	296	1	16	366	99	96		2.175
72	9	Fa4#4	F4#4	291	291	1	16	366	99	96		2.2
73	9	Sol4	G4	296	296	1	8	732	99	96		2.25
74	9	Si4b1	B4b1	313	313	1	16	366	99	96		2.275
75	9	La4#4	A4#4	309	309	1	16	366	99	96		2.3
76	9	Si4b1	B4b1	313	313	1	4	1463	95	96		2.4
77	9			-1	-1	1	8	732	100	0		2.45
78	9	Si4b1	B4b1	313	313	1	16	366	99	96		2.475
79	9	Do5	C5	318	318	1	16	366	99	96		2.5
80	9	Re5	D5	327	327	1	16	366	99	96		2.525
81	9	Mi5b1	E5b1	335	335	1	16	366	99	96		2.55
82	9	Fa5#4	F5#4	344	344	1	16	366	99	96		2.575
83	9	Sol5	G5	349	349	1	32	183	99	96		2.5875
84	9	La5	A5	358	358	1	32	183	99	96		2.6
85	9	Sol5	G5	349	349	1	16	366	99	96		2.625
86	9	Fa5#4	F5#4	344	344	1	8	732	99	96		2.675
87	9	Sol5	G5	349	349	1	16	366	99	96		2.7
88	9	Fa5#4	F5#4	344	344	1	16	366	99	96		2.725
89	9	Sol5	G5	349	349	1	16	366	99	96		2.75
90	9	Fa5#4	F5#4	344	344	1	16	366	95	96		2.775
91	9	Sol5	G5	349	349	1	16	366	95	96		2.8
92	9	Sol5	G5	349	349	3	32	549	99	96		2.8375
93	9	Fa5#4	F5#4	344	344	1	32	183	99	96		2.85
94	9	Fa5#4	F5#4	344	344	1	8	732	99	96		2.9
95	9	Fa5#4	F5#4	344	344	1	8	732	99	96		2.95
96	8	Sol5	G5	349	349	1	8	732	99	96		3
97	9	Fa5#4	F5#4	344	344	1	16	366	99	96		3.025
98	9	Mi5b1	E5b1	335	335	1	16	366	99	96		3.05
99	9	Mi5b1	E5b1	335	335	1	32	183	99	96		3.0625
100	9	Re5	D5	327	327	1	32	183	99	96		3.075
101	9	Mi5b1	E5b1	335	335	1	32	183	99	96		3.0875
102	9	Fa5#4	F5#4	344	344	1	32	183	99	96		3.1
103	9	Mi5b1	E5b1	335	335	1	16	366	99	96		3.125
104	9	Re5	D5	327	327	1	16	366	95	96		3.15
105	9	Do5	C5	318	318	1	16	366	99	96		3.175
106	9	Re5	D5	327	327	3	16	1098	95	96		3.25
107	9			-1	-1	1	8	732	100	0		3.3
108	9	La5	A5	358	358	3	32	549	99	96		3.3375
109	9	Sol5	G5	349	349	1	32	183	99	96		3.35
110	9	Sol5	G5	349	349	3	32	549	99	96		3.3875
111	9	Fa5	F5	340	340	1	32	183	99	96		3.4
112	9	Fa5	F5	340	340	3	32	549	99	96		3.4375
113	9	Mi5b1	E5b1	335	335	1	32	183	99	96		3.45
114	9	Mi5b1	E5b1	335	335	3	32	549	99	96		3.4875
115	9	Re5	D5	327	327	1	32	183	99	96		3.5
116	9	Do5	C5	318	318	1	16	366	99	96		3.525
117	9	Re5	D5	327	327	1	16	366	99	96		3.55
118	9	Mi5b1	E5b1	335	335	1	8	732	99	96		3.6
119	9	Sol5	G5	349	349	3	32	549	99	96		3.6375
120	9	Fa5	F5	340	340	1	32	183	99	96		3.65
121	9	Fa5	F5	340	340	3	32	549	99	96		3.6875
122	9	Mi5b1	E5b1	335	335	1	32	183	99	96		3.7
123	9	Mi5b1	E5b1	335	335	3	32	549	99	96		3.7375
124	9	Re5	D5	327	327	1	32	183	99	96		3.75
125	9	Re5	D5	327	327	3	32	549	99	96		3.7875
126	9	Do5	C5	318	318	1	32	183	99	96		3.8
127	9	Si4b1	B4b1	313	313	1	16	366	99	96		3.825
128	9	Re5	D5	327	327	1	16	366	99	96		3.85
129	9	Do5	C5	318	318	1	4	1463	99	96		3.95
130	9	Do5	C5	318	318	1	32	183	99	96		3.9625
131	9	Si4b1	B4b1	313	313	1	32	183	99	96		3.975
132	9	Do5	C5	318	318	1	32	183	99	96		3.9875
133	9	Re5	D5	327	327	1	32	183	99	96		4
134	9	Do5	C5	318	318	1	16	366	99	96		4.025
135	9	Si4b1	B4b1	313	313	1	16	366	99	96		4.05
136	9	Si4b1	B4b1	313	313	1	4	1463	95	96		4.15
137	9	Si4b1	B4b1	313	313	1	4	1463	99	96		4.25
138	9	Sol5	G5	349	349	1	8	732	99	96		4.3
139	9	Fa5#4	F5#4	344	344	1	16	366	99	96		4.325
140	9	Mi5#4	E5#4	340	340	1	16	366	95	96		4.35
141	9	Fa5#4	F5#4	344	344	1	8	732	95	96		4.4
142	9			-1	-1	1	8	732	100	0		4.45
143	9	Fa5#4	F5#4	344	344	1	16	366	99	96		4.475
144	9	Mi5#4	E5#4	340	340	1	16	366	99	96		4.5
145	9	Fa5#4	F5#4	344	344	1	16	366	99	96		4.525
146	9	Sol5	G5	349	349	1	16	366	99	96		4.55
147	9	Mi5b1	E5b1	335	335	1	16	366	99	96		4.575
148	9	Fa5#4	F5#4	344	344	1	16	366	99	96		4.6
149	9	Re5	D5	327	327	1	16	366	99	96		4.625
150	9	Mi5b1	E5b1	335	335	1	16	366	99	96		4.65
151	9	Re5	D5	327	327	1	16	366	99	96		4.675
152	9	Do5	C5	318	318	1	16	366	99	96		4.7
153	9	Si4b1	B4b1	313	313	1	16	366	99	96		4.725
154	9	La4	A4	305	305	1	16	366	95	96		4.75
155	9	Si4b1	B4b1	313	313	1	8	732	95	96		4.8
156	9	Do5	C5	318	318	1	16	366	99	96		4.825
157	9	Re5	D5	327	327	1	16	366	95	96		4.85
158	9	Do5	C5	318	318	1	8	732	99	96		4.9
159	9	Re5	D5	327	327	1	8	732	99	96		4.95
160	9	Do5	C5	318	318	1	16	366	99	96		4.975
161	9	Re5	D5	327	327	1	16	366	99	96		5
162	9	Mi5b1	E5b1	335	335	1	32	183	99	96		5.0125
163	9	Fa5#4	F5#4	344	344	1	32	183	99	96		5.025
164	9	Mi5b1	E5b1	335	335	1	32	183	99	96		5.0375
165	9	Re5	D5	327	327	1	32	183	99	96		5.05
166	9	Re5	D5	327	327	1	4	1463	95	96		5.15
167	9			-1	-1	1	16	366	100	0		5.175
168	9	Re5	D5	327	327	1	8	732	99	96		5.225
169	9	Mi5b1	E5b1	335	335	1	16	366	99	96		5.25
170	9	Fa5	F5	340	340	1	8	732	99	96		5.3
171	9	Sol5	G5	349	349	1	16	366	99	96		5.325
172	9	La5	A5	358	358	1	16	366	99	96		5.35
173	9	La5	A5	358	358	3	32	549	99	96		5.3875
174	9	Sol5	G5	349	349	1	32	183	99	96		5.4
175	9	Fa5	F5	340	340	1	16	366	99	96		5.425
176	9	Sol5	G5	349	349	1	16	366	99	96		5.45
177	9	Fa5	F5	340	340	1	8	732	99	96		5.5
178	9	Sol5	G5	349	349	1	8	732	95	96		5.55
179	9			-1	-1	1	8	732	100	0		5.6
180	9	Fa5	F5	340	340	1	16	366	99	96		5.625
181	9	Sol5	G5	349	349	1	16	366	99	96		5.65
182	9	La5	A5	358	358	1	16	366	99	96		5.675
183	9	Si5b5	B5b5	362	362	1	32	183	99	96		5.6875
184	9	Do6	C6	371	371	1	32	183	99	96		5.7
185	9	La5	A5	358	358	1	16	366	99	96		5.725
186	9	Sol5	G5	349	349	1	16	366	95	96		5.75
187	9	Sol5	G5	349	349	1	16	366	99	96		5.775
188	9	La5	A5	358	358	1	16	366	95	96		5.8
189	9	Sol5	G5	349	349	1	16	366	99	96		5.825
190	9	Fa5	F5	340	340	1	16	366	95	96		5.85
191	9	Fa5	F5	340	340	1	16	366	99	96		5.875
192	9	Sol5	G5	349	349	1	16	366	99	96		5.9
193	9	Fa5	F5	340	340	1	16	366	99	96		5.925
194	9	Mi5b1	E5b1	335	335	1	16	366	99	96		5.95
195	9	Mi5b1	E5b1	335	335	1	16	366	99	96		5.975
196	9	Re5	D5	327	327	1	16	366	99	96		6
197	9	Fa5	F5	340	340	1	16	366	99	96		6.025
198	9	Mi5b1	E5b1	335	335	1	32	183	99	96		6.0375
199	9	Re5	D5	327	327	1	32	183	99	96		6.05
200	9	Re5	D5	327	327	1	4	1463	95	96		6.15
201	9			-1	-1	1	16	366	100	0		6.175
202	9	Re5	D5	327	327	1	8	732	99	96		6.225
203	9	La5	A5	358	358	1	16	366	99	96		6.25
204	9	La5	A5	358	358	3	32	549	99	96		6.2875
205	9	Sol5	G5	349	349	1	32	183	99	96		6.3
206	9	Sol5	G5	349	349	3	32	549	99	96		6.3375
207	9	Fa5	F5	340	340	1	32	183	99	96		6.35
208	8	Fa5	F5	340	340	1	8	732	99	96		6.4
209	9	Mi5b1	E5b1	335	335	3	32	549	99	96		6.4375
210	9	Re5	D5	327	327	1	32	183	99	96		6.45
211	9	Do5	C5	318	318	1	16	366	99	96		6.475
212	9	Re5	D5	327	327	1	16	366	99	96		6.5
213	9	Mi5b1	E5b1	335	335	1	32	183	99	96		6.5125
214	9	Fa5	F5	340	340	1	32	183	99	96		6.525
