Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	16	250	99	96	Gel 	5.555556E-02
2	9	Mi5b1	E5b1	335	335	1	16	250	95	96		0.1111111
3	9	Re5	D5	327	327	1	8	500	99	96	ey 	0.2222222
4	9	Do5	C5	318	318	1	8	500	99	96		0.3333333
5	9	Si4b1	B4b1	313	313	1	8	500	95	96		0.4444444
6	9	La4#4	A4#4	309	309	1	8	500	99	96	sâ	0.5555556
7	9	Si4b1	B4b1	313	313	1	8	500	99	96		0.6666667
8	9	Do5	C5	318	318	1	8	500	99	96		0.7777778
9	9	Re5	D5	327	327	1	8	500	99	96		0.8888889
10	9	Do5	C5	318	318	1	16	250	99	96		0.9444444
11	9	Si4b1	B4b1	313	313	1	16	250	95	96		1
12	9	Si4b1	B4b1	313	313	3	8	1500	99	96	kî 	1.333333
13	9	Do5	C5	318	318	1	8	500	99	96		1.444444
14	10	Re5	D5	327	327	1	8	500	99	96		1.555556
15	8	Mi5b1	E5b1	335	335	0	0	0	99	96		1.555556
16	9	Re5	D5	327	327	1	16	250	99	96		1.611111
17	9	Do5	C5	318	318	1	16	250	99	96		1.666667
18	9	Re5	D5	327	327	1	4	1000	95	96		1.888889
19	9			-1	-1	1	8	500	100	0		2
20	9	Re5	D5	327	327	1	8	500	95	96	ba	2.111111
21	9	Mi5b1	E5b1	335	335	1	8	500	99	96	na 	2.222222
22	9	Do5	C5	318	318	1	8	500	99	96		2.333333
23	9	Re5	D5	327	327	1	8	500	95	96		2.444444
24	9	Mi5b1	E5b1	335	335	1	8	500	99	96	sun 	2.555556
25	9	Re5	D5	327	327	1	8	500	95	96		2.666667
26	9	Sol5	G5	349	349	1	8	500	99	96	bir 	2.777778
27	9	Fa5#4	F5#4	344	344	1	8	500	95	96		2.888889
28	9	Mi5b1	E5b1	335	335	1	8	500	95	96	pi	3
29	9	Re5	D5	327	327	3	16	750	99	96	yâ	3.166667
30	9	Do5	C5	318	318	1	16	250	99	96		3.222222
31	9	Re5	D5	327	327	1	8	500	99	96		3.333333
32	9	Mi5b1	E5b1	335	335	1	8	500	95	96		3.444444
33	9	Re5	D5	327	327	1	16	250	99	96	le  	3.5
34	9	Do5	C5	318	318	1	16	250	99	96		3.555556
35	9	Re5	D5	327	327	1	16	250	99	96		3.611111
36	9	Do5	C5	318	318	1	16	250	99	96		3.666667
37	9	Si4b1	B4b1	313	313	1	4	1000	95	96		3.888889
38	9			-1	-1	1	8	500	100	0		4
39	9	Fa5	F5	340	340	1	8	500	95	96	Gel 	4.111111
40	9	Sol5	G5	349	349	1	4	1000	99	96	ey 	4.333333
41	9	Fa5	F5	340	340	1	8	500	95	96		4.444445
42	9	Sol5	G5	349	349	1	8	500	99	96	sâ	4.555555
43	9	La5	A5	358	358	1	16	250	99	96		4.611111
44	9	Sol5	G5	349	349	1	16	250	99	96		4.666667
45	9	Fa5	F5	340	340	1	4	1000	99	96		4.888889
46	24	Mi5b1	E5b1	335	335	1	8	500	95	96		5
47	9	Fa5	F5	340	340	1	8	500	99	96	kî 	5.111111
48	9	Sol5	G5	349	349	1	8	500	99	96		5.222222
49	9	La5	A5	358	358	1	8	500	99	96		5.333333
50	9	La5	A5	358	358	1	16	250	99	96		5.388889
51	9	Sol5	G5	349	349	1	16	250	99	96		5.444445
