Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	455	95	96		0.2
2	9	Si4b1	B4b1	313	313	1	8	227	95	96		0.3
3	9	Do5	C5	318	318	1	4	455	95	96		0.5
4	9	Re5	D5	327	327	1	4	455	95	96		0.7
5	9	Re5	D5	327	327	3	8	682	95	96		1
6	9	Re5	D5	327	327	1	4	455	95	96		1.2
7	9	Mi5b1	E5b1	335	335	1	8	227	95	96		1.3
8	9	Re5	D5	327	327	1	8	227	95	96		1.4
9	9	Do5	C5	318	318	1	8	227	95	96		1.5
10	9	Si4b1	B4b1	313	313	1	8	227	95	96		1.6
11	9	La4	A4	305	305	1	8	227	95	96		1.7
12	9	Sol4	G4	296	296	3	8	682	95	96		2
13	9			-1	-1	1	4	455	100	0		2.2
14	9	Re5	D5	327	327	1	8	227	95	96		2.3
15	9	Mi5b1	E5b1	335	335	1	4	455	95	96		2.5
16	9	Fa5#4	F5#4	344	344	1	4	455	95	96		2.7
17	9	Sol5	G5	349	349	1	8	227	95	96		2.8
18	9	Mi5b1	E5b1	335	335	1	8	227	95	96		2.9
19	9	Re5	D5	327	327	1	8	227	95	96		3
20	9	Re5	D5	327	327	5	4	2273	95	96		4
21	9			-1	-1	1	4	455	100	0		4.2
22	9	Si4b1	B4b1	313	313	1	8	227	95	96		4.3
23	9	Do5	C5	318	318	1	4	455	95	96		4.5
24	9	Do5	C5	318	318	1	8	227	95	96		4.6
25	9	Si4b1	B4b1	313	313	1	8	227	95	96		4.7
26	9	Do5	C5	318	318	1	8	227	95	96		4.8
27	9	Si4b1	B4b1	313	313	1	8	227	95	96		4.9
28	9	La4	A4	305	305	1	8	227	95	96		5
29	9	La4	A4	305	305	1	4	455	95	96		5.2
30	9	La4	A4	305	305	1	8	227	95	96		5.3
31	9	Re5	D5	327	327	1	4	455	95	96		5.5
32	9	Sol5	G5	349	349	1	8	227	95	96		5.6
33	9	Fa5#4	F5#4	344	344	1	8	227	95	96		5.7
34	9	Sol5	G5	349	349	3	8	682	95	96		6
35	9			-1	-1	1	4	455	100	0		6.2
36	9	Fa5	F5	340	340	1	8	227	95	96		6.3
37	9	Mi5b1	E5b1	335	335	1	8	227	95	96		6.4
38	9	Re5	D5	327	327	1	8	227	95	96		6.5
39	9	Re5	D5	327	327	1	4	455	95	96		6.7
40	9	Do5	C5	318	318	1	8	227	95	96		6.8
41	9	Si4b1	B4b1	313	313	1	8	227	95	96		6.9
42	9	La4#4	A4#4	309	309	1	8	227	95	96		7
43	9	Si4b1	B4b1	313	313	5	4	2273	95	96		8
44	9			-1	-1	1	4	455	100	0		8.2
45	9	Sol4	G4	296	296	1	8	227	95	96		8.3
46	9	Si4b1	B4b1	313	313	1	4	455	95	96		8.5
47	9	Do5	C5	318	318	1	4	455	95	96		8.7
48	9	Re5	D5	327	327	3	8	682	95	96		9
49	9	Re5	D5	327	327	1	4	455	95	96		9.2
50	9	Mi5b1	E5b1	335	335	1	8	227	95	96		9.3
51	9	Re5	D5	327	327	1	8	227	95	96		9.4
52	9	Do5	C5	318	318	1	8	227	95	96		9.5
53	9	Si4b1	B4b1	313	313	1	8	227	95	96		9.6
54	9	La4#4	A4#4	309	309	1	8	227	95	96		9.7
55	9	Si4b1	B4b1	313	313	3	8	682	95	96		10
56	9	Re5	D5	327	327	1	4	455	95	96		10.2
57	9	Mi5b1	E5b1	335	335	3	8	682	95	96		10.5
58	9	Fa5#4	F5#4	344	344	1	4	455	95	96		10.7
59	9	Sol5	G5	349	349	1	8	227	95	96		10.8
60	9	Mi5b1	E5b1	335	335	1	8	227	95	96		10.9
61	9	Re5	D5	327	327	1	8	227	95	96		11
62	9	Re5	D5	327	327	5	4	2273	95	96		12
63	12	Mi5b1	E5b1	335	335	1	4	455	95	96		12.2
64	9	Mi5b1	E5b1	335	335	1	8	227	95	96		12.3
65	9	Fa5#4	F5#4	344	344	1	4	455	95	96		12.5
66	9	Sol5	G5	349	349	1	16	114	95	96		12.55
67	9	La5	A5	358	358	1	16	114	95	96		12.6
68	9	Sol5	G5	349	349	1	16	114	95	96		12.65
69	9	Fa5#4	F5#4	344	344	1	16	114	95	96		12.7
70	9	Sol5	G5	349	349	3	8	682	95	96		13
