Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	1	4	400	95	96	ARANAÐ	0.3333333
2	9	Si4b1	B4b1	313	313	1	8	200	95	96	ME	0.5
3	9	Do5	C5	318	318	1	8	200	95	96	.	0.6666667
4	9	Si4b1	B4b1	313	313	1	8	200	95	96	.	0.8333333
5	9	La4#4	A4#4	309	309	1	8	200	95	96	.	1
6	9	Do5	C5	318	318	1	4	400	95	96	.	1.333333
7	9	Do5	C5	318	318	1	8	200	95	96	.	1.5
8	9	Re5	D5	327	327	1	8	200	95	96	.	1.666667
9	9	Do5	C5	318	318	1	8	200	95	96	.	1.833333
10	9	Si4b1	B4b1	313	313	1	8	200	95	96	.	2
11	9	Re5	D5	327	327	1	4	400	95	96	.	2.333333
12	9	Re5	D5	327	327	1	8	200	95	96	.	2.5
13	9	Mi5b1	E5b1	335	335	1	8	200	95	96	.	2.666667
14	9	Re5	D5	327	327	1	8	200	95	96	.	2.833333
15	9	Do5	C5	318	318	1	8	200	95	96	.	3
16	9	Si4b1	B4b1	313	313	3	4	1200	95	96	.	4
17	9	Mi5b1	E5b1	335	335	1	4	400	95	96	.	4.333333
18	9	Mi5b1	E5b1	335	335	1	8	200	95	96	.	4.5
19	9	Fa5#4	F5#4	344	344	1	8	200	95	96	.	4.666667
20	9	Mi5b1	E5b1	335	335	1	8	200	95	96	.	4.833333
21	9	Re5	D5	327	327	1	8	200	95	96	.	5
22	9	Fa5#4	F5#4	344	344	1	4	400	95	96	.	5.333333
23	9	Fa5#4	F5#4	344	344	1	8	200	95	96	.	5.5
24	9	Sol5	G5	349	349	1	8	200	95	96	.	5.666667
25	9	Fa5#4	F5#4	344	344	1	8	200	95	96	.	5.833333
26	9	Mi5b1	E5b1	335	335	1	8	200	95	96	.	6
27	9	Sol5	G5	349	349	1	4	400	95	96	.	6.333333
28	9	La5	A5	358	358	1	8	200	95	96	.	6.5
29	9	Sol5	G5	349	349	1	8	200	95	96	.	6.666667
30	9	Fa5#4	F5#4	344	344	1	8	200	95	96	.	6.833333
31	9	Mi5b1	E5b1	335	335	1	8	200	95	96	.	7
32	9	Re5	D5	327	327	3	4	1200	95	96	.	8
33	9	La5#4	A5#4	362	362	1	4	400	95	96	.	8.333333
34	9	Si5b1	B5b1	366	366	1	4	400	95	96	.	8.666667
35	9	Do6	C6	371	371	1	4	400	95	96	.	9
36	9	Re6	D6	380	380	1	4	400	95	96	.	9.333333
37	9	Do6	C6	371	371	1	8	200	95	96	.	9.5
38	9	Si5b1	B5b1	366	366	1	8	200	95	96	.	9.666667
39	9	La5	A5	358	358	1	8	200	95	96	.	9.833333
40	9	Sol5	G5	349	349	1	8	200	95	96	.	10
41	9	Fa5#4	F5#4	344	344	1	4	400	95	96	.	10.33333
42	9	Mi5b1	E5b1	335	335	1	4	400	95	96	.	10.66667
43	9	Re5	D5	327	327	1	8	200	95	96	.	10.83333
44	9	Fa5#4	F5#4	344	344	1	8	200	95	96	.	11
45	9	Mi5b1	E5b1	335	335	3	4	1200	95	96	.	12
46	9	Re5	D5	327	327	1	4	400	95	96	.	12.33333
47	9	Mi5b1	E5b1	335	335	1	4	400	95	96	.	12.66667
48	9	Fa5#4	F5#4	344	344	1	4	400	95	96	.	13
49	9	Do5	C5	318	318	1	4	400	95	96	.	13.33333
50	9	Re5	D5	327	327	1	4	400	95	96	.	13.66667
51	9	Mi5b1	E5b1	335	335	1	4	400	95	96	.	14
52	9	Mi5b1	E5b1	335	335	1	8	200	95	96	.	14.16667
53	9	Fa5#4	F5#4	344	344	1	8	200	95	96	.	14.33333
54	9	Re5	D5	327	327	1	8	200	95	96	.	14.5
55	9	Mi5b1	E5b1	335	335	1	8	200	95	96	.	14.66667
56	9	Do5	C5	318	318	1	8	200	95	96	.	14.83333
57	9	Re5	D5	327	327	1	8	200	95	96	.	15
