Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	La5	A5	358	358	1	2	1600	95	96		0.2222222
2	9			-1	-1	1	8	400	100	0		0.2777778
3	9	Sol5#4	G5#4	353	353	1	4	800	95	96	Sa	0.3888889
4	9	La5	A5	358	358	1	8	400	95	96	ki	0.4444444
5	9	La5	A5	358	358	1	2	1600	95	96	ya 	0.6666667
6	9	Si5	B5	367	367	1	4	800	99	96	mey 	0.7777778
7	9	La5	A5	358	358	1	4	800	99	96		0.8888889
8	9	Sol5#4	G5#4	353	353	1	4	800	99	96		1
9	9	La5	A5	358	358	3	16	600	99	96		1.083333
10	9	Sol5#4	G5#4	353	353	1	16	200	99	96		1.111111
11	9	Fa5	F5	340	340	1	8	400	99	96		1.166667
12	9	Mi5	E5	336	336	1	8	400	95	96		1.222222
13	9			-1	-1	1	8	400	100	0		1.277778
14	9	Mi5	E5	336	336	1	4	800	95	96	sun 	1.388889
15	9	Fa5	F5	340	340	1	8	400	95	96	ki 	1.444444
16	9	La5	A5	358	358	1	8	400	99	96	bir 	1.5
17	9	Sol5#4	G5#4	353	353	1	8	400	99	96		1.555556
18	9	Fa5	F5	340	340	1	8	400	99	96		1.611111
19	9	Mi5	E5	336	336	1	8	400	95	96		1.666667
20	9	Mi5	E5	336	336	1	8	400	99	96	gün 	1.722222
21	9	Fa5	F5	340	340	1	8	400	99	96		1.777778
22	9	Mi5	E5	336	336	1	8	400	99	96		1.833333
23	9	Re5	D5	327	327	1	8	400	99	96		1.888889
24	9	Do5#4	C5#4	322	322	1	8	400	99	96		1.944444
25	9	Mi5	E5	336	336	1	16	200	99	96		1.972222
26	9	Re5	D5	327	327	1	16	200	99	96		2
27	9	Re5	D5	327	327	1	4	800	99	96		2.111111
28	9	Mi5	E5	336	336	1	8	400	99	96		2.166667
29	8	Sol5#4	G5#4	353	353	0	0	0	99	96		2.166667
30	9	Fa5	F5	340	340	1	8	400	95	96		2.222222
31	9			-1	-1	1	8	400	100	0		2.277778
32	9	Fa5	F5	340	340	1	8	400	99	96	la	2.333333
33	9	Mi5	E5	336	336	1	8	400	95	96		2.388889
34	9	Sol5#4	G5#4	353	353	1	8	400	95	96	le	2.444444
35	9	Sol5#4	G5#4	353	353	1	16	200	99	96	zar 	2.472222
36	9	Fa5	F5	340	340	1	8	400	99	96		2.527778
37	9	Mi5	E5	336	336	1	16	200	99	96		2.555556
38	9	Fa5	F5	340	340	1	4	800	95	96		2.666667
39	9	Mi5	E5	336	336	3	32	300	99	96	el	2.708333
40	9	Re5#4	D5#4	331	331	1	32	100	99	96		2.722222
41	9	Mi5	E5	336	336	1	8	400	99	96		2.777778
42	9	Fa5	F5	340	340	3	32	300	99	96		2.819444
43	9	Mi5	E5	336	336	1	32	100	99	96		2.833333
44	9	Fa5	F5	340	340	1	8	400	99	96		2.888889
45	9	Sol5#4	G5#4	353	353	1	4	800	95	96		3
46	9	La5	A5	358	358	1	4	800	95	96		3.111111
47	9	Sol5#4	G5#4	353	353	1	8	400	95	96		3.166667
48	9	Fa5	F5	340	340	1	8	400	95	96		3.222222
49	9	Mi5	E5	336	336	1	8	400	95	96		3.277778
50	9	La5	A5	358	358	1	4	800	99	96	den 	3.388889
51	9	Si5	B5	367	367	1	8	400	99	96		3.444444
52	9	Do6	C6	371	371	1	8	400	99	96		3.5
53	9	La5	A5	358	358	1	4	800	95	96		3.611111
54	9	Sol5#4	G5#4	353	353	1	8	400	95	96	gi	3.666667
55	9	La5	A5	358	358	3	8	1200	95	96	der  	3.833333
56	9	Si5	B5	367	367	1	16	200	95	96	SAZ 	3.861111
57	9	Do6	C6	371	371	1	16	200	95	96	.	3.888889
58	9	Si5	B5	367	367	1	16	200	95	96	.	3.916667
59	9	La5	A5	358	358	1	16	200	95	96	.	3.944444
60	9	La5	A5	358	358	1	16	200	95	96	.	3.972222
61	9	Sol5#4	G5#4	353	353	1	16	200	95	96	.	4
62	52			0	0	1	4	0	75	0		4.111111
63	1	La5	A5	358	358	1	2	1600	95	96		4.333333
64	9			-1	-1	1	8	400	100	0		4.388889
65	9	Sol5#4	G5#4	353	353	1	4	800	95	96	Sa	4.5
66	9	La5	A5	358	358	1	8	400	95	96	ki	4.555555
67	9	La5	A5	358	358	1	2	1600	95	96	ya 	4.777778
68	9	Si5	B5	367	367	1	4	800	99	96	mey 	4.888889
69	9	La5	A5	358	358	1	4	800	99	96		5
70	9	Sol5#4	G5#4	353	353	1	4	800	99	96		5.111111
71	9	La5	A5	358	358	3	16	600	99	96		5.194445
72	9	Sol5#4	G5#4	353	353	1	16	200	99	96		5.222222
73	9	Fa5	F5	340	340	1	8	400	99	96		5.277778
74	9	Mi5	E5	336	336	1	8	400	95	96		5.333333
75	9			-1	-1	1	8	400	100	0		5.388889
76	9	Mi5	E5	336	336	1	4	800	95	96	sun 	5.5
77	9	Fa5	F5	340	340	1	8	400	95	96	ki 	5.555555
78	9	La5	A5	358	358	1	8	400	99	96	bir 	5.611111
79	9	Sol5#4	G5#4	353	353	1	8	400	99	96		5.666667
80	9	Fa5	F5	340	340	1	8	400	99	96		5.722222
81	9	Mi5	E5	336	336	1	8	400	95	96		5.777778
82	9	Mi5	E5	336	336	1	8	400	99	96	gün 	5.833333
83	9	Fa5	F5	340	340	1	8	400	99	96		5.888889
84	9	Mi5	E5	336	336	1	8	400	99	96		5.944445
85	9	Re5	D5	327	327	1	8	400	99	96		6
86	9	Do5#4	C5#4	322	322	1	8	400	99	96		6.055555
87	9	Mi5	E5	336	336	1	16	200	99	96		6.083333
88	9	Re5	D5	327	327	1	16	200	99	96		6.111111
89	9	Re5	D5	327	327	1	4	800	99	96		6.222222
90	9	Mi5	E5	336	336	1	8	400	99	96		6.277778
91	8	Sol5#4	G5#4	353	353	0	0	0	99	96		6.277778
92	9	Fa5	F5	340	340	1	8	400	95	96		6.333333
93	9			-1	-1	1	8	400	100	0		6.388889
94	9	Fa5	F5	340	340	1	8	400	99	96	la	6.444445
95	9	Mi5	E5	336	336	1	8	400	95	96		6.5
96	9	Sol5#4	G5#4	353	353	1	8	400	95	96	le	6.555555
97	9	Sol5#4	G5#4	353	353	1	16	200	99	96	zar 	6.583333
98	9	Fa5	F5	340	340	1	8	400	99	96		6.638889
99	9	Mi5	E5	336	336	1	16	200	99	96		6.666667
100	9	Fa5	F5	340	340	1	4	800	95	96		6.777778
101	9	Mi5	E5	336	336	3	32	300	99	96	el	6.819445
102	9	Re5#4	D5#4	331	331	1	32	100	99	96		6.833333
103	9	Mi5	E5	336	336	1	8	400	99	96		6.888889
104	9	Fa5	F5	340	340	3	32	300	99	96		6.930555
105	9	Mi5	E5	336	336	1	32	100	99	96		6.944445
106	9	Fa5	F5	340	340	1	8	400	99	96		7
107	9	Sol5#4	G5#4	353	353	1	4	800	95	96		7.111111
108	9	La5	A5	358	358	1	4	800	95	96		7.222222
109	9	Sol5#4	G5#4	353	353	1	8	400	95	96		7.277778
110	9	Fa5	F5	340	340	1	8	400	95	96		7.333333
111	9	Mi5	E5	336	336	1	8	400	95	96		7.388889
112	9	La5	A5	358	358	1	4	800	99	96	den 	7.5
113	9	Si5	B5	367	367	1	8	400	99	96		7.555555
114	9	Do6	C6	371	371	1	8	400	99	96		7.611111
115	9	La5	A5	358	358	1	4	800	95	96		7.722222
116	9	Sol5#4	G5#4	353	353	1	8	400	95	96	gi	7.777778
117	9	La5	A5	358	358	3	8	1200	95	96	der  	7.944445
118	9	Mi5	E5	336	336	1	8	400	95	96	SAZ 	8
119	9	Fa5	F5	340	340	1	8	400	95	96	.	8.055555
120	9	Sol5#4	G5#4	353	353	1	8	400	95	96	.	8.111111
121	9	La5	A5	358	358	1	2	1600	95	96	.	8.333333
122	9			-1	-1	1	4	800	100	0		8.444445
123	9	La5	A5	358	358	1	8	400	95	96	E	8.5
124	9	La5	A5	358	358	1	16	200	99	96	ri	8.527778
125	9	Sol5	G5	349	349	1	16	200	95	96		8.555555
126	9	Sol5	G5	349	349	1	4	800	99	96	þir 	8.666667
127	9	Fa5#4	F5#4	344	344	3	32	300	99	96		8.708333
128	9	Mi5#4	E5#4	340	340	1	32	100	99	96		8.722222
