Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	500	100	0		0.125
2	9	Mi5	E5	336	336	1	8	500	99	96	Dos	0.25
3	9	Re5	D5	327	327	1	8	500	99	96		0.375
4	9	Do5	C5	318	318	1	8	500	95	96		0.5
5	9	Do5	C5	318	318	3	16	750	99	96	tun 	0.6875
6	9	Si4b2	B4b1	312	313	1	16	250	95	96		0.75
7	9	Si4b2	B4b1	312	313	1	8	500	99	96	sen	0.875
8	9	La4	A4	305	305	1	8	500	100	96		1
9	9	La4	A4	305	305	1	8	500	95	96		1.125
10	9	Re5	D5	327	327	1	4	1000	99	96	den 	1.375
11	9	Do5	C5	318	318	1	8	500	99	96		1.5
12	9	Si4b2	B4b1	312	313	3	16	750	99	96		1.6875
13	9	La4	A4	305	305	1	16	250	99	96		1.75
14	9	Sol4	G4	296	296	1	4	1000	95	96		2
15	9	Sol4	G4	296	296	1	8	500	95	96	ý	2.125
16	9	Mi5	E5	336	336	1	8	500	99	96	rak 	2.25
17	9	Re5	D5	327	327	1	8	500	99	96		2.375
18	9	Do5	C5	318	318	1	8	500	99	96		2.5
19	9	Do5	C5	318	318	1	8	500	99	96		2.625
20	9	Si4b2	B4b1	312	313	1	8	500	99	96		2.75
21	9	Si4b2	B4b1	312	313	1	8	500	95	96		2.875
22	9	La4	A4	305	305	1	8	500	95	96	de	3
23	9	La4	A4	305	305	1	8	500	95	96		3.125
24	9	Re5	D5	327	327	1	4	1000	99	96	ðil  	3.375
25	9	Do5	C5	318	318	1	8	500	99	96		3.5
26	9	Si4b2	B4b1	312	313	3	16	750	99	96		3.6875
27	9	La4	A4	305	305	1	16	250	99	96		3.75
28	9	Sol4	G4	296	296	1	4	1000	95	96		4
29	52			0	0	1	8	0	120	0		4.125
30	9			-1	-1	1	8	500	100	0		4.25
31	9	Mi5	E5	336	336	1	8	500	99	96	Dos	4.375
32	9	Re5	D5	327	327	1	8	500	99	96		4.5
33	9	Do5	C5	318	318	1	8	500	95	96		4.625
34	9	Do5	C5	318	318	3	16	750	99	96	tun 	4.8125
35	9	Si4b2	B4b1	312	313	1	16	250	95	96		4.875
36	9	Si4b2	B4b1	312	313	1	8	500	99	96	sen	5
37	9	La4	A4	305	305	1	4	1000	95	96		5.25
38	9	Re5	D5	327	327	1	4	1000	99	96	den 	5.5
39	9	Do5	C5	318	318	1	8	500	99	96		5.625
40	9	Si4b2	B4b1	312	313	3	16	750	99	96		5.8125
41	9	La4	A4	305	305	1	16	250	99	96		5.875
42	9	Sol4	G4	296	296	1	4	1000	95	96		6.125
43	9	Sol4	G4	296	296	1	8	500	95	96	ý	6.25
44	9	Mi5	E5	336	336	1	8	500	99	96	rak 	6.375
45	9	Re5	D5	327	327	1	8	500	99	96		6.5
46	9	Do5	C5	318	318	1	8	500	99	96		6.625
47	9	Do5	C5	318	318	1	8	500	99	96		6.75
48	9	Si4b2	B4b1	312	313	1	8	500	99	96		6.875
49	9	Si4b2	B4b1	312	313	1	8	500	95	96		7
50	9	La4	A4	305	305	1	8	500	95	96	de	7.125
51	9	La4	A4	305	305	3	8	1500	95	96	ðil  	7.5
52	9	Mi5	E5	336	336	1	16	250	95	96	SAZ 	7.5625
53	9	Fa5	F5	340	340	1	16	250	95	96	.	7.625
54	9	Mi5	E5	336	336	1	16	250	95	96	.	7.6875
55	9	Re5	D5	327	327	1	16	250	95	96	.	7.75
56	9	Re5	D5	327	327	1	16	250	95	96	.	7.8125
57	9	Do5	C5	318	318	1	16	250	95	96	.	7.875
58	9	Re5	D5	327	327	1	4	1000	95	96	.	8.125
59	9	Mi5	E5	336	336	1	8	500	99	96	A	8.25
60	9	Fa5	F5	340	340	1	16	250	99	96		8.3125
61	9	Sol5	G5	349	349	1	16	250	99	96		8.375
62	9	Fa5	F5	340	340	1	16	250	99	96		8.4375
63	9	Mi5	E5	336	336	1	16	250	99	96		8.5
64	9	Re5	D5	327	327	1	8	500	95	96		8.625
65	9	Re5	D5	327	327	1	8	500	99	96	ra 	8.75
66	9	Mi5	E5	336	336	1	8	500	99	96		8.875
67	9	Re5	D5	327	327	1	8	500	99	96		9
68	9	Do5	C5	318	318	1	16	250	99	96		9.0625
69	9	Si4b2	B4b1	312	313	1	16	250	95	96		9.125
70	9	Do5	C5	318	318	1	8	500	99	96	da 	9.25
71	9	Re5	D5	327	327	1	8	500	99	96		9.375
72	9	Do5	C5	318	318	1	8	500	99	96		9.5
73	9	Si4b2	B4b1	312	313	1	8	500	95	96		9.625
74	9	La4	A4	305	305	1	8	500	99	96	bul 	9.75
75	9	Sol4	G4	296	296	1	8	500	99	96		9.875
76	9	Re5	D5	327	327	1	4	1000	95	96		10.125
77	9	La4	A4	305	305	1	8	500	95	96	u	10.25
78	9	Mi5	E5	336	336	1	8	500	99	96	zak 	10.375
79	9	Re5	D5	327	327	1	8	500	99	96		10.5
80	9	Do5	C5	318	318	1	8	500	99	96		10.625
81	9	Do5	C5	318	318	1	8	500	99	96		10.75
82	9	Si4b2	B4b1	312	313	1	8	500	99	96		10.875
83	9	Si4b2	B4b1	312	313	1	8	500	95	96		11
84	9	La4	A4	305	305	1	8	500	95	96	de	11.125
85	9	La4	A4	305	305	3	8	1500	95	96	ðil  	11.5
86	9	Mi5	E5	336	336	1	16	250	95	96	SAZ 	11.5625
87	9	Fa5	F5	340	340	1	16	250	95	96	.	11.625
88	9	Mi5	E5	336	336	1	16	250	95	96	.	11.6875
89	9	Re5	D5	327	327	1	16	250	95	96	.	11.75
90	9	Re5	D5	327	327	1	16	250	95	96	.	11.8125
91	9	Do5	C5	318	318	1	16	250	95	96	.	11.875
92	9	Re5	D5	327	327	1	4	1000	95	96	.	12.125
93	9	Mi5	E5	336	336	1	8	500	99	96	A	12.25
94	9	Fa5	F5	340	340	1	16	250	99	96		12.3125
95	9	Sol5	G5	349	349	1	16	250	99	96		12.375
96	9	Fa5	F5	340	340	1	16	250	99	96		12.4375
97	9	Mi5	E5	336	336	1	16	250	99	96		12.5
98	9	Re5	D5	327	327	1	8	500	95	96		12.625
99	9	Re5	D5	327	327	1	8	500	99	96	ra 	12.75
100	9	Mi5	E5	336	336	1	8	500	99	96		12.875
101	9	Re5	D5	327	327	1	8	500	99	96		13
102	9	Do5	C5	318	318	1	16	250	99	96		13.0625
103	9	Si4b2	B4b1	312	313	1	16	250	95	96		13.125
104	9	Do5	C5	318	318	1	8	500	99	96	da 	13.25
105	9	Re5	D5	327	327	1	8	500	99	96		13.375
106	9	Do5	C5	318	318	1	8	500	99	96		13.5
107	9	Si4b2	B4b1	312	313	1	8	500	95	96		13.625
108	9	La4	A4	305	305	1	8	500	99	96	bul 	13.75
109	9	Sol4	G4	296	296	1	8	500	99	96		13.875
110	9	Re5	D5	327	327	1	4	1000	95	96		14.125
111	9	La4	A4	305	305	1	8	500	95	96	u	14.25
112	9	Mi5	E5	336	336	1	8	500	99	96	zak 	14.375
113	9	Re5	D5	327	327	1	8	500	99	96		14.5
114	9	Do5	C5	318	318	1	8	500	99	96		14.625
115	9	Do5	C5	318	318	1	8	500	99	96		14.75
116	9	Si4b2	B4b1	312	313	1	8	500	99	96		14.875
117	9	Si4b2	B4b1	312	313	1	8	500	95	96		15
118	9	La4	A4	305	305	1	8	500	95	96	de	15.125
119	9	La4	A4	305	305	3	8	1500	95	96	ðil  	15.5
120	9	Mi5	E5	336	336	1	16	250	95	96	SAZ 	15.5625
121	9	Fa5	F5	340	340	1	16	250	95	96	.	15.625
122	9	Mi5	E5	336	336	1	16	250	95	96	.	15.6875
123	9	Re5	D5	327	327	1	16	250	95	96	.	15.75
124	9	Do5	C5	318	318	1	16	250	95	96	.	15.8125
125	9	Re5	D5	327	327	1	16	250	95	96	.	15.875
126	9	Mi5	E5	336	336	1	4	1000	95	96	.	16.125
127	9			-1	-1	1	8	500	100	0		16.25
128	9	Re5	D5	327	327	1	4	1000	95	96	Bu	16.5
129	9	Mi5	E5	336	336	1	8	500	95	96	nu 	16.625
130	9	Mi5	E5	336	336	3	8	1500	99	96	her	17
131	9	Re5	D5	327	327	1	8	500	95	96		17.125
132	9	Re5	D5	327	327	1	12	333	99	96	kes 	17.20833
133	9	Mi5	E5	336	336	1	12	333	99	96		17.29167
134	9	Fa5#3	F5#4	343	344	1	12	333	99	96		17.375
135	9	Sol5	G5	349	349	1	16	250	99	96		17.4375
136	9	Fa5#3	F5#4	343	344	1	16	250	99	96		17.5
137	9	Mi5	E5	336	336	1	8	500	99	96		17.625
138	9	Mi5	E5	336	336	1	8	500	99	96		17.75
139	10	Re5	D5	327	327	1	8	500	99	96		17.875
140	8	Mi5	E5	336	336	0	0	0	99	96		17.875
141	9	Re5	D5	327	327	1	8	500	99	96		18
142	9	Do5	C5	318	318	1	8	500	95	96		18.125
143	9			-1	-1	1	8	500	100	0		18.25
144	9	Mi5	E5	336	336	1	8	500	99	96	fâ	18.375
145	9	Re5	D5	327	327	1	8	500	99	96		18.5
146	9	Do5	C5	318	318	1	8	500	95	96		18.625
147	9	Do5	C5	318	318	1	8	500	99	96	rik 	18.75
148	9	Si4b2	B4b1	312	313	1	8	500	99	96		18.875
149	9	La4	A4	305	305	1	8	500	95	96		19
150	9	Sol4	G4	296	296	1	8	500	95	96	de	19.125
151	9	Re5	D5	327	327	3	8	1500	95	96	ðil  	19.5
152	9	Mi5	E5	336	336	1	8	500	95	96	SAZ 	19.625
153	9	Mi5	E5	336	336	1	16	250	95	96	.	19.6875
154	9	Re5	D5	327	327	1	16	250	95	96	.	19.75
155	9	Do5	C5	318	318	1	16	250	95	96	.	19.8125
156	9	Re5	D5	327	327	1	16	250	95	96	.	19.875
157	9	Mi5	E5	336	336	1	4	1000	95	96	.	20.125
158	9			-1	-1	1	8	500	100	0		20.25
159	9	Re5	D5	327	327	1	4	1000	95	96	Bu	20.5
160	9	Mi5	E5	336	336	1	8	500	95	96	nu 	20.625
161	9	Mi5	E5	336	336	3	8	1500	99	96	her	21
162	9	Re5	D5	327	327	1	8	500	95	96		21.125
163	9	Re5	D5	327	327	1	12	333	99	96	kes 	21.20833
164	9	Mi5	E5	336	336	1	12	333	99	96		21.29167
165	9	Fa5#3	F5#4	343	344	1	12	333	99	96		21.375
166	9	Sol5	G5	349	349	1	16	250	99	96		21.4375
167	9	Fa5#3	F5#4	343	344	1	16	250	99	96		21.5
168	9	Mi5	E5	336	336	1	8	500	99	96		21.625
169	9	Mi5	E5	336	336	1	8	500	99	96		21.75
170	10	Re5	D5	327	327	1	8	500	99	96		21.875
171	8	Mi5	E5	336	336	0	0	0	99	96		21.875
172	9	Re5	D5	327	327	1	8	500	99	96		22
173	9	Do5	C5	318	318	1	8	500	95	96		22.125
174	9			-1	-1	1	8	500	100	0		22.25
175	9	Mi5	E5	336	336	1	8	500	99	96	fâ	22.375
176	9	Re5	D5	327	327	1	8	500	99	96		22.5
177	9	Do5	C5	318	318	1	8	500	95	96		22.625
178	9	Do5	C5	318	318	1	8	500	99	96	rik 	22.75
179	9	Si4b2	B4b1	312	313	1	8	500	99	96		22.875
180	9	La4	A4	305	305	1	8	500	95	96		23
181	9	Sol4	G4	296	296	1	8	500	95	96	de	23.125
182	9	Re5	D5	327	327	1	2	2000	95	96	ðil  	23.625
183	9	Do5	C5	318	318	1	8	500	95	96	SAZ 	23.75
184	9	Si4b1	B4b1	313	313	1	8	500	95	96	.	23.875
185	9	Re5	D5	327	327	1	4	1000	95	96	.	24.125
186	9	Do5	C5	318	318	1	8	500	95	96	Bu 	24.25
187	9	Re5	D5	327	327	3	8	1500	95	96	vus	24.625
188	9	Re5	D5	327	327	1	4	1000	95	96	lat	24.875
189	9	Re5	D5	327	327	1	4	1000	95	96	týr 	25.125
190	9	Do5	C5	318	318	1	8	500	95	96	fi	25.25
191	9	Re5	D5	327	327	1	1	4000	99	96	râk 	26.25
192	9	Sol5	G5	349	349	1	8	500	99	96		26.375
193	9	Fa5	F5	340	340	1	8	500	99	96		26.5
194	9	Mi5	E5	336	336	1	8	500	99	96		26.625
195	9	Re5	D5	327	327	1	8	500	99	96		26.75
196	9	Do5	C5	318	318	1	8	500	99	96		26.875
197	9	Do5	C5	318	318	1	8	500	95	96		27
198	9	Si4b2	B4b1	312	313	1	8	500	95	96	de	27.125
199	9	Re5	D5	327	327	1	8	500	99	96	ðil  	27.25
200	9	Do5	C5	318	318	1	4	1000	99	96		27.5
201	9	Re5	D5	327	327	1	8	500	99	96		27.625
202	9	Do5	C5	318	318	1	8	500	99	96		27.75
203	9	Si4b2	B4b1	312	313	1	16	250	99	96		27.8125
204	9	La4	A4	305	305	1	16	250	99	96		27.875
205	9	Si4b2	B4b1	312	313	3	16	750	99	96		28.0625
206	9	La4	A4	305	305	1	16	250	95	96		28.125
207	9			-1	-1	1	8	500	100	0		28.25
208	9	Mi5	E5	336	336	1	8	500	99	96	Að	28.375
209	9	Re5	D5	327	327	1	8	500	95	96		28.5
210	9	Mi5	E5	336	336	1	8	500	95	96	la	28.625
211	9	Do5	C5	318	318	1	4	1000	95	96	ma 	28.875
212	9	Si4b2	B4b1	312	313	1	8	500	99	96	gö	29
213	9	La4	A4	305	305	1	8	500	95	96		29.125
214	9	La4	A4	305	305	1	8	500	95	96	nül_	29.25
215	9	Re5	D5	327	327	1	8	500	99	96	að	29.375
216	9	Do5	C5	318	318	1	8	500	99	96		29.5
217	9	Re5	D5	327	327	1	8	500	99	96		29.625
218	9	Do5	C5	318	318	3	16	750	99	96		29.8125
219	9	Si4b2	B4b1	312	313	1	16	250	99	96		29.875
220	9	Si4b2	B4b1	312	313	1	8	500	95	96		30
221	9	Si4b2	B4b1	312	313	1	16	250	99	96	la	30.0625
222	9	La4	A4	305	305	1	16	250	95	96		30.125
223	9	La4	A4	305	305	3	4	3000	95	96	ma  	30.875
224	9			-1	-1	1	4	1000	100	0		31.125
