Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	741	100	0		0.25
2	9	Do5	C5	318	318	1	8	370	95	96	ARANAÐME 	0.375
3	9	Re5	D5	327	327	1	8	370	95	96	.	0.5
4	9	Re5	D5	327	327	1	4	741	95	96	.	0.75
5	9	Re5	D5	327	327	1	4	741	95	96	.	1
6	9	Do5	C5	318	318	1	8	370	95	96	.	1.125
7	9	Mi5	E5	336	336	1	8	370	95	96	.	1.25
8	9	Re5	D5	327	327	1	8	370	95	96	.	1.375
9	9	Mi5	E5	336	336	1	8	370	95	96	.	1.5
10	9	Re5	D5	327	327	1	16	185	95	96	.	1.5625
11	9	Do5	C5	318	318	1	16	185	95	96	.	1.625
12	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	1.6875
13	9	Re5	D5	327	327	1	16	185	95	96	.	1.75
14	9	Do5	C5	318	318	1	4	741	95	96	.	2
15	9	Do5	C5	318	318	1	16	185	95	96	.	2.0625
16	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	2.125
17	9	La4	A4	305	305	1	16	185	95	96	.	2.1875
18	9	Sol4	G4	296	296	1	16	185	95	96	.	2.25
19	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	2.375
20	9	Do5	C5	318	318	1	8	370	95	96	.	2.5
21	9	Do5	C5	318	318	1	4	741	95	96	.	2.75
22	9	Do5	C5	318	318	1	4	741	95	96	.	3
23	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	3.125
24	9	Re5	D5	327	327	1	8	370	95	96	.	3.25
25	9	Do5	C5	318	318	1	8	370	95	96	.	3.375
26	9	Re5	D5	327	327	1	8	370	95	96	.	3.5
27	9	Do5	C5	318	318	1	16	185	95	96	.	3.5625
28	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	3.625
29	9	La4	A4	305	305	1	16	185	95	96	.	3.6875
30	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	3.75
31	9	La4	A4	305	305	1	4	741	95	96	.	4
32	9			-1	-1	1	4	741	100	0		4.25
33	9	Sol4	G4	296	296	1	8	370	95	96	.	4.375
34	9	La4	A4	305	305	1	8	370	95	96	.	4.5
35	9	La4	A4	305	305	1	4	741	95	96	.	4.75
36	9	La4	A4	305	305	1	4	741	95	96	.	5
37	9	La4	A4	305	305	1	8	370	95	96	.	5.125
38	9	Do5	C5	318	318	1	8	370	95	96	.	5.25
39	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	5.375
40	9	La4	A4	305	305	1	8	370	95	96	.	5.5
41	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	5.625
42	9	Do5	C5	318	318	1	8	370	95	96	.	5.75
43	9	Re5	D5	327	327	1	4	741	95	96	.	6
44	9			-1	-1	1	8	370	100	0	.	6.125
45	9	Mi5	E5	336	336	1	4	741	95	96	.	6.375
46	9	Re5	D5	327	327	1	8	370	95	96	.	6.5
47	9	Re5	D5	327	327	1	8	370	95	96	.	6.625
48	9	Do5	C5	318	318	1	8	370	95	96	.	6.75
49	9	Si4b2	B4b1	312	313	1	16	185	95	96	.	6.8125
50	9	La4	A4	305	305	1	16	185	95	96	.	6.875
51	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	7
52	9	Do5	C5	318	318	1	4	741	95	96	.	7.25
53	9	Re5	D5	327	327	1	4	741	95	96	.	7.5
54	9	Si4b2	B4b1	312	313	1	8	370	95	96	.	7.625
55	9	La4	A4	305	305	3	8	1111	95	96	.	8
56	52			0	0	1	8	0	127	35		8.125
57	9			-1	-1	1	4	741	100	0		8.375
58	9	Sol4	G4	296	296	1	8	370	95	96	.	8.5
59	9	La4	A4	305	305	1	8	370	95	96	.	8.625
