Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	417	100	0		0.1
2	9	Sol4	G4	296	296	1	16	208	95	96	Çar	0.15
3	9	La4	A4	305	305	1	16	208	95	96	þam	0.2
4	9	La4	A4	305	305	1	8	417	95	96	ba 	0.3
5	9	La4	A4	305	305	1	16	208	99	96	de	0.35
6	9	Mi5	E5	336	336	1	16	208	95	96		0.4
7	9	Mi5	E5	336	336	1	8	417	95	96	dik	0.5
8	9	Mi5	E5	336	336	1	8	417	95	96	le	0.6
9	9	Fa5	F5	340	340	3	32	312	99	96	ri  	0.675
10	9	Mi5	E5	336	336	1	32	104	99	96		0.7
11	9	Re5	D5	327	327	1	16	208	99	96		0.75
12	9	Mi5	E5	336	336	1	16	208	99	96		0.8
13	9	Do5	C5	318	318	1	16	208	99	96		0.85
14	9	Re5	D5	327	327	1	16	208	99	96		0.9
15	9	Mi5	E5	336	336	1	8	417	95	96		1
16	51			0	0	2	4	0	2	0		1
17	9	Mi5	E5	336	336	1	8	417	95	96	Þe	1.25
18	9	Mi5	E5	336	336	1	16	208	99	96	ker	1.375
19	9	Re5	D5	327	327	1	16	208	99	96		1.5
20	9	Re5	D5	327	327	1	16	208	99	96		1.625
21	9	Do5	C5	318	318	1	16	208	99	96		1.75
22	9	Mi5	E5	336	336	1	16	208	99	96		1.875
23	9	Re5	D5	327	327	1	16	208	95	96		2
24	9	Re5	D5	327	327	1	8	417	95	96	dir 	2.25
25	9	Re5	D5	327	327	1	16	208	99	96	ye	2.375
26	9	Do5	C5	318	318	1	16	208	99	96		2.5
27	9	Do5	C5	318	318	1	32	104	99	96		2.5625
28	9	Re5	D5	327	327	1	32	104	99	96		2.625
29	9	Do5	C5	318	318	1	16	208	99	96		2.75
30	9	Re5	D5	327	327	1	8	417	95	96		3
31	9	Mi5	E5	336	336	1	16	208	99	96	dik	3.125
32	9	Re5	D5	327	327	1	16	208	95	96		3.25
33	9	Re5	D5	327	327	1	16	208	99	96	le	3.375
34	9	Do5	C5	318	318	1	16	208	99	96		3.5
35	9	Do5	C5	318	318	1	32	104	99	96		3.5625
36	9	Re5	D5	327	327	1	32	104	99	96		3.625
37	9	Do5	C5	318	318	1	16	208	99	96		3.75
38	9	Re5	D5	327	327	1	16	208	99	96		3.875
39	9	Si4b2	B4b1	312	313	1	16	208	95	96		4
40	9	Do5	C5	318	318	3	16	625	99	96	ri  	4.375
41	9	Re5	D5	327	327	1	16	208	99	96		4.5
42	9	Si4b2	B4b1	312	313	1	16	208	99	96		4.625
43	9	La4	A4	305	305	1	16	208	99	96		4.75
44	9	Re5	D5	327	327	1	8	417	95	96		5
45	9	Mi5	E5	336	336	1	16	208	99	96	Þe	5.125
46	9	Re5	D5	327	327	1	16	208	95	96		5.25
47	9	Re5	D5	327	327	1	16	208	99	96	ker	5.375
48	9	Si4b2	B4b1	312	313	1	16	208	99	96		5.5
49	9	Do5	C5	318	318	1	16	208	99	96		5.625
50	9	Si4b2	B4b1	312	313	1	16	208	99	96		5.75
51	9	Re5	D5	327	327	1	16	208	99	96		5.875
52	9	Si4b2	B4b1	312	313	1	16	208	95	96		6
53	9	Do5	C5	318	318	1	8	417	95	96	dir 	6.25
54	9	Do5	C5	318	318	1	16	208	99	96	ye	6.375
55	9	Si4b2	B4b1	312	313	1	16	208	99	96		6.5
56	9	Si4b2	B4b1	312	313	1	8	417	99	96		6.75
57	9	Do5	C5	318	318	1	8	417	95	96		7
58	9	Si4b2	B4b1	312	313	1	16	208	99	96	dik	7.125
59	9	La4	A4	305	305	1	16	208	95	96		7.25
60	9	La4	A4	305	305	3	8	1250	95	96	le	8
61	9	La4	A4	305	305	3	8	1250	95	96	ri  	8.75
62	9			-1	-1	1	8	417	100	0		9
63	51			0	0	5	4	0	110	0		9
64	9			-1	-1	1	8	417	100	0		9.1
65	9	Sol4	G4	296	296	1	16	208	95	96	Hiç_	9.15
66	9	La4	A4	305	305	1	16	208	95	96	ak	9.2
67	9	La4	A4	305	305	1	8	417	95	96	lým	9.3
68	9	La4	A4	305	305	1	16	208	99	96	dan 	9.35
69	9	Mi5	E5	336	336	1	16	208	95	96		9.4
70	9	Mi5	E5	336	336	1	8	417	95	96	çýk	9.5
71	9	Mi5	E5	336	336	1	8	417	95	96	mý	9.6
72	9	Fa5	F5	340	340	3	32	312	99	96	yor  	9.675
73	9	Mi5	E5	336	336	1	32	104	99	96		9.7
74	9	Re5	D5	327	327	1	16	208	99	96		9.75
75	9	Mi5	E5	336	336	1	16	208	99	96		9.8
