Variable,Value
makam,acemasiran
form,agirsemai
usul,senginsemai
title,ey_lebleri
composer,dede_efendi
filename,acemasiran--agirsemai--senginsemai--ey_lebleri--dede_efendi.txt
note_count,775
unique_note_count,18
minimum_koma53,-1
maximum_koma53,362
mean_koma53,314.3974193548387
median_koma53,318.0
std_koma53,45.65106952055369
koma53_range,363
total_unit_duration,141.5
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.18258064516129033
median_unit_duration,0.125
std_unit_duration,0.13317499663324717
most_common_note,C5
most_common_note_count,104
