Variable,Value
makam,acemasiran
form,sarki
usul,sofyan
title,gonul_sana
composer,sadettin_kaynak
filename,acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak.txt
note_count,1095
unique_note_count,17
minimum_koma53,-1
maximum_koma53,371
mean_koma53,310.2118721461187
median_koma53,318.0
std_koma53,66.45874616023251
koma53_range,372
total_unit_duration,176.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.16095890410958905
median_unit_duration,0.125
std_unit_duration,0.10370825438136357
most_common_note,C5
most_common_note_count,148
