Variable,Value
makam,acemkurdi
form,kupe
usul,musemmen
title,bezmimizde
composer,ahmet_avni_konuk
filename,acemkurdi--kupe--musemmen--bezmimizde--ahmet_avni_konuk.txt
note_count,65
unique_note_count,12
minimum_koma53,-1
maximum_koma53,362
mean_koma53,306.24615384615385
median_koma53,336.0
std_koma53,90.6583612334707
koma53_range,363
total_unit_duration,8.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.12307692307692308
median_unit_duration,0.125
std_unit_duration,0.0643943678855893
most_common_note,F5
most_common_note_count,12
