Variable,Value
makam,bahrinazik
form,kupe
usul,duyek
title,mahi-yi
composer,ahmet_avni_konuk
filename,bahrinazik--kupe--duyek--mahi-yi--ahmet_avni_konuk.txt
note_count,99
unique_note_count,13
minimum_koma53,-1
maximum_koma53,349
mean_koma53,302.1111111111111
median_koma53,327.0
std_koma53,84.64847948643306
koma53_range,350
total_unit_duration,16.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.16161616161616163
median_unit_duration,0.125
std_unit_duration,0.08470861906736613
most_common_note,D5
most_common_note_count,32
