Variable,Value
makam,bestenigar
form,sarki
usul,aksak
title,perisan_halin
composer,emin_ongan
filename,bestenigar--sarki--aksak--perisan_halin--emin_ongan.txt
note_count,235
unique_note_count,19
minimum_koma53,0
maximum_koma53,380
mean_koma53,330.8978723404255
median_koma53,336.0
std_koma53,29.37857444600333
koma53_range,380
total_unit_duration,36.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.15372340425531916
median_unit_duration,0.125
std_unit_duration,0.10735240357096848
most_common_note,C5
most_common_note_count,34
