Variable,Value
makam,beyati
form,beste
usul,hafif
title,arz-i_didar
composer,hamparsum
filename,beyati--beste--hafif--arz-i_didar--hamparsum.txt
note_count,890
unique_note_count,16
minimum_koma53,-1
maximum_koma53,371
mean_koma53,298.6112359550562
median_koma53,318.0
std_koma53,90.63050914260096
koma53_range,372
total_unit_duration,128.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.14382022471910114
median_unit_duration,0.125
std_unit_duration,0.08792228158720349
most_common_note,C5
most_common_note_count,170
