Variable,Value
makam,beyati
form,sarki
usul,aksak
title,meclise_gel
composer,tanburi_mustafa_cavus
filename,beyati--sarki--aksak--meclise_gel--tanburi_mustafa_cavus.txt
note_count,263
unique_note_count,15
minimum_koma53,-1
maximum_koma53,380
mean_koma53,296.1634980988593
median_koma53,327.0
std_koma53,103.96263218836562
koma53_range,381
total_unit_duration,34.875
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.1326045627376426
median_unit_duration,0.125
std_unit_duration,0.06203386093712117
most_common_note,D5
most_common_note_count,38
