Variable,Value
makam,beyati
form,sarki
usul,curcuna
title,akip_gitti
composer,yener_topaloglu
filename,beyati--sarki--curcuna--akip_gitti--yener_topaloglu.txt
note_count,278
unique_note_count,13
minimum_koma53,-1
maximum_koma53,371
mean_koma53,309.9928057553957
median_koma53,327.0
std_koma53,88.3585161989443
koma53_range,372
total_unit_duration,48.875
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.1758093525179856
median_unit_duration,0.125
std_unit_duration,0.1085961101829696
most_common_note,D5
most_common_note_count,52
