Variable,Value
makam,beyati
form,sarki
usul,duyek
title,ruhuma_sundugun
composer,sadettin_kaynak
filename,beyati--sarki--duyek--ruhuma_sundugun--sadettin_kaynak.txt
note_count,268
unique_note_count,14
minimum_koma53,-1
maximum_koma53,371
mean_koma53,298.6679104477612
median_koma53,333.0
std_koma53,103.46121320000032
koma53_range,372
total_unit_duration,47.0
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.17537313432835822
median_unit_duration,0.125
std_unit_duration,0.1182586701189557
most_common_note,D5
most_common_note_count,49
