Variable,Value
makam,beyati
form,sarki
usul,sarkidevrirevani
title,meyleyledi_gonlum
composer,tanburi_isak
filename,beyati--sarki--sarkidevrirevani--meyleyledi_gonlum--tanburi_isak.txt
note_count,287
unique_note_count,14
minimum_koma53,-1
maximum_koma53,380
mean_koma53,319.4425087108014
median_koma53,327.0
std_koma53,49.82714180862907
koma53_range,381
total_unit_duration,45.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.15766550522648085
median_unit_duration,0.125
std_unit_duration,0.13043279072709915
most_common_note,C5
most_common_note_count,45
