Variable,Value
makam,buselik
form,aranagme
usul,yuruksemai_ii
title,1
composer,
filename,buselik--aranagme--yuruksemai_ii--1--.txt
note_count,83
unique_note_count,11
minimum_koma53,-1
maximum_koma53,358
mean_koma53,295.9277108433735
median_koma53,318.0
std_koma53,91.84913175001951
koma53_range,359
total_unit_duration,12.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.1460843373493976
median_unit_duration,0.125
std_unit_duration,0.10479960026213993
most_common_note,C5
most_common_note_count,16
