Variable,Value
makam,buselik
form,sarki
usul,aksak
title,eda_ile
composer,dede_efendi
filename,buselik--sarki--aksak--eda_ile--dede_efendi.txt
note_count,290
unique_note_count,16
minimum_koma53,-1
maximum_koma53,371
mean_koma53,311.0137931034483
median_koma53,327.0
std_koma53,79.80174276412978
koma53_range,372
total_unit_duration,26.0
minimum_unit_duration,0.041666666666666664
maximum_unit_duration,0.5
mean_unit_duration,0.0896551724137931
median_unit_duration,0.0625
std_unit_duration,0.05757582685646351
most_common_note,D5
most_common_note_count,42
