Variable,Value
makam,buselik
form,sarki
usul,duyek
title,gecti_bahar
composer,fehmi_tokay
filename,buselik--sarki--duyek--gecti_bahar--fehmi_tokay.txt
note_count,247
unique_note_count,12
minimum_koma53,-1
maximum_koma53,367
mean_koma53,314.2550607287449
median_koma53,327.0
std_koma53,63.41311613109425
koma53_range,368
total_unit_duration,31.8125
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.12879554655870445
median_unit_duration,0.125
std_unit_duration,0.09597537211835634
most_common_note,E5
most_common_note_count,41
