Variable,Value
makam,buzurk
form,seyir
usul,sofyan
title,1
composer,sefik_gurmeric
filename,buzurk--seyir--sofyan--1--sefik_gurmeric.txt
note_count,101
unique_note_count,14
minimum_koma53,-1
maximum_koma53,367
mean_koma53,307.5247524752475
median_koma53,327.0
std_koma53,72.87778729618593
koma53_range,368
total_unit_duration,16.0
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.15841584158415842
median_unit_duration,0.125
std_unit_duration,0.11094915658325058
most_common_note,D5
most_common_note_count,16
