Variable,Value
makam,cargah
form,turku
usul,senginsemai
title,sak_sak
composer,yurdagul_ulgar
filename,cargah--turku--senginsemai--sak_sak--yurdagul_ulgar.txt
note_count,68
unique_note_count,3
minimum_koma53,0
maximum_koma53,336
mean_koma53,300.52941176470586
median_koma53,327.0
std_koma53,94.36994060187308
koma53_range,336
total_unit_duration,9.249999999999998
minimum_unit_duration,0.03125
maximum_unit_duration,1.5
mean_unit_duration,0.13602941176470584
median_unit_duration,0.05208333333333333
std_unit_duration,0.23974809358109234
most_common_note,D5
most_common_note_count,28
