Variable,Value
makam,dugah
form,ilahi
usul,agircenber
title,gel_ey_salik
composer,dede_efendi
filename,dugah--ilahi--agircenber--gel_ey_salik--dede_efendi.txt
note_count,295
unique_note_count,18
minimum_koma53,-1
maximum_koma53,358
mean_koma53,298.071186440678
median_koma53,313.0
std_koma53,72.76631839061933
koma53_range,359
total_unit_duration,48.5
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.16440677966101694
median_unit_duration,0.125
std_unit_duration,0.13465701815692294
most_common_note,A4
most_common_note_count,61
