Variable,Value
makam,dugah
form,turku
usul,evfer
title,aksarayda_cevirdiler
composer,
filename,dugah--turku--evfer--aksarayda_cevirdiler--.txt
note_count,285
unique_note_count,7
minimum_koma53,-1
maximum_koma53,323
mean_koma53,257.6561403508772
median_koma53,305.0
std_koma53,112.57689550055825
koma53_range,324
total_unit_duration,49.625
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.17412280701754385
median_unit_duration,0.125
std_unit_duration,0.06957569344859936
most_common_note,A4
most_common_note_count,72
