Variable,Value
makam,evic
form,karce
usul,nimhafif
title,geldi_cevher
composer,ebubekir_aga
filename,evic--karce--nimhafif--geldi_cevher--ebubekir_aga.txt
note_count,341
unique_note_count,16
minimum_koma53,-1
maximum_koma53,371
mean_koma53,315.88856304985336
median_koma53,327.0
std_koma53,75.42775595768082
koma53_range,372
total_unit_duration,64.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.18841642228739003
median_unit_duration,0.125
std_unit_duration,0.10851429653757462
most_common_note,D5
most_common_note_count,46
