Variable,Value
makam,evic
form,sarki
usul,senginsemai
title,lerzan_ediyor
composer,lemi_atli
filename,evic--sarki--senginsemai--lerzan_ediyor--lemi_atli.txt
note_count,488
unique_note_count,19
minimum_koma53,-1
maximum_koma53,380
mean_koma53,320.25409836065575
median_koma53,336.0
std_koma53,62.36206943253383
koma53_range,381
total_unit_duration,60.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.12346311475409837
median_unit_duration,0.0625
std_unit_duration,0.0956537925054126
most_common_note,F5#4
most_common_note_count,76
