Variable,Value
makam,ferahfeza
form,sazsemaisi
usul,aksaksemai
title,
composer,tanburi_cemil_bey
filename,ferahfeza--sazsemaisi--aksaksemai----tanburi_cemil_bey.txt
note_count,960
unique_note_count,27
minimum_koma53,-1
maximum_koma53,389
mean_koma53,315.73645833333336
median_koma53,318.0
std_koma53,39.64383040019085
koma53_range,390
total_unit_duration,105.375
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.109765625
median_unit_duration,0.0625
std_unit_duration,0.09246408014141108
most_common_note,A4
most_common_note_count,110
