Variable,Value
makam,ferahnak
form,sarki
usul,semai
title,ruhumda_bahar
composer,artaki_candan
filename,ferahnak--sarki--semai--ruhumda_bahar--artaki_candan.txt
note_count,343
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,322.4227405247813
median_koma53,336.0
std_koma53,59.205453128802766
koma53_range,372
total_unit_duration,95.5
minimum_unit_duration,0.125
maximum_unit_duration,1.5
mean_unit_duration,0.2784256559766764
median_unit_duration,0.25
std_unit_duration,0.2256268062844378
most_common_note,D5
most_common_note_count,54
