Variable,Value
makam,gerdaniye
form,turku
usul,sofyan
title,cabur_dagdan
composer,urfa
filename,gerdaniye--turku--sofyan--cabur_dagdan--urfa.txt
note_count,511
unique_note_count,8
minimum_koma53,-1
maximum_koma53,349
mean_koma53,316.7358121330724
median_koma53,318.0
std_koma53,33.98452169703734
koma53_range,350
total_unit_duration,58.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.11399217221135029
median_unit_duration,0.125
std_unit_duration,0.058062356079542105
most_common_note,A4
most_common_note_count,112
