Variable,Value
makam,gerdaniye
form,turku
usul,sofyan
title,kaleden_kaleye
composer,adiyaman
filename,gerdaniye--turku--sofyan--kaleden_kaleye--adiyaman.txt
note_count,309
unique_note_count,8
minimum_koma53,-1
maximum_koma53,349
mean_koma53,308.4401294498382
median_koma53,318.0
std_koma53,66.27814624831521
koma53_range,350
total_unit_duration,36.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.11731391585760517
median_unit_duration,0.0625
std_unit_duration,0.0811568256998031
most_common_note,B4b1
most_common_note_count,68
