Variable,Value
makam,gerdaniyebuselik
form,kupe
usul,aksak
title,oturup_bir
composer,ahmet_avni_konuk
filename,gerdaniyebuselik--kupe--aksak--oturup_bir--ahmet_avni_konuk.txt
note_count,105
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,309.4095238095238
median_koma53,333.0
std_koma53,91.09100428840964
koma53_range,372
total_unit_duration,18.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.17142857142857143
median_unit_duration,0.125
std_unit_duration,0.1047363087383352
most_common_note,G5
most_common_note_count,21
