Variable,Value
makam,gulizar
form,sarki
usul,senginsemai
title,sormadi_hal-i
composer,nikogos_aga
filename,gulizar--sarki--senginsemai--sormadi_hal-i--nikogos_aga.txt
note_count,261
unique_note_count,14
minimum_koma53,-1
maximum_koma53,371
mean_koma53,326.60536398467434
median_koma53,336.0
std_koma53,52.50832726963855
koma53_range,372
total_unit_duration,34.75
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.1331417624521073
median_unit_duration,0.125
std_unit_duration,0.09909225023624106
most_common_note,D5
most_common_note_count,51
