Variable,Value
makam,gulzar
form,sazsemaisi
usul,aksaksemai
title,
composer,ismet_burkay
filename,gulzar--sazsemaisi--aksaksemai----ismet_burkay.txt
note_count,1007
unique_note_count,23
minimum_koma53,0
maximum_koma53,371
mean_koma53,311.41608738828205
median_koma53,313.0
std_koma53,23.209150595318494
koma53_range,371
total_unit_duration,109.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.10836643495531281
median_unit_duration,0.0625
std_unit_duration,0.07748370674943021
most_common_note,D5
most_common_note_count,134
