Variable,Value
makam,hicaz
form,pesrev
usul,hafif
title,
composer,refik_fersan
filename,hicaz--pesrev--hafif----refik_fersan.txt
note_count,800
unique_note_count,25
minimum_koma53,-1
maximum_koma53,380
mean_koma53,311.42875
median_koma53,327.0
std_koma53,79.43728832801783
koma53_range,381
total_unit_duration,96.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.1203125
median_unit_duration,0.08333333333333333
std_unit_duration,0.08607649968776683
most_common_note,E5
most_common_note_count,120
