Variable,Value
makam,hicaz
form,sarki
usul,agir_aksaksemai
title,hasret_odu
composer,tanburi_ali_efendi
filename,hicaz--sarki--agir_aksaksemai--hasret_odu--tanburi_ali_efendi.txt
note_count,412
unique_note_count,19
minimum_koma53,-1
maximum_koma53,366
mean_koma53,313.4150485436893
median_koma53,327.0
std_koma53,63.63184918271087
koma53_range,367
total_unit_duration,40.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.09769417475728155
median_unit_duration,0.0625
std_unit_duration,0.08518654223137832
most_common_note,D5
most_common_note_count,60
