Variable,Value
makam,hicaz
form,sarki
usul,aksak
title,kiz_sen
composer,alaeddin_yavasca
filename,hicaz--sarki--aksak--kiz_sen--alaeddin_yavasca.txt
note_count,381
unique_note_count,13
minimum_koma53,-1
maximum_koma53,367
mean_koma53,321.3359580052493
median_koma53,327.0
std_koma53,44.57096639881782
koma53_range,368
total_unit_duration,60.875
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.1597769028871391
median_unit_duration,0.125
std_unit_duration,0.11444035491705076
most_common_note,D5
most_common_note_count,64
