Variable,Value
makam,hicaz
form,sarki
usul,duyek
title,aglar_gezerim
composer,alaeddin_yavasca
filename,hicaz--sarki--duyek--aglar_gezerim--alaeddin_yavasca.txt
note_count,572
unique_note_count,14
minimum_koma53,-1
maximum_koma53,367
mean_koma53,326.2534965034965
median_koma53,336.0
std_koma53,61.001539457003304
koma53_range,368
total_unit_duration,64.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.11210664335664336
median_unit_duration,0.0625
std_unit_duration,0.08791588716580444
most_common_note,E5
most_common_note_count,97
