Variable,Value
makam,hicaz
form,sarki
usul,nimsofyan
title,mahmur_bakisli
composer,zeki_duygulu
filename,hicaz--sarki--nimsofyan--mahmur_bakisli--zeki_duygulu.txt
note_count,269
unique_note_count,12
minimum_koma53,-1
maximum_koma53,367
mean_koma53,322.74349442379184
median_koma53,336.0
std_koma53,61.997270676421934
koma53_range,368
total_unit_duration,32.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.11988847583643122
median_unit_duration,0.125
std_unit_duration,0.07580037250024382
most_common_note,E5
most_common_note_count,50
